"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Bubba Arslanian","LB","12","60","72","132","11","1.0","1","5","5.0","0","2","0","0","0","0","","akron","2022"
"2","Nate Thompson","DB","12","38","35","73","2","0.0","0","0","","0","1","0","0","0","0","","akron","2022"
"3","Darrian Lewis","DB","12","30","26","56","4","1.0","1","20","20.0","0","6","1","0","0","0","","akron","2022"
"4","Victor Jones","DL","12","24","29","53","12","5.5","0","0","","0","3","0","0","0","0","","akron","2022"
"5","Kerry Martin Jr.","DB","11","30","23","53","3","0.0","1","0","0.0","0","1","0","0","0","0","","akron","2022"
"6","Tim Terry Jr.","LB","10","30","16","46","3","0.0","0","0","","0","1","0","0","0","0","","akron","2022"
"7","Tyson Durant","DB","12","22","17","39","1","0.0","3","108","36.0","1","6","0","0","0","0","","akron","2022"
"8","Andrew Behm","LB","12","11","18","29","1","0.0","0","0","","0","2","0","0","0","1","","akron","2022"
"9","Jaden Woods","DB","12","6","23","29","1","0.0","0","0","","0","2","0","0","0","0","","akron","2022"
"10","Zach Morton","DL","12","12","16","28","8","4.5","1","17","17.0","0","3","0","0","0","2","","akron","2022"
"11","Rishad Hence","DB","11","18","10","28","0","0.0","0","0","","0","2","0","0","0","0","","akron","2022"
"12","Ryan Johnson","DL","12","12","14","26","3","1.0","0","0","","0","1","0","0","0","0","","akron","2022"
"13","Jesslord Boateng","LB","10","13","13","26","4","0.0","0","0","","0","1","0","0","0","0","","akron","2022"
"14","Bryan McCoy","LB","10","12","11","23","0","0.0","0","0","","0","0","0","0","0","0","","akron","2022"
"15","Jalen Hooks","DB","10","14","7","21","0","0.0","1","0","0.0","0","2","0","0","0","0","","akron","2022"
"16","Ravontae Holt","DL","8","3","15","18","0","0.0","0","0","","0","0","0","0","0","0","","akron","2022"
"17","Curtis Harper","DL","12","8","10","18","4","2.5","1","1","1.0","0","1","0","0","0","1","","akron","2022"
"18","Jaylen Kelly-Powell","DB","6","8","10","18","1","1.0","0","0","","0","0","0","0","0","0","","akron","2022"
"19","Antavious Fish","LB","10","8","8","16","3","2.0","0","0","","0","0","0","0","0","0","","akron","2022"
"20","Kyle Thomas","DL","12","5","9","14","1","0.0","0","0","","0","0","0","0","0","0","","akron","2022"
"21","Corey Thomas Jr.","LB","10","8","3","11","0","0.0","0","0","","0","0","1","0","0","0","","akron","2022"
"22","Devonte Golden-Nelson","DB","4","9","2","11","0","0.0","0","0","","0","0","0","0","0","0","","akron","2022"
"23","Julian Richardson","DL","8","3","6","9","1","0.0","0","0","","0","0","0","0","0","0","","akron","2022"
"24","Bryce Wilson","DL","7","1","8","9","1","0.0","0","0","","0","0","0","0","0","0","","akron","2022"
"25","Charles Amankwaa","DB","4","4","1","5","0","0.0","0","0","","0","3","0","0","0","0","","akron","2022"
"26","Devon Robinson","DL","5","2","3","5","0","0.0","0","0","","0","0","1","0","0","0","","akron","2022"
"27","Cam Threatt","DB","4","4","1","5","0","0.0","0","0","","0","1","0","0","0","0","","akron","2022"
"28","Clyde Price","RB","12","4","1","5","0","0.0","0","0","","0","0","0","0","0","0","","akron","2022"
"29","Nazir Sy","DL","2","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","akron","2022"
"30","Shawn Naim","WR","10","4","0","4","0","0.0","0","0","","0","0","0","0","0","0","","akron","2022"
"31","Ronald Jackson Jr.","DB","4","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","akron","2022"
"32","Dontae Pollard","DB","12","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","akron","2022"
"33","Zach DiLauro","LB","3","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","akron","2022"
"34","Logan Hawkins","DL","9","1","2","3","1","0.5","0","0","","0","0","0","0","0","0","","akron","2022"
"35","Shocky Jacques-Louis","WR","12","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","akron","2022"
"36","Chukwudifu Ogbonna","DB","6","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","akron","2022"
"37","Blake Hester","RB","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","akron","2022"
"38","Noah Gettman","P","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","akron","2022"
"39","Bobby Golden","WR","9","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","akron","2022"
"40","Bennett Adler","DL","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","akron","2022"
"41","Tony Georges","OL","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","akron","2022"
"42","Kyle Bauman","LS","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","akron","2022"
"43","Angelo Howze","DL","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","akron","2022"
"44","Demarcus Irons Jr.","QB","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","akron","2022"
"45","Alex Adams","WR","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","akron","2022"
"46","Sean Conroy","DB","12","0","0","0","0","0.0","0","0","","0","0","1","0","0","0","","akron","2022"
