"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Demarcco Hellams","DB","13","67","41","108","3","1.0","1","0","0.0","0","7","1","0","0","1","","alabama","2022"
"2","Henry To'oto'o","LB","13","45","49","94","8","2.5","0","0","","0","0","0","0","0","0","","alabama","2022"
"3","Brian Branch","DB","13","58","32","90","14","3.0","2","2","1.0","0","7","0","0","0","0","","alabama","2022"
"4","Jordan Battle","DB","13","34","37","71","1","0.0","1","0","0.0","0","2","0","0","0","0","","alabama","2022"
"5","Will Anderson Jr.","LB","13","24","27","51","17","10.0","1","25","25.0","1","1","0","0","0","0","Nagurski,Bednarik,AA","alabama","2022"
"6","Deontae Lawson","LB","11","24","27","51","3","0.0","0","0","","0","4","0","0","0","0","","alabama","2022"
"7","Jaylen Moody","LB","10","24","26","50","8","2.0","0","0","","0","0","1","0","0","0","","alabama","2022"
"8","Byron Young","DL","13","20","28","48","6","4.0","0","0","","0","2","0","0","0","1","","alabama","2022"
"9","Terrion Arnold","DB","11","34","11","45","1","0.0","1","21","21.0","0","8","1","0","0","0","","alabama","2022"
"10","Dallas Turner","LB","13","16","21","37","8","4.0","0","0","","0","0","1","11","1","0","","alabama","2022"
"11","Kool-Aid McKinstry","DB","13","29","6","35","2","1.0","1","26","26.0","0","15","0","0","0","0","","alabama","2022"
"12","Malachi Moore","DB","13","19","12","31","2","1.5","0","0","","0","5","0","0","0","0","","alabama","2022"
"13","Jaheim Oatis","DL","12","10","19","29","2","1.0","0","0","","0","2","0","0","0","0","","alabama","2022"
"14","Chris Braswell","LB","13","8","12","20","4","2.5","0","0","","0","0","0","0","0","1","","alabama","2022"
"15","Tim Smith","DL","13","8","12","20","2","1.0","0","0","","0","0","0","0","0","0","","alabama","2022"
"16","DJ Dale","DL","12","7","10","17","4","2.5","0","0","","0","1","1","0","0","0","","alabama","2022"
"17","Eli Ricks","DB","9","8","5","13","1","0.0","0","0","","0","4","0","0","0","0","","alabama","2022"
"18","Justin Eboigbe","DL","4","5","6","11","1","0.0","0","0","","0","0","0","0","0","0","","alabama","2022"
"19","Jamil Burroughs","DL","11","4","4","8","2","1.0","0","0","","0","0","0","0","0","0","","alabama","2022"
"20","Damon Payne Jr.","DL","5","4","3","7","1","0.0","0","0","","0","0","1","0","0","0","","alabama","2022"
"21","Khyree Jackson","DB","9","6","1","7","1","0.0","0","0","","0","0","0","0","0","0","","alabama","2022"
"22","Quandarrius Robinson","LB","13","3","4","7","1","0.5","0","0","","0","0","0","0","0","0","","alabama","2022"
"23","Roydell Williams","RB","13","4","2","6","0","0.0","0","0","","0","0","0","0","0","0","","alabama","2022"
"24","Kendrick Blackshire","LB","8","2","4","6","1","0.0","0","0","","0","0","0","0","0","0","","alabama","2022"
"25","Kendrick Law","WR","11","3","2","5","0","0.0","0","0","","0","0","0","0","0","0","","alabama","2022"
"26","Kristian Story","DB","13","5","0","5","0","0.0","0","0","","0","0","0","0","0","0","","alabama","2022"
"27","Jah-Marien Latham","DL","12","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","alabama","2022"
"28","Emmanuel Henderson","WR","12","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","alabama","2022"
"29","Jahquez Robinson","DB","6","1","1","2","1","0.5","0","0","","0","0","0","0","0","0","","alabama","2022"
"30","Shawn Murphy","LB","5","2","0","2","0","0.0","0","0","","0","1","0","0","0","0","","alabama","2022"
"31","Isaiah Hastings","DL","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","alabama","2022"
"32","Demouy Kennedy","LB","5","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","alabama","2022"
"33","Christian Leary","WR","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","alabama","2022"
"34","Ian Jackson","LB","3","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","alabama","2022"
"35","Tim Keenan III","DL","2","0","1","1","1","0.0","0","0","","0","0","0","0","0","0","","alabama","2022"
"36","Jihaad Campbell","LB","9","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","alabama","2022"
"37","Jeremiah Alexander","LB","4","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","alabama","2022"
"38","Will Reichard","K","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","alabama","2022"
"39","Kneeland Hibbett","LS","13","0","0","0","0","0.0","0","0","","0","0","1","0","0","0","","alabama","2022"
