"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Shamari Simmons","DB","12","54","19","73","2","1.0","1","0","0.0","0","6","2","3","0","0","","arizona-state","2023"
"2","Chris Edmonds","DB","12","39","32","71","0","0.0","0","0","","0","2","0","0","0","0","","arizona-state","2023"
"3","Travion Brown","LB","11","29","24","53","3","0.5","1","32","32.0","0","1","0","0","0","0","","arizona-state","2023"
"4","Tate Romney","LB","12","29","23","52","4","1.0","0","0","","0","4","1","0","0","0","","arizona-state","2023"
"5","Caleb McCullough","LB","12","26","26","52","5","1.0","0","0","","0","1","0","0","0","1","","arizona-state","2023"
"6","Jordan Clark","DB","11","30","20","50","2","0.0","0","0","","0","9","0","0","0","0","","arizona-state","2023"
"7","Dashaun Mallory","DL","12","26","22","48","10","2.0","0","0","","0","4","0","0","0","0","","arizona-state","2023"
"8","B.J. Green II","DL","12","21","18","39","12","6.0","0","0","","0","0","0","0","0","1","","arizona-state","2023"
"9","Ro Torrence","DB","12","23","14","37","2","2.0","1","0","0.0","0","3","0","0","0","0","","arizona-state","2023"
"10","Edward Woods","DB","12","27","6","33","3","0.0","1","15","15.0","0","4","0","0","0","2","","arizona-state","2023"
"11","Demetries Ford","DB","12","25","6","31","2","0.0","0","0","","0","5","0","0","0","1","","arizona-state","2023"
"12","Prince Dorbah","DL","10","14","16","30","10","6.0","0","0","","0","1","0","0","0","0","","arizona-state","2023"
"13","Alphonso Taylor","DB","11","17","10","27","0","0.0","0","0","","0","0","0","0","0","2","","arizona-state","2023"
"14","Clayton Smith","DL","11","9","12","21","6","4.5","0","0","","0","1","0","0","0","0","","arizona-state","2023"
"15","James Djonkam","LB","12","7","13","20","1","0.0","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"16","C.J. Fite","DL","11","6","9","15","2","0.0","0","0","","0","1","1","0","0","0","","arizona-state","2023"
"17","Macen Williams","DB","9","8","5","13","1","0.0","0","0","","0","1","0","0","0","0","","arizona-state","2023"
"18","Anthonie Cooper","DL","6","4","8","12","1","0.5","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"19","Elijah O'Neil","DL","12","6","5","11","2","0.5","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"20","Tristan Monday","DE","11","2","7","9","1","0.0","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"21","Sam Benjamin","DL","10","2","4","6","1","0.0","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"22","RJ Regan","DB","8","2","4","6","0","0.0","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"23","Gharin Stansbury","DL","3","0","5","5","0","0.0","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"24","Will Shaffer","LB","4","2","3","5","0","0.0","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"25","Blazen Lono-Wong","DL","9","0","5","5","1","0.0","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"26","Michael Matus","DL","9","3","2","5","1","0.5","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"27","Kyson Brown","RB","12","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"28","Tevin White","RB","11","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"29","Andre Johnson","WR","9","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"30","Xavier Guillory","WR","9","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"31","Josiah Cox","DB","10","1","2","3","1","0.5","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"32","Keith Abney II","DB","8","1","1","2","0","0.0","1","0","0.0","0","0","0","0","0","0","","arizona-state","2023"
"33","Ryan Morgan","TE","12","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"34","Messiah Swinson","TE","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"35","Montana Warren","DB","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"36","Melquan Stovall","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"37","K'Vion Thunderbird","LB","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"38","Joseph McGinnis II","DB","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"39","Jalin Conyers","TE","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"40","Ian Hershey","K","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"41","Giovanni Sanders","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"42","Elijhah Badger","WR","11","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"43","Damon Williamson","DB","4","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","arizona-state","2023"
"44","Cameron Skattebo","RB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","arizona-state","2023"
