"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Elery Alexander","S","12","54","30","84","1","1.0","1","16","16.0","0","3","2","0","0","1","","arkansas-state","2021"
"2","Jarius Reimonenq","S","12","44","23","67","3","0.0","2","25","12.5","0","7","0","0","0","0","","arkansas-state","2021"
"3","Caleb Bonner","LB","12","25","39","64","4","1.5","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"4","Kivon Bennett","DL","12","28","30","58","17","8.0","0","0","","0","2","1","80","1","2","","arkansas-state","2021"
"5","JoJo Ozougwu","DE","12","33","24","57","16","7.5","0","0","","0","2","0","0","0","1","","arkansas-state","2021"
"6","Melique Straker","CB","10","30","20","50","3","0.0","0","0","","0","0","0","0","0","1","","arkansas-state","2021"
"7","Taylon Doss","CB","11","35","9","44","2","0.0","0","0","","0","4","0","0","0","2","","arkansas-state","2021"
"8","Anthony Switzer","S","8","23","15","38","1","0.0","0","0","","0","2","1","0","0","1","","arkansas-state","2021"
"9","Jaden Harris","LB","11","16","18","34","4","1.5","0","0","","0","0","1","0","0","0","","arkansas-state","2021"
"10","Samy Johnson","CB","10","22","6","28","1","0.0","3","23","7.7","0","3","0","0","0","0","","arkansas-state","2021"
"11","Vidal Scott","DL","12","12","12","24","5","2.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"12","Leon Jones","CB","12","17","6","23","1","0.0","1","12","12.0","0","8","0","0","0","0","","arkansas-state","2021"
"13","John Mincey","DL","9","14","7","21","5","0.5","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"14","Antonio Fletcher","S","6","14","6","20","0","0.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"15","Charles Willekes","LB","11","10","8","18","1","0.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"16","Detravion Green","S","11","12","5","17","1","0.0","0","0","","0","2","0","0","0","0","","arkansas-state","2021"
"17","Denzel Blackwell","CB","10","13","3","16","0","0.0","1","0","0.0","0","1","0","0","0","0","","arkansas-state","2021"
"18","Jeffmario Brown","LB","6","11","5","16","0","0.0","1","4","4.0","0","0","0","0","0","0","","arkansas-state","2021"
"19","TW Ayers","DE","12","5","8","13","1","0.5","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"20","Dane Motley","LB","9","3","10","13","1","0.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"21","Terry Hampton","DL","6","5","6","11","3","0.0","0","0","","0","1","0","0","0","0","","arkansas-state","2021"
"22","Kenneth Harris","CB","9","9","2","11","0","0.0","2","29","14.5","0","6","0","0","0","0","","arkansas-state","2021"
"23","Sosaia Tuitavake","DE","11","5","4","9","1","0.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"24","Thurman Geathers","DE","11","4","4","8","2","1.5","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"25","Justin Parks","S","10","6","1","7","0","0.0","0","0","","0","0","1","0","0","0","","arkansas-state","2021"
"26","Trevian Thomas","S","12","6","1","7","0","0.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"27","Fred Hervey","LB","8","3","2","5","0","0.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"28","Derrick Bean","LB","6","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"29","James Blackman","QB","8","4","0","4","0","0.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"30","Quay Mays","DL","3","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"31","Jeff Foreman","WR","12","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"32","Cam Jeffery","S","12","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"33","Kam Turner","CB","2","0","2","2","1","0.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"34","Jack Bullard","S","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"35","Torren Coppage-El","DL","3","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"36","Adam Jones","WR","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"37","Eathan Hassler","LB","9","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"38","Tim Hardiman","DL","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"39","Hunter Moreton","DL","2","1","0","1","1","0.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"40","Isreal Whitmore","LB","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"41","Andre Harris Jr.","OL","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"42","Ivory Scott","OL","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"43","Booker Ficklin","CB","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
"44","Corey Rucker","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","arkansas-state","2021"
