"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Clayton Coll","LB","12","49","61","110","7","2.0","0","0","","0","4","0","0","0","2","","ball-state","2022"
"2","Jordan Riley-Scott","S","12","61","36","97","3","1.0","0","0","","0","12","0","0","0","1","","ball-state","2022"
"3","Jaquan Amos","DB","12","61","34","95","7","0.5","1","31","31.0","0","5","0","0","0","0","","ball-state","2022"
"4","Cole Pearce","LB","12","48","37","85","14","5.0","1","0","0.0","0","4","0","0","0","0","","ball-state","2022"
"5","Malcom Lee","DB","12","42","29","71","2","0.0","0","0","","0","1","1","0","0","2","","ball-state","2022"
"6","Sidney Houston","DL","12","31","36","67","8","4.0","0","0","","0","1","1","0","1","0","","ball-state","2022"
"7","Amechi Uzodinma II","CB","12","39","7","46","1","0.0","3","1","0.3","0","9","1","5","0","1","","ball-state","2022"
"8","Ben Egenolf","DB","12","15","22","37","1","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"9","Tavion Woodard","DL","12","19","16","35","5","4.0","0","0","","0","2","0","0","0","0","","ball-state","2022"
"10","Jack Sape","DL","10","13","14","27","2","1.0","0","0","","0","1","0","0","0","0","","ball-state","2022"
"11","Joshua Tarango","DL","7","8","18","26","2","0.5","0","0","","0","0","0","0","0","0","","ball-state","2022"
"12","Tyler 'Red' Potts","DB","12","9","17","26","2","1.0","0","0","","0","5","0","0","0","1","","ball-state","2022"
"13","Nic Jones","DB","11","16","7","23","0","0.0","2","12","6.0","0","12","0","0","0","0","","ball-state","2022"
"14","Kyron Mims","DL","12","7","15","22","1","0.0","0","0","","0","1","1","0","0","0","","ball-state","2022"
"15","Kyle King","DL","12","7","15","22","5","2.5","0","0","","0","3","1","0","0","0","","ball-state","2022"
"16","Loren Strickland","S","12","9","10","19","1","0.0","0","0","","0","0","0","0","0","1","","ball-state","2022"
"17","Jack Blanco","DB","4","6","12","18","0","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"18","John Harris","DL","11","7","10","17","1","1.0","0","0","","0","2","0","0","0","0","","ball-state","2022"
"19","Keionte Newson","LB","12","8","8","16","0","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"20","Brandon Berger","LB","11","4","6","10","2","1.0","0","0","","0","1","1","0","0","0","","ball-state","2022"
"21","Trenton Hatfield","S","11","6","3","9","0","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"22","Joey Stemler","LB","12","3","6","9","0","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"23","Brayden Evans","S","12","4","3","7","1","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"24","Latrelle Smith","DB","8","4","2","6","0","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"25","Julian McBride","DL","5","1","3","4","1","0.0","0","0","","0","0","1","0","0","0","","ball-state","2022"
"26","Nathan Reichert","DL","9","2","1","3","1","0.5","0","0","","0","0","0","0","0","0","","ball-state","2022"
"27","Justen Ramsey","DL","6","1","2","3","1","1.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"28","Casey Coll","TE","11","0","3","3","0","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"29","Dalton Elrod","LB","9","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"30","Nick Munson","WR","3","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"31","Ryan Lezon","TE","12","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"32","Yo'Heinz Tyler","WR","11","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"33","Jack Beebe","LB","7","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"34","Dylan Seiler","LS","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"35","Nate Pedraza","LB","5","1","0","1","1","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"36","Caden Britton","LS","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"37","Carson Steele","RB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"38","John Paddock","QB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"39","Nick Presley","WR","10","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"40","Chase Wyatt","P","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"41","Tanner Koziol","TE","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"42","Ethan Crowe","OL","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"43","Tommy Lorincz","OL","9","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"44","Brady Hunt","TE","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
"45","Will Jones","RB","12","1","0","1","0","0.0","0","0","","0","0","1","0","0","0","","ball-state","2022"
"46","Donny Marcus","RB","3","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","ball-state","2022"
