"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Vinny DePalma","LB","13","41","52","93","2","0.5","0","0","","0","1","1","0","0","0","","boston-college","2023"
"2","John Pupel","DB","13","55","26","81","7","0.0","0","0","","0","1","1","0","0","1","","boston-college","2023"
"3","Kam Arnold","LB","13","30","36","66","3","1.0","0","0","","0","3","0","0","0","1","","boston-college","2023"
"4","Donovan Ezeiruaku","DE","13","28","25","53","7","2.0","0","0","","0","1","0","0","0","2","","boston-college","2023"
"5","Cam Horsley","DL","13","15","26","41","3","0.5","0","0","","0","3","0","0","0","0","","boston-college","2023"
"6","Amari Jackson","DB","13","33","6","39","4","0.0","1","30","30.0","1","1","0","0","0","0","","boston-college","2023"
"7","Cole Batson","DB","10","23","14","37","1","0.0","1","0","0.0","0","2","0","0","0","1","","boston-college","2023"
"8","George Rooks","DL","12","13","16","29","3","1.5","0","0","","0","0","0","0","0","1","","boston-college","2023"
"9","Khari Johnson","DB","12","12","16","28","1","0.5","0","0","","0","1","1","19","1","0","","boston-college","2023"
"10","Sione Hala","LB","13","13","13","26","3","1.0","0","0","","0","0","0","0","0","1","","boston-college","2023"
"11","Neto Okpala","DE","13","13","13","26","5","2.0","0","0","","0","1","1","0","0","1","","boston-college","2023"
"12","Jalen Cheek","DB","10","16","10","26","0","0.0","0","0","","0","3","0","0","0","0","","boston-college","2023"
"13","Elijah Jones","CB","9","18","7","25","0","0.0","5","11","2.2","0","8","0","0","0","1","","boston-college","2023"
"14","Khris Banks","DT","13","12","12","24","1","1.0","0","0","","0","1","1","0","0","0","","boston-college","2023"
"15","KP Price","DB","13","14","4","18","0","0.0","0","0","","0","1","0","0","0","0","","boston-college","2023"
"16","Daveon Crouch","LB","11","10","7","17","1","0.0","0","0","","0","1","0","0","0","0","","boston-college","2023"
"17","Victor Nelson Jr.","DB","13","10","4","14","0","0.0","0","0","","0","1","1","0","0","1","","boston-college","2023"
"18","Shitta Sillah","DE","8","9","5","14","3","2.0","0","0","","0","0","0","0","0","0","","boston-college","2023"
"19","CJ Clinkscales","DB","9","10","4","14","0","0.0","1","4","4.0","0","0","0","0","0","0","","boston-college","2023"
"20","Edwin Kolenge","DL","13","4","8","12","2","1.0","0","0","","0","0","0","0","0","1","","boston-college","2023"
"21","Jaylen Blackwell","LB","7","5","6","11","1","0.0","0","0","","0","0","0","0","0","0","","boston-college","2023"
"22","Owen Stoudmire","DT","10","4","5","9","0","0.0","0","0","","0","0","0","0","0","0","","boston-college","2023"
"23","Max Tucker","DB","10","7","2","9","0","0.0","0","0","","0","2","0","0","0","0","","boston-college","2023"
"24","Kwan Williams","DL","11","4","5","9","0","0.0","0","0","","0","0","0","0","0","0","","boston-college","2023"
"25","Owen McGowan","LB","13","6","2","8","0","0.0","0","0","","0","0","0","0","0","0","","boston-college","2023"
"26","Nigel Tate","DT","9","1","7","8","0","0.0","0","0","","0","0","0","0","0","0","","boston-college","2023"
"27","Gilbert Tongrongou","DL","5","1","5","6","0","0.0","0","0","","0","0","1","0","0","0","","boston-college","2023"
"28","Jamareeh Jones","DB","10","3","2","5","0","0.0","0","0","","0","0","0","0","0","0","","boston-college","2023"
"29","Quintayvious Hutchins","DL","9","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","boston-college","2023"
"30","Jalon Williams","DB","12","4","0","4","0","0.0","0","0","","0","0","0","0","0","0","","boston-college","2023"
"31","Dino Tomlin","WR","13","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","boston-college","2023"
"32","Kahlil Ali","DB","4","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","boston-college","2023"
"33","Alex Washington","CB","4","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","boston-college","2023"
"34","Drew Kendall","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","boston-college","2023"
"35","Logan Taylor","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","boston-college","2023"
"36","Christian Mahogany","OG","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","boston-college","2023"
"37","Michael Wright","LS","13","1","0","1","0","0.0","0","0","","0","0","1","0","0","0","","boston-college","2023"
"38","Nate Johnson","WR","8","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","boston-college","2023"
"39","Joe Marinaro","LB","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","boston-college","2023"
"40","Joe Griffin","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","boston-college","2023"
"41","Jason Scott","DB","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","boston-college","2023"
"42","Taji Johnson","WR","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","boston-college","2023"
"43","Thomas Castellanos","QB","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","boston-college","2023"
"44","Andre Hines","RB","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","boston-college","2023"
