"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Ben Bywater","LB","13","57","45","102","9","1.0","0","0","","0","0","0","0","0","0","","brigham-young","2021"
"2","Max Tooley","LB","12","37","31","68","5","1.0","1","0","0.0","0","3","0","0","0","0","","brigham-young","2021"
"3","Payton Wilgar","LB","10","29","27","56","7","1.5","2","24","12.0","0","4","0","0","0","1","","brigham-young","2021"
"4","Tyler Batty","DL","12","23","20","43","5","3.5","0","0","","0","0","0","0","0","1","","brigham-young","2021"
"5","Pepe Tanuvasa","LB","13","23","19","42","7","3.0","1","16","16.0","0","0","0","0","0","0","","brigham-young","2021"
"6","Chaz Ah You","LB","8","18","21","39","1","0.0","1","4","4.0","0","2","0","0","0","1","","brigham-young","2021"
"7","D'Angelo Mandell","DB","13","25","11","36","1","0.0","0","0","","0","4","0","0","0","0","","brigham-young","2021"
"8","Ammon Hannemann","DB","10","25","9","34","0","0.0","0","0","","0","1","0","0","0","0","","brigham-young","2021"
"9","Malik Moore","DB","13","20","13","33","0","0.0","3","23","7.7","0","3","0","0","0","0","","brigham-young","2021"
"10","Morgan Pyper","DB","13","15","17","32","1","0.0","0","0","","0","0","0","0","0","0","","brigham-young","2021"
"11","Drew Jensen","LB","13","12","20","32","1","0.0","1","0","0.0","0","1","0","0","0","0","","brigham-young","2021"
"12","Caden Haws","DL","11","11","20","31","3","1.5","0","0","","0","2","0","0","0","1","","brigham-young","2021"
"13","Keenan Pili","LB","3","14","17","31","4","1.5","0","0","","0","0","0","0","0","0","","brigham-young","2021"
"14","Jakob Robinson","DB","12","24","5","29","0","0.0","3","7","2.3","0","4","0","0","0","0","","brigham-young","2021"
"15","Uriah Leiataua","DL","13","16","10","26","4","2.5","0","0","","0","0","1","0","0","1","","brigham-young","2021"
"16","Kaleb Hayes","DB","13","21","5","26","0","0.0","0","0","","0","12","0","0","0","0","","brigham-young","2021"
"17","Atunaisa Mahe","DL","12","12","14","26","5","1.5","0","0","","0","0","0","0","0","0","","brigham-young","2021"
"18","Earl Tuioti-Mariner","DL","13","6","19","25","2","1.0","0","0","","0","0","0","0","0","0","","brigham-young","2021"
"19","Gabe Summers","DL","12","12","12","24","1","0.0","0","0","","0","0","0","0","0","0","","brigham-young","2021"
"20","Jacob Boren","DB","13","13","7","20","0","0.0","0","0","","0","2","0","0","0","1","","brigham-young","2021"
"21","Jackson Kaufusi","LB","9","8","7","15","0","0.0","0","0","","0","0","0","0","0","0","","brigham-young","2021"
"22","Hayden Livingston","DB","13","10","3","13","0","0.0","2","8","4.0","0","2","1","0","0","0","","brigham-young","2021"
"23","Matthew Criddle","DB","9","8","5","13","0","0.0","1","0","0.0","0","1","0","0","0","0","","brigham-young","2021"
"24","Isaiah Herron","DB","10","9","4","13","0","0.0","0","0","","0","3","1","0","0","0","","brigham-young","2021"
"25","John Nelson","DL","13","6","6","12","2","0.5","0","0","","0","1","0","0","0","0","","brigham-young","2021"
"26","Fisher Jackson","DL","9","5","4","9","1","0.5","0","0","","0","2","0","0","0","0","","brigham-young","2021"
