"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Joe Andreessen","LB","12","55","35","90","12","1.0","0","0","","0","2","0","0","0","1","","buffalo","2023"
"2","Devin Grant","S","12","55","24","79","2","0.0","5","167","33.4","2","4","2","3","0","1","","buffalo","2023"
"3","Khalil Murdock","LB","12","36","24","60","10","2.0","0","0","","0","0","0","0","0","4","","buffalo","2023"
"4","Marcus Fuqua","DB","12","38","19","57","4","0.0","0","0","","0","1","2","5","0","0","","buffalo","2023"
"5","Max Michel","DE","11","25","21","46","10","5.0","0","0","","0","4","1","0","0","4","","buffalo","2023"
"6","Charles McCartherens","CB","12","27","7","34","1","0.0","3","32","10.7","0","3","0","0","0","1","","buffalo","2023"
"7","Shaun Dolac","LB","4","17","15","32","3","0.0","1","32","32.0","0","0","0","0","0","0","","buffalo","2023"
"8","Dion Crawford","LB","11","23","8","31","1","0.0","0","0","","0","1","0","0","0","0","","buffalo","2023"
"9","Solomon Brown","DB","8","16","10","26","1","0.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
"10","Jyaire Stevens","DE","12","13","12","25","4","1.0","0","0","","0","2","0","0","0","0","","buffalo","2023"
"11","George Wolo","DL","12","12","11","23","5","3.5","0","0","","0","1","0","0","0","0","","buffalo","2023"
"12","Daymond Williams","DT","12","9","13","22","5","1.0","0","0","","0","2","1","0","0","0","","buffalo","2023"
"13","Clevester Hines","CB","10","17","5","22","2","0.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
"14","Devonyal Lofton","DE","12","12","8","20","3","1.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
"15","C.J. Bazile","DL","12","12","8","20","4","2.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
"16","Jayden Oliver","CB","8","12","6","18","1","0.0","1","1","1.0","0","5","0","0","0","0","","buffalo","2023"
"17","Daishon Folsom","DT","12","8","8","16","1","0.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
"18","Demetrius Harris","S","7","9","5","14","2","0.0","0","0","","0","2","0","0","0","0","","buffalo","2023"
"19","Jaylon Bass","DT","12","5","9","14","3","1.5","1","0","0.0","0","1","1","0","0","1","","buffalo","2023"
"20","Caleb Offord","CB","4","10","2","12","0","0.0","0","0","","0","4","0","0","0","0","","buffalo","2023"
"21","Amonte' Strothers","CB","7","9","3","12","1","0.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
"22","Victor Snow","WR","10","9","2","11","0","0.0","0","0","","0","0","0","0","0","1","","buffalo","2023"
"23","Jonathan Capo","S","12","4","4","8","0","0.0","0","0","","0","0","1","0","0","0","","buffalo","2023"
"24","Al-Jay Henderson","RB","10","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
"25","Jalen McNair","DB","1","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
"26","Tadd Barr","WR","12","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
"27","Kameron Olds","DE","10","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
"28","Gio De Leon","LB","6","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
"29","Evan Davis","LS","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
"30","Darrell Harding Jr.","WR","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
"31","Cornell Evans","DT","5","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
"32","Trevor Brock","OL","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
"33","Jake Zimmer","LB","5","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
"34","Ron Cook Jr.","RB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
"35","Mike Washington","RB","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
"36","Micah Woods","WR","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
"37","Marlyn Johnson","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
"38","Joseph Giggie","RB","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
"39","Isaiah Wright","OL","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
"40","Anthony Venneri","K","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
"41","Alex McNulty","K","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","buffalo","2023"
