"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Jackson Sirmon","LB","12","49","55","104","6","3.5","1","1","1.0","0","4","0","37","1","1","","california","2022"
"2","Femi Oladejo","LB","12","43","48","91","5","1.0","1","26","26.0","0","1","1","0","0","1","","california","2022"
"3","Daniel Scott","S","12","57","28","85","3","0.0","3","59","19.7","0","4","0","0","0","2","","california","2022"
"4","Criag Woodson","DB","12","53","22","75","3","0.0","2","41","20.5","1","3","0","0","0","1","","california","2022"
"5","Myles Jerningan","LB","12","21","30","51","5","4.0","0","0","","0","1","1","0","0","1","","california","2022"
"6","Ricky Correia","DL","12","16","21","37","1","0.5","0","0","","0","0","0","0","0","0","","california","2022"
"7","Jeremiah Earby","DB","12","19","17","36","1","0.0","1","0","0.0","0","11","2","36","1","0","","california","2022"
"8","Xavier Carlton","LB","12","20","16","36","7","4.5","0","0","","0","1","1","0","0","0","","california","2022"
"9","Ethan Saunders","DL","12","13","23","36","1","0.5","0","0","","0","0","0","0","0","0","","california","2022"
"10","Collin Gamble","DB","8","21","11","32","6","1.0","0","0","","0","3","0","0","0","1","","california","2022"
"11","Nate Burrell","DL","12","15","13","28","0","0.0","0","0","","0","0","1","0","0","0","","california","2022"
"12","Isaiah Young","DB","12","19","7","26","1","0.0","2","0","0.0","0","0","0","0","0","0","","california","2022"
"13","Miles Williams","DB","11","16","9","25","3","0.0","0","0","","0","2","0","0","0","0","","california","2022"
"14","Muelu Iosefa","LB","6","12","8","20","1","0.0","0","0","","0","0","0","0","0","0","","california","2022"
"15","Lu-Magia Hearns","DB","6","9","6","15","1","0.0","0","0","","0","4","0","0","0","0","","california","2022"
"16","Tyson McWilliams","CB","6","9","5","14","1","0.0","0","0","","0","0","0","0","0","0","","california","2022"
"17","Jaedon Roberts","OL","12","6","8","14","1","0.0","0","0","","0","0","0","0","0","0","","california","2022"
"18","Nate Rutchena","LB","12","7","6","13","1","0.0","0","0","","0","0","0","0","0","0","","california","2022"
"19","Raymond Woodie III","DB","10","7","5","12","1","0.0","0","0","","0","0","0","0","0","0","","california","2022"
"20","Blake Antzoulatos","LB","10","7","4","11","1","0.0","0","0","","0","0","0","0","0","0","","california","2022"
"21","Braxten Croteau","LB","7","6","4","10","2","0.0","0","0","","0","0","0","0","0","0","","california","2022"
"22","Darius Long","DL","11","4","5","9","1","0.0","0","0","","0","1","0","0","0","0","","california","2022"
"23","Orin Patu","LB","12","5","2","7","2","1.0","1","0","0.0","0","0","0","0","0","1","","california","2022"
"24","Myles Williams","LB","10","4","3","7","1","1.0","0","0","","0","0","0","0","0","0","","california","2022"
"25","Hunter Barth","LB","12","3","2","5","0","0.0","0","0","","0","0","1","0","0","0","","california","2022"
"26","Odua Isibor","LB","5","4","1","5","1","0.0","0","0","","0","0","0","0","0","0","","california","2022"
"27","Henry Ikahihifo","LB","11","2","3","5","1","1.0","0","0","","0","0","0","0","0","0","","california","2022"
"28","Ryan Puskas","LB","7","3","2","5","1","1.0","0","0","","0","0","0","0","0","0","","california","2022"
"29","Dejuan Butler","DB","9","2","2","4","0","0.0","0","0","","0","0","0","0","0","1","","california","2022"
"30","Michael Luckhurst","K","12","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","california","2022"
"31","Akil Calhoun","DL","4","0","3","3","0","0.0","0","0","","0","0","0","0","0","0","","california","2022"
"32","Slater Zellers","LS","12","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","california","2022"
"33","D.J. Jackson","S","7","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","california","2022"
"34","Brayden Rohme","OL","10","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","california","2022"
"35","Gunnar Rask","DT","7","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","california","2022"
"36","Elijah Mojarro","TE","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","california","2022"
"37","DeCarlos Brooks","RB","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","california","2022"
"38","Monroe Young","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","california","2022"
"39","Mavin Anderson","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","california","2022"
"40","Kenden Robinson Jr.","WR","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","california","2022"
"41","Jeremiah Hunter","WR","11","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","california","2022"
"42","J. Michael Sturdivant","WR","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","california","2022"
"43","Damien Moore","RB","9","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","california","2022"
"44","Spencer Lovell","OL","3","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","california","2022"
"45","Trey Paster","LB","8","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","california","2022"
