"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Jason Johnson","LB","14","67","59","126","4","1.0","0","0","","0","0","2","0","0","2","","central-florida","2022"
"2","Koby Perry","CB","13","33","23","56","3","0.0","0","0","","0","1","0","0","0","0","","central-florida","2022"
"3","Josh Celiscar","DL","14","32","22","54","9","3.0","0","0","","0","1","1","0","0","3","","central-florida","2022"
"4","Walter Yates","LB","14","33","21","54","5","1.5","0","0","","0","0","1","0","0","0","","central-florida","2022"
"5","Tre'mon Morris-Brash","DL","14","28","24","52","13","6.0","0","0","","0","4","2","104","0","1","","central-florida","2022"
"6","Jeremiah Jean-Baptiste","LB","10","37","15","52","5","1.0","0","0","","0","4","0","0","0","1","","central-florida","2022"
"7","Corey Thornton","DB","13","37","13","50","1","0.0","0","0","","0","7","0","0","0","1","","central-florida","2022"
"8","Ricky Barber","DL","14","18","31","49","9","3.0","0","0","","0","4","0","0","0","0","","central-florida","2022"
"9","Anthony Montalvo","DL","14","23","20","43","7","2.0","0","0","","0","2","0","0","0","0","","central-florida","2022"
"10","Divaad Wilson","DB","12","32","9","41","1","0.0","3","12","4.0","0","4","1","9","0","1","","central-florida","2022"
"11","Jarvis Ware","DB","12","27","14","41","1","0.0","0","0","","0","4","0","0","0","0","","central-florida","2022"
"12","Justin Hodges","DB","14","23","17","40","3","1.0","1","0","0.0","0","5","2","0","0","0","","central-florida","2022"
"13","Brandon Adams","DB","14","27","7","34","1","0.0","0","0","","0","4","0","0","0","0","","central-florida","2022"
"14","Davonte Brown","DB","13","24","6","30","3","0.0","2","22","11.0","0","4","0","0","0","1","","central-florida","2022"
"15","Quadric Bullard","DB","7","17","10","27","2","0.0","0","0","","0","3","0","0","0","1","","central-florida","2022"
"16","Nikai Martinez","DB","14","17","4","21","2","1.0","0","0","","0","2","0","0","0","0","","central-florida","2022"
"17","Lee Hunter","DL","13","9","8","17","1","1.0","0","0","","0","0","0","0","0","0","","central-florida","2022"
"18","Demari Henderson","DB","12","7","5","12","1","0.0","0","0","","0","2","0","0","0","0","","central-florida","2022"
"19","K.D. McDaniel","DE","13","7","3","10","2","1.0","0","0","","0","0","1","20","0","1","","central-florida","2022"
"20","Kam Moore","LB","9","6","4","10","2","0.0","0","0","","0","0","0","0","0","1","","central-florida","2022"
"21","Matthew Alexander","DL","14","4","5","9","1","0.0","0","0","","0","0","0","0","0","0","","central-florida","2022"
"22","William Wells","DB","12","5","1","6","1","0.0","0","0","","0","0","0","0","0","0","","central-florida","2022"
"23","Keenan Hester","DL","4","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","central-florida","2022"
"24","Alec Holler","TE","14","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","central-florida","2022"
"25","Jamaal Johnson","DE","5","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","central-florida","2022"
"26","Dallaz Corbitt","DL","6","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","central-florida","2022"
"27","Jarrad Baker","WR","12","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","central-florida","2022"
"28","Ja'Cari Henderson","DB","4","2","1","3","0","0.0","0","0","","0","1","0","0","0","0","","central-florida","2022"
"29","Keenan Cupit","LB","5","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","central-florida","2022"
"30","Dyllon Lester","DB","4","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","central-florida","2022"
"31","Ryan O'Keefe","WR","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","central-florida","2022"
"32","Malachi Lawrence","DL","3","1","1","2","1","0.5","0","0","","0","0","0","0","0","0","","central-florida","2022"
"33","Alex Ward","LS","14","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","central-florida","2022"
"34","Kervins Choute","DL","3","2","0","2","2","0.0","0","0","","0","0","0","0","0","0","","central-florida","2022"
"35","Johnny Richardson","RB","14","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","central-florida","2022"
"36","Jaiden Francois","DB","9","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","central-florida","2022"
"37","Branden Jennings","LB","4","0","2","2","0","0.0","0","0","","0","0","1","0","0","0","","central-florida","2022"
"38","Austin Camden","DL","14","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","central-florida","2022"
"39","Kobe Hudson","WR","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","central-florida","2022"
"40","Keahnist Thompson","DE","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","central-florida","2022"
"41","John Rhys Plumlee","QB","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","central-florida","2022"
"42","Javon Baker","WR","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","central-florida","2022"
"43","Ryker Casey","K","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","central-florida","2022"
"44","Colton Boomer","K","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","central-florida","2022"
"45","Xavier Townsend","WR","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","central-florida","2022"
