"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Trey Jones","DB","11","37","29","66","3","0.0","1","0","0.0","0","3","0","0","0","1","","central-michigan","2023"
"2","Kyle Moretti","LB","9","32","33","65","5","2.0","0","0","","0","4","0","0","0","0","","central-michigan","2023"
"3","Donte Kent","DB","11","39","19","58","3","0.5","0","0","","0","7","0","0","0","0","","central-michigan","2023"
"4","Justin Whiteside","LB","12","31","22","53","4","0.0","0","0","","0","0","0","0","0","1","","central-michigan","2023"
"5","Dakota Cochran","LB","12","31","20","51","2","0.0","1","9","9.0","0","1","0","0","0","0","","central-michigan","2023"
"6","Caleb Spann","DB","12","29","17","46","2","0.5","0","0","","0","2","0","0","0","0","","central-michigan","2023"
"7","Jacques Bristol","DL","12","18","26","44","8","4.0","0","0","","0","2","1","0","0","0","","central-michigan","2023"
"8","Da'Raun McKinney","DB","8","24","15","39","3","0.0","0","0","","0","4","0","0","0","0","","central-michigan","2023"
"9","Jason Wiliams","DL","12","13","23","36","3","1.0","0","0","","0","0","0","0","0","0","","central-michigan","2023"
"10","Jordan Kwiatkowski","LB","11","17","15","32","1","0.0","0","0","","0","3","0","0","0","0","","central-michigan","2023"
"11","Elijah Rikard","DB","10","15","13","28","0","0.0","1","0","0.0","0","1","0","0","0","0","","central-michigan","2023"
"12","Quindario Lee","DL","11","14","14","28","7","3.0","0","0","","0","0","1","0","0","0","","central-michigan","2023"
"13","Jarvarius Sims","DB","12","16","7","23","1","0.0","0","0","","0","3","0","0","0","0","","central-michigan","2023"
"14","Michael Heldman","DL","11","13","9","22","5","2.5","0","0","","0","1","0","0","0","1","","central-michigan","2023"
"15","Lavario Wiley","DB","12","12","9","21","0","0.0","0","0","","0","1","0","0","0","0","","central-michigan","2023"
"16","Maurice White","DL","12","11","7","18","5","3.5","0","0","","0","0","1","0","0","0","","central-michigan","2023"
"17","Nick Apsey","LB","10","7","10","17","1","0.0","0","0","","0","0","0","0","0","0","","central-michigan","2023"
"18","Jonah Pace","DL","12","9","8","17","1","1.0","0","0","","0","0","0","0","0","0","","central-michigan","2023"
"19","Lawai'a Brown","LB","10","9","7","16","1","0.0","0","0","","0","0","0","0","0","0","","central-michigan","2023"
"20","Nahree Biggins","DB","11","10","5","15","2","0.0","1","4","4.0","0","2","0","0","0","0","","central-michigan","2023"
"21","De'Javion Stepney","DB","10","11","4","15","1","0.0","0","0","","0","2","0","0","0","0","","central-michigan","2023"
"22","Fernando Sanchez III","LB","8","4","6","10","2","0.5","0","0","","0","0","0","0","0","0","","central-michigan","2023"
"23","Marcus Badgett","DB","10","9","0","9","0","0.0","1","13","13.0","0","2","0","0","0","0","","central-michigan","2023"
"24","Robi Stuart","DL","6","3","6","9","2","1.5","0","0","","0","0","0","0","0","0","","central-michigan","2023"
"25","Jonathan Decker","OL","8","2","3","5","0","0.0","0","0","","0","0","0","0","0","0","","central-michigan","2023"
"26","Kade Kostus","DL","11","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","central-michigan","2023"
"27","Jake Tafelski","RB","11","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","central-michigan","2023"
"28","Ed Conoran","DB","12","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","central-michigan","2023"
"29","Ke'shon Parker","LB","11","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","central-michigan","2023"
"30","Keshawn Hayden","DL","3","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","central-michigan","2023"
"31","Mitchel Collier","TE","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","central-michigan","2023"
"32","Thomas Pannunzio","WR","12","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","central-michigan","2023"
"33","Ben Pratt","LS","12","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","central-michigan","2023"
"34","Chris Parker","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","central-michigan","2023"
"35","Marcus Young","TE","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","central-michigan","2023"
"36","Davis Heinzen","OL","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","central-michigan","2023"
"37","Christian Brown","RB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","central-michigan","2023"
"38","Jase Bauer","QB","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","central-michigan","2023"
"39","Jalen McGaughy","WR","9","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","central-michigan","2023"
