"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Demetrius Knight II","LB","12","44","52","96","6","1.5","3","82","27.3","1","4","0","0","0","0","","charlotte","2023"
"2","Nikhai Hill-Green","LB","11","48","25","73","9","2.0","0","0","","0","3","0","0","0","1","","charlotte","2023"
"3","Eyabi Okie","DL","10","23","33","56","12","5.5","0","0","","0","1","0","0","0","1","","charlotte","2023"
"4","Dontae Balfour","DB","11","34","20","54","1","0.0","1","0","0.0","0","11","1","0","0","2","","charlotte","2023"
"5","Prince Bemah","LB","10","16","32","48","3","1.5","0","0","","0","0","0","0","0","0","","charlotte","2023"
"6","Isaiah Hazel","DB","12","17","28","45","0","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"7","Kameron Howard","DB","12","21","17","38","1","0.0","2","27","13.5","0","1","0","0","0","0","","charlotte","2023"
"8","Wayne Jones","DB","10","13","23","36","1","0.5","0","0","","0","0","0","0","0","0","","charlotte","2023"
"9","Demon Clowney","DL","12","13","20","33","4","2.5","0","0","","0","0","1","0","0","0","","charlotte","2023"
"10","Austin Fontaine","DL","11","11","19","30","1","0.0","0","0","","0","1","0","0","0","0","","charlotte","2023"
"11","Jaren Handy","DL","10","13","16","29","6","2.0","0","0","","0","1","0","0","0","0","","charlotte","2023"
"12","Ladaeson DeAndre Hollins","DB","12","16","12","28","1","0.0","0","0","","0","2","1","0","0","0","","charlotte","2023"
"13","Ali Ali","DB","6","14","8","22","0","0.0","0","0","","0","2","0","0","0","1","","charlotte","2023"
"14","Jonathan Wallace","DL","11","5","16","21","3","1.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"15","Dontez Fagan","DB","12","16","5","21","3","0.0","1","0","0.0","0","4","1","0","0","0","","charlotte","2023"
"16","CJ Burton","DB","12","10","8","18","2","0.0","2","-2","-1.0","0","1","0","0","0","0","","charlotte","2023"
"17","Dez Morgan","DL","10","4","13","17","0","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"18","Miguel Jackson","DL","8","6","10","16","4","2.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"19","Colin Coates","DL","5","5","9","14","2","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"20","Marcus Robitaille","DB","8","10","4","14","2","0.0","1","0","0.0","0","0","1","0","0","0","","charlotte","2023"
"21","Maguire Neal","DB","11","5","8","13","1","0.0","1","0","0.0","0","0","0","0","0","0","","charlotte","2023"
"22","Reid Williford","LB","12","10","3","13","1","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"23","Michael Kelly","DL","7","3","5","8","1","0.5","0","0","","0","0","0","0","0","0","","charlotte","2023"
"24","Cam Burden","LB","11","1","5","6","0","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"25","Andrew Adair","OL","11","2","4","6","0","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"26","Randy Franklin","DB","12","4","1","5","0","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"27","Zion Shockley","DL","2","4","1","5","1","1.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"28","Breon Noel","DB","10","2","3","5","0","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"29","Julius Welschof","DL","4","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"30","Osita Ekwonu","LB","12","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"31","Jalar Holley","DL","1","1","2","3","1","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"32","Isaac Washington","DL","2","1","2","3","1","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"33","Bryce Kennon","TE","12","3","0","3","0","0.0","0","0","","0","0","1","0","0","0","","charlotte","2023"
"34","Derek Boykins","LB","4","3","0","3","1","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"35","Grant Gonya","K","12","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"36","Joachim Bangda","RB","11","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"37","Duane Thomas Jr.","WR","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"38","Adam Booker","LS","12","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"39","B.J. Ragland","DL","2","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"40","Hashaun Wilson","RB","10","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"41","Malik Baker II","WR","8","1","1","2","0","0.0","0","0","","0","0","0","0","0","1","","charlotte","2023"
"42","Lucas Gramlick","OL","11","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"43","Dominique Shoffner","QB","3","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"44","Sean Brown","WR","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"45","Tequan Latimore","DB","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"46","Jasper Parks","OL","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
"47","Jonny King","OL","7","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","charlotte","2023"
