"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Deshawn Pace","LB","11","42","38","80","11","1.5","1","25","25.0","0","6","1","0","0","1","","cincinnati","2023"
"2","Bryon Threats","S","12","36","21","57","3","1.0","2","39","19.5","0","6","0","0","0","1","","cincinnati","2023"
"3","Dorian Jones","LB","11","24","32","56","3","1.0","1","0","0.0","0","2","0","0","0","0","","cincinnati","2023"
"4","Taj Ward","DB","12","32","23","55","4","0.5","0","0","","0","2","1","0","0","2","","cincinnati","2023"
"5","Jack Dingle","LB","12","28","25","53","5","1.0","0","0","","0","1","2","0","0","0","","cincinnati","2023"
"6","Daniel Grzesiak","LB","12","22","24","46","7","3.5","0","0","","0","3","1","0","0","1","","cincinnati","2023"
"7","Dontay Corleone","DL","12","22","17","39","7","3.0","0","0","","0","1","0","0","0","1","","cincinnati","2023"
"8","Jordan Young","CB","12","22","12","34","1","0.0","1","0","0.0","0","7","0","0","0","0","","cincinnati","2023"
"9","Justin Harris","DB","12","19","12","31","3","0.0","1","0","0.0","0","6","0","0","0","0","","cincinnati","2023"
"10","Jonathan Thompson","LB","12","20","11","31","4","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"11","Jowon Briggs","DL","12","9","18","27","6","2.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"12","Ken Willis","DB","12","12","11","23","1","0.0","2","36","18.0","0","0","0","0","0","0","","cincinnati","2023"
"13","Antwan Peek Jr.","S","12","10","7","17","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"14","D.J. Taylor","S","12","6","10","16","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"15","Tyler Gillison","LB","10","5","10","15","3","0.0","0","0","","0","1","0","0","0","0","","cincinnati","2023"
"16","Eric Phillips","DE","12","8","6","14","6","2.0","0","0","","0","1","0","0","0","1","","cincinnati","2023"
"17","Justin Wodtly","DE","11","4","9","13","2","1.0","0","0","","0","1","0","0","0","0","","cincinnati","2023"
"18","Malik Vann","DE","12","5","7","12","2","1.5","0","0","","0","1","0","0","0","0","","cincinnati","2023"
"19","Kalen Carroll","CB","8","7","5","12","0","0.0","0","0","","0","5","0","0","0","0","","cincinnati","2023"
"20","Dion Hunter","LB","10","3","8","11","1","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"21","Rob Jackson","DE","8","1","7","8","2","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"22","James Camden","LB","12","1","7","8","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"23","Jah-Mal Williams","LB","10","3","3","6","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"24","Aaron Turner","WR","12","4","2","6","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"25","Todd Bumphis","CB","11","4","1","5","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"26","Ethan Wright","RB","4","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"27","Derrick Shepard","DL","7","1","3","4","1","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"28","Ryan Mullaney","DL","12","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"29","Oliver Bridges","DB","8","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"30","Jalen Hunt","DL","12","1","2","3","1","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"31","Cayson Pfeiffer","LS","12","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"32","Isiah Cox","S","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"33","Jabril White","DB","3","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"34","Luke Kandra","OL","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"35","George Udo","S","3","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"36","Myles Montgomery","RB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"37","Gavin Gerhardt","OL","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"38","Rayquan Adkins","CB","9","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"39","Emory Jones","QB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"40","Ryan Montgomery","RB","8","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"41","CJ Doggette","DE","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"42","Sammy Anderson","CB","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"43","Braden Smith","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"44","Trevor Adams","LB","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"45","Barak Faulk","TE","5","0","1","1","1","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
"46","Xzavier Henderson","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","cincinnati","2023"
