"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Jeremiah Trotter Jr.","LB","14","50","39","89","14","6.5","2","35","17.5","1","5","0","0","0","1","","clemson","2022"
"2","Jalyn Phillips","S","14","42","32","74","2","0.0","1","2","2.0","0","3","1","0","0","0","","clemson","2022"
"3","Barrett Carter","LB","13","41","32","73","11","5.5","2","1","0.5","0","8","0","0","0","2","","clemson","2022"
"4","Trenton Simpson","LB","12","41","31","72","4","2.5","0","0","","0","3","0","0","0","2","","clemson","2022"
"5","Andrew Mukuba","S","12","32","22","54","1","0.0","1","0","0.0","0","3","0","0","0","0","","clemson","2022"
"6","K.J. Henry","DE","14","26","25","51","9","3.5","0","0","","0","6","1","0","0","1","","clemson","2022"
"7","R.J. Mickens","S","13","26","22","48","3","0.0","3","0","0.0","0","2","0","0","0","0","","clemson","2022"
"8","Myles Murphy","DE","13","22","18","40","11","6.5","0","0","","0","2","0","0","0","1","","clemson","2022"
"9","Keith Maguire","LB","14","17","21","38","4","0.0","0","0","","0","0","0","0","0","0","","clemson","2022"
"10","Tyler Venables","S","10","19","14","33","1","0.0","0","0","","0","1","0","0","0","0","","clemson","2022"
"11","Tyler Davis","DT","12","14","17","31","10","5.5","0","0","","0","1","1","0","0","0","","clemson","2022"
"12","Nate Wiggins","CB","13","25","4","29","2","0.0","1","98","98.0","1","13","0","0","0","0","","clemson","2022"
"13","Sheridan Jones","CB","10","18","9","27","2","0.0","0","0","","0","0","0","0","0","0","","clemson","2022"
"14","Ruke Orhorhoro","DT","14","13","10","23","8","4.0","0","0","","0","5","1","0","0","0","","clemson","2022"
"15","Toriano Pride Jr.","CB","14","17","5","22","1","1.0","1","4","4.0","0","4","0","0","0","0","","clemson","2022"
"16","LaVonta Bentley","LB","13","13","7","20","3","1.0","0","0","","0","0","0","0","0","0","","clemson","2022"
"17","Wade Woodaz","LB","14","9","11","20","6","1.5","0","0","","0","3","0","0","0","1","","clemson","2022"
"18","Justin Mascoll","DE","14","9","10","19","4","0.0","0","0","","0","0","0","0","0","0","","clemson","2022"
"19","Fred Davis II","CB","7","10","5","15","1","0.0","0","0","","0","2","1","-2","0","0","","clemson","2022"
"20","Bryan Bresee","DT","10","9","6","15","6","3.5","0","0","","0","2","0","0","0","0","","clemson","2022"
"21","Payton Page","DT","14","8","6","14","4","0.0","0","0","","0","1","1","3","0","0","","clemson","2022"
"22","Sherrod Covil Jr.","S","13","6","8","14","1","0.0","0","0","","0","0","0","0","0","0","","clemson","2022"
"23","Demonte Capehart","DT","13","6","6","12","2","0.0","0","0","","0","0","0","0","0","0","","clemson","2022"
"24","Kevin Swint","DE","13","4","6","10","0","0.0","0","0","","0","0","1","0","0","0","","clemson","2022"
"25","Jeadyn Lukus","CB","11","7","1","8","1","0.0","1","0","0.0","0","0","0","0","0","0","","clemson","2022"
"26","Malcolm Greene","CB","7","7","1","8","1","0.0","1","13","13.0","0","0","0","0","0","1","","clemson","2022"
"27","Tre Williams","DT","12","5","1","6","2","1.0","0","0","","0","0","1","0","0","0","","clemson","2022"
"28","Xavier Thomas","DE","3","2","2","4","2","2.0","0","0","","0","0","0","0","0","1","","clemson","2022"
"29","Greg Williams","DE","4","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","clemson","2022"
"30","Carson Donnelly","S","14","2","1","3","0","0.0","0","0","","0","1","0","0","0","0","","clemson","2022"
"31","Brannon Spector","WR","14","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","clemson","2022"
"32","Holden Caspersen","LS","14","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","clemson","2022"
"33","Davis Allen","TE","14","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","clemson","2022"
"34","Drew Swinney","WR","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","clemson","2022"
"35","Armon Mason","DE","6","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","clemson","2022"
"36","Blake Miller","OL","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","1","","clemson","2022"
"37","Cade Denhoff","DE","6","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","clemson","2022"
"38","D.J. Uiagalelei","QB","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","clemson","2022"
"39","T.J. Dudley","LB","4","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","clemson","2022"
"40","Matthew Maloney","LB","5","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","clemson","2022"
"41","Etinosa Reuben","DT","8","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","clemson","2022"
"42","Sergio Allen","LB","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","clemson","2022"
"43","Jabriel Robinson","DT","4","1","0","1","1","0.0","0","0","","0","0","0","0","0","0","","clemson","2022"
"44","Joseph Ngata","WR","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","clemson","2022"
"45","Luke Price","TE","14","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","clemson","2022"
