"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Silas Kelly","LB","13","40","70","110","9","2.5","1","0","0.0","0","2","0","0","0","1","","coastal-carolina","2021"
"2","Teddy Gallagher","LB","13","40","49","89","9","2.0","0","0","","0","1","1","0","0","1","","coastal-carolina","2021"
"3","Enock Makonzo","LB","13","30","41","71","10","0.0","0","0","","0","1","1","0","0","3","","coastal-carolina","2021"
"4","Alex Spillum","S","13","30","34","64","2","0.0","2","0","0.0","0","5","0","0","0","0","","coastal-carolina","2021"
"5","C.J. Brewer","DT","13","22","32","54","10","4.5","1","4","4.0","0","0","1","0","0","0","","coastal-carolina","2021"
"6","Josaiah Stewart","DT","13","24","19","43","16","12.5","0","0","","0","0","0","0","0","3","","coastal-carolina","2021"
"7","Jeffrey Gunter","LB","12","21","20","41","10","6.5","0","0","","0","1","1","0","0","2","","coastal-carolina","2021"
"8","Derick Bush","CB","12","24","13","37","2","0.0","1","-7","-7.0","0","2","0","0","0","0","","coastal-carolina","2021"
"9","Travis Geiger Jr.","NT","13","7","26","33","1","0.0","0","0","","0","1","0","0","0","0","","coastal-carolina","2021"
"10","Jerrod Clark","NT","13","11","22","33","4","2.0","0","0","","0","2","0","0","0","0","","coastal-carolina","2021"
"11","Myles Olufemi","LB","13","10","22","32","3","0.0","0","0","","0","2","0","0","0","0","","coastal-carolina","2021"
"12","Shi'heem Watkins","S","10","11","19","30","1","0.0","0","0","","0","2","0","0","0","0","","coastal-carolina","2021"
"13","Lance Boykin","CB","13","17","11","28","3","1.0","1","30","30.0","0","4","0","0","0","0","","coastal-carolina","2021"
"14","D'Jordan Strong","CB","13","19","7","26","0","0.0","0","0","","0","10","0","0","0","0","","coastal-carolina","2021"
"15","Tobias Fletcher","S","12","16","5","21","0","0.0","0","0","","0","1","0","0","0","0","","coastal-carolina","2021"
"16","Brayden Matts","S","8","8","13","21","0","0.0","0","0","","0","1","0","0","0","0","","coastal-carolina","2021"
"17","Manny Stokes Jr.","CB","13","10","7","17","2","0.0","0","0","","0","2","1","15","0","0","","coastal-carolina","2021"
"18","JT Killen","LB","13","7","10","17","1","1.0","0","0","","0","0","0","0","0","1","","coastal-carolina","2021"
"19","Tavyn Jackson","S","8","6","9","15","0","0.0","0","0","","0","2","0","0","0","0","","coastal-carolina","2021"
"20","Emmanuel Johnson","DE","10","5","9","14","1","0.5","0","0","","0","0","0","0","0","0","","coastal-carolina","2021"
"21","Mateo Sudipo","S","9","10","4","14","1","0.5","0","0","","0","2","0","0","0","0","","coastal-carolina","2021"
"22","Dre Pinckney","S","3","9","5","14","1","0.0","0","0","","0","1","1","8","0","0","","coastal-carolina","2021"
"23","Kendricks Gladney","LB","12","6","7","13","0","0.0","0","0","","0","0","0","0","0","0","","coastal-carolina","2021"
"24","Jacob Proche","CB","13","6","4","10","1","0.0","0","0","","0","1","0","0","0","0","","coastal-carolina","2021"
"25","Aaron Bedgood","WR","13","5","5","10","0","0.0","0","0","","0","0","0","0","0","0","","coastal-carolina","2021"
"26","E.J. Porter","LB","13","1","9","10","1","0.0","0","0","","0","0","0","0","0","0","","coastal-carolina","2021"
"27","Kennedy Roberts","DT","13","1","7","8","0","0.0","0","0","","0","0","0","0","0","0","","coastal-carolina","2021"
"28","Braylon Ryan","DE","13","3","5","8","1","0.0","0","0","","0","0","0","0","0","0","","coastal-carolina","2021"
"29","Mason Shelton","LB","12","2","5","7","2","0.0","0","0","","0","0","0","0","0","0","","coastal-carolina","2021"
"30","Kenny Byrd","LB","11","3","3","6","0","0.0","0","0","","0","0","0","0","0","0","","coastal-carolina","2021"
"31","Jordan Morris","CB","7","4","1","5","0","0.0","0","0","","0","0","0","0","0","0","","coastal-carolina","2021"
"32","Rolan Wooden II","DT","13","2","3","5","0","0.0","0","0","","0","0","0","0","0","0","","coastal-carolina","2021"
"33","CJ Beasley","RB","11","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","coastal-carolina","2021"
"34","Justin Scola","LB","1","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","coastal-carolina","2021"
"35","Tre Douglas III","S","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","coastal-carolina","2021"
"36","Tre Pinkney","LB","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","coastal-carolina","2021"
"37","Tyson Mobley","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","coastal-carolina","2021"
"38","Isaiah Stephens","LB","3","0","1","1","1","0.0","0","0","","0","0","0","0","0","0","","coastal-carolina","2021"
"39","Grayson McCall","QB","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","coastal-carolina","2021"
"40","Deon Fountain","WR","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","coastal-carolina","2021"
"41","Coleman Reich","LB","10","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","coastal-carolina","2021"
"42","Charles Steele","LB","4","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","coastal-carolina","2021"
"43","Bryce Carpenter","QB","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","coastal-carolina","2021"
"44","Antwine Loper","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","coastal-carolina","2021"
"45","Aaron Diggs","LB","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","coastal-carolina","2021"
