"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Jack Howell","DB","11","42","66","108","3","0.5","3","0","0.0","0","3","0","0","0","1","","colorado-state","2022"
"2","Dequan Jackson","LB","12","43","57","100","6","0.0","0","0","","0","1","0","0","0","2","","colorado-state","2022"
"3","Cam'ron Carter","LB","12","27","49","76","1","0.5","1","39","39.0","0","0","1","0","0","0","","colorado-state","2022"
"4","CJ Onyechi","DL","12","34","24","58","9","3.5","0","0","","0","0","1","0","0","1","","colorado-state","2022"
"5","Henry Blackburn","DB","10","30","23","53","2","1.0","1","0","0.0","0","8","1","0","0","2","","colorado-state","2022"
"6","Mohamed Kamara","DL","12","24","20","44","16","8.5","0","0","","0","0","1","0","0","2","","colorado-state","2022"
"7","Grady Kelly","DL","12","13","30","43","3","1.0","0","0","","0","2","1","0","0","0","","colorado-state","2022"
"8","Drew Kulick","LB","12","20","23","43","4","1.0","0","0","","0","1","0","0","0","0","","colorado-state","2022"
"9","Ayden Hector","DB","10","24","17","41","3","1.0","3","21","7.0","1","7","0","0","0","1","","colorado-state","2022"
"10","Chigpzie Anusiem","CB","12","19","17","36","1","0.0","0","0","","0","9","0","0","0","0","","colorado-state","2022"
"11","Tywan Francis","DB","4","19","13","32","3","0.0","0","0","","0","2","0","0","0","0","","colorado-state","2022"
"12","Brandon Guzman","DB","11","17","13","30","2","1.0","0","0","","0","6","0","0","0","0","","colorado-state","2022"
"13","Chase Wilson","LB","12","15","14","29","3","2.5","0","0","","0","2","0","0","0","1","","colorado-state","2022"
"14","AJ King","DB","6","14","10","24","1","0.5","0","0","","0","3","0","0","0","0","","colorado-state","2022"
"15","Cameron Bariteau","DL","12","7","13","20","2","1.0","0","0","","0","0","1","0","0","0","","colorado-state","2022"
"16","Greg Laday","DB","10","12","7","19","0","0.0","0","0","","0","1","0","0","0","0","","colorado-state","2022"
"17","Troy Golden","DL","12","7","12","19","3","1.0","0","0","","0","1","0","0","0","1","","colorado-state","2022"
"18","James Mitchell","DL","12","6","10","16","2","0.0","0","0","","0","0","0","0","0","0","","colorado-state","2022"
"19","Teivis Tuioti","DT","10","6","9","15","0","0.0","0","0","","0","0","0","0","0","0","","colorado-state","2022"
"20","Mukendi Wa-kalonji","DL","12","3","11","14","0","0.0","0","0","","0","0","1","0","1","0","","colorado-state","2022"
"21","Justin Sanchez","LB","7","4","7","11","0","0.0","0","0","","0","0","0","0","0","0","","colorado-state","2022"
"22","Tavian Brown","LB","5","4","6","10","0","0.0","0","0","","0","0","0","0","0","0","","colorado-state","2022"
"23","Devin Phillips","DL","4","3","4","7","2","0.0","0","0","","0","0","0","0","0","0","","colorado-state","2022"
"24","Brandon Hickerson-Rooks","LB","8","2","2","4","2","1.0","0","0","","0","0","0","0","0","0","","colorado-state","2022"
"25","Jacob Raab","LS","10","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","colorado-state","2022"
"26","Tyler Quinn","DL","6","2","1","3","1","0.0","0","0","","0","0","0","0","0","0","","colorado-state","2022"
"27","Clay Nanke","DL","3","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","colorado-state","2022"
"28","Peter Montini","TE","10","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","colorado-state","2022"
"29","Robert Floyd","DB","4","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","colorado-state","2022"
"30","Louis Brown","WR","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","colorado-state","2022"
"31","Langston Williams","DB","3","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","colorado-state","2022"
"32","Thomas Pannunzio","WR","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","colorado-state","2022"
"33","Titus Jones","DB","9","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","colorado-state","2022"
"34","Tory Horton","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","colorado-state","2022"
"35","Ty McCullouch","WR","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","colorado-state","2022"
"36","Henry Katleman","K","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","colorado-state","2022"
