"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Shilo Sanders","S","11","55","15","70","1","0.0","1","80","80.0","1","3","1","0","0","4","","colorado","2023"
"2","LaVonta Bentley","LB","12","40","28","68","11","5.0","0","0","","0","2","0","0","0","0","","colorado","2023"
"3","Trevor Woods","S","9","42","14","56","1","0.5","2","0","0.0","0","3","1","0","0","1","","colorado","2023"
"4","Rodrick Ward","S","12","37","15","52","1","0.0","0","0","","0","2","0","0","0","1","","colorado","2023"
"5","Jordan Domineck","DL","12","31","20","51","12","5.0","0","0","","0","2","1","5","0","0","","colorado","2023"
"6","Cam'Ron Silmon-Craig","S","12","32","12","44","2","1.0","3","4","1.3","0","2","1","0","0","0","","colorado","2023"
"7","Omarion Cooper","DB","9","32","5","37","2","1.0","0","0","","0","5","1","0","0","1","","colorado","2023"
"8","Marvin Ham II","LB","11","24","12","36","2","1.0","0","0","","0","1","0","0","0","0","","colorado","2023"
"9","Juwan Mitchell","LB","7","21","11","32","3","0.0","0","0","","0","0","0","0","0","0","","colorado","2023"
"10","Amari McNeill","DL","12","22","9","31","7","3.0","0","0","","0","1","0","0","0","1","","colorado","2023"
"11","Travis Hunter","CB","9","22","8","30","2","0.0","3","-10","-3.3","0","5","0","0","0","0","AA","colorado","2023"
"12","Shane Cokes","DL","12","12","17","29","0","0.0","0","0","","0","1","0","0","0","0","","colorado","2023"
"13","Jaden Milliner-Jones","S","12","19","6","25","0","0.0","0","0","","0","3","0","0","0","0","","colorado","2023"
"14","Taijh Alston","DE","11","14","9","23","5","2.5","0","0","","0","2","0","0","0","0","","colorado","2023"
"15","Myles Slusher","DB","4","16","1","17","2","1.0","0","0","","0","1","0","0","0","0","","colorado","2023"
"16","Derrick McLendon II","DE","12","10","4","14","2","1.5","0","0","","0","0","2","0","0","0","","colorado","2023"
"17","Deeve Harris","DE","12","5","9","14","1","0.0","0","0","","0","0","0","0","0","0","","colorado","2023"
"18","Cormani McClain","CB","9","6","7","13","1","0.0","0","0","","0","2","0","0","0","0","","colorado","2023"
"19","Demouy Kennedy","LB","10","4","9","13","2","0.0","0","0","","0","0","0","0","0","0","","colorado","2023"
"20","Arden Walker","DL","12","5","7","12","2","1.0","0","0","","0","0","1","0","0","0","","colorado","2023"
"21","Kyndrich Breedlove","CB","9","11","1","12","1","0.0","0","0","","0","0","0","0","0","1","","colorado","2023"
"22","Carter Stoutmire","CB","9","11","0","11","1","0.0","0","0","","0","0","0","0","0","0","","colorado","2023"
"23","Jeremiah Brown","LB","12","7","4","11","0","0.0","0","0","","0","1","0","0","0","0","","colorado","2023"
"24","Chazz Wallace","DT","10","4","6","10","2","1.5","0","0","","0","0","0","0","0","0","","colorado","2023"
"25","Leonard Payne","DL","12","6","4","10","2","2.0","0","0","","0","1","0","0","0","1","","colorado","2023"
"26","Jahquez Robinson","DB","7","6","3","9","1","0.0","1","0","0.0","0","0","0","0","0","0","","colorado","2023"
"27","Khairi Manns","DL","11","6","3","9","1","1.0","0","0","","0","0","0","0","0","0","","colorado","2023"
"28","Bishop Thomas","DL","9","6","0","6","2","0.0","0","0","","0","1","1","0","0","0","","colorado","2023"
"29","JJ Hawkins","DE","10","3","2","5","0","0.0","0","0","","0","0","0","0","0","0","","colorado","2023"
"30","Brendan Gant","DB","4","4","1","5","0","0.0","0","0","","0","0","0","0","0","0","","colorado","2023"
"31","Kavosiey Smoke","RB","10","5","0","5","0","0.0","0","0","","0","0","0","0","0","0","","colorado","2023"
"32","Anthony Hankerson","RB","12","3","2","5","0","0.0","0","0","","0","0","0","0","0","0","","colorado","2023"
"33","Adam Hopkins","DB","3","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","colorado","2023"
"34","Jaylen Ellis","WR","7","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","colorado","2023"
"35","Sav'ell Smalls","LB","4","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","colorado","2023"
"36","Taje McCoy","LB","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","colorado","2023"
"37","Travis Jay","DB","4","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","colorado","2023"
"38","Xavier Weaver","WR","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","colorado","2023"
"39","Noah Young","LB","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","colorado","2023"
"40","Mark Vassett","P","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","colorado","2023"
"41","Kaleb Mathis","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","colorado","2023"
"42","Jimmy Horn Jr.","WR","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","colorado","2023"
"43","Javon Antonio","WR","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","colorado","2023"
"44","Jace Feely","K","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","colorado","2023"
"45","Charlie Offerdahl","RB","8","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","colorado","2023"
"46","Cameron Warchuck","LS","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","colorado","2023"
"47","Ahmir McGee","RB","3","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","colorado","2023"
