"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Jackson Mitchell","LB","12","56","57","113","7","1.0","1","0","0.0","0","1","1","50","1","1","","connecticut","2023"
"2","Durante Jones","DB","12","44","28","72","2","1.0","0","0","","0","1","1","0","0","0","","connecticut","2023"
"3","Tui Faumuina-Brown","LB","12","32","29","61","4","1.0","1","0","0.0","0","0","0","0","0","0","","connecticut","2023"
"4","Noah Plack","LB","12","33","15","48","6","0.5","0","0","","0","0","0","0","0","0","","connecticut","2023"
"5","Malik Dixon","DB","8","22","21","43","2","0.0","1","0","0.0","0","1","0","0","0","2","","connecticut","2023"
"6","Pryce Yates","DE","12","25","17","42","14","4.5","0","0","","0","2","1","0","0","2","","connecticut","2023"
"7","Jelani Stafford","DL","12","28","12","40","8","0.5","0","0","","0","2","2","0","0","0","","connecticut","2023"
"8","Chris Shearin","DB","11","22","14","36","1","0.0","2","0","0.0","0","3","0","0","0","1","","connecticut","2023"
"9","Lee Molette III","DB","11","25","11","36","2","0.0","0","0","","0","2","1","0","0","0","","connecticut","2023"
"10","Mumu Bin-Wahad","CB","12","26","8","34","4","1.0","1","45","45.0","1","3","0","0","0","1","","connecticut","2023"
"11","Eric Watts","DL","12","17","17","34","7","2.0","0","0","","0","1","0","0","0","2","","connecticut","2023"
"12","Dalmont Gourdine","DL","12","16","12","28","6","3.0","0","0","","0","3","0","0","0","0","","connecticut","2023"
"13","Malcolm Bell","DB","12","19","9","28","2","0.0","0","0","","0","4","0","0","0","1","","connecticut","2023"
"14","Isiah Davis","DB","10","11","8","19","0","0.0","0","0","","0","2","0","0","0","0","","connecticut","2023"
"15","Stan Cross","DB","4","10","8","18","0","0.0","0","0","","0","2","0","0","0","0","","connecticut","2023"
"16","D'Mon Brinson","DB","10","15","1","16","1","0.0","0","0","","0","1","0","0","0","0","","connecticut","2023"
"17","Collin McCarthy","DL","11","6","8","14","0","0.0","0","0","","0","1","0","0","0","0","","connecticut","2023"
"18","Carter Hooper","DL","12","6","8","14","1","0.0","0","0","","0","1","0","0","0","0","","connecticut","2023"
"19","Sokoya McDuffie","DL","12","8","4","12","1","0.0","0","0","","0","1","0","0","0","0","","connecticut","2023"
"20","Raashaan Wilkins Jr.","DL","12","5","7","12","2","1.0","0","0","","0","0","0","0","0","0","","connecticut","2023"
"21","Armauni Archie","DB","8","11","1","12","0","0.0","0","0","","0","1","0","0","0","0","","connecticut","2023"
"22","Chris Hudson","DB","9","5","5","10","0","0.0","0","0","","0","0","1","0","0","0","","connecticut","2023"
"23","Joe McFadden","K","10","4","0","4","0","0.0","0","0","","0","0","0","0","0","0","","connecticut","2023"
"24","Eriq Gilyard","LB","3","3","1","4","1","0.0","0","0","","0","0","0","0","0","0","","connecticut","2023"
"25","Kevon Glenn","LB","8","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","connecticut","2023"
"26","Langston Hardy","DL","8","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","connecticut","2023"
"27","Alfred Chea","LB","12","2","2","4","1","0.0","0","0","","0","0","0","0","0","0","","connecticut","2023"
"28","Timothy Passmore Jr.","DL","4","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","connecticut","2023"
"29","Nathan Voorhis","LB","11","0","3","3","0","0.0","0","0","","0","0","0","0","0","0","","connecticut","2023"
"30","Nilay Upadhyayula","LS","12","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","connecticut","2023"
"31","Cale Millen","QB","9","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","connecticut","2023"
"32","Donovan Branch","LB","11","1","1","2","1","0.5","0","0","","0","0","0","0","0","0","","connecticut","2023"
"33","Brandon Kelly","DL","1","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","connecticut","2023"
"34","Valentin Senn","OL","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","connecticut","2023"
"35","Victor Rosa","RB","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","connecticut","2023"
"36","Zakhari Spears","CB","3","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","connecticut","2023"
"37","Oumar Diomande","LB","5","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","connecticut","2023"
"38","Matt Hoffman","DL","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","connecticut","2023"
"39","Kevens Clercius","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","connecticut","2023"
"40","Desmond Fogle","LB","9","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","connecticut","2023"
"41","Cleto Chol","DL","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","connecticut","2023"
"42","Brady Fodor","DL","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","connecticut","2023"
