"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Shaka Heyward","LB","12","38","60","98","12","3.0","1","26","26.0","0","1","0","0","0","0","","duke","2021"
"2","Lummie Young IV","S","10","31","33","64","1","1.0","1","2","2.0","0","7","0","0","0","2","","duke","2021"
"3","Da'Quan Johnson","S","12","29","32","61","1","0.0","0","0","","0","2","1","0","0","1","","duke","2021"
"4","Dorian Mausi","LB","12","23","36","59","2","0.5","0","0","","0","1","0","0","0","1","","duke","2021"
"5","Jaylen Stinson","S","12","28","15","43","1","0.0","0","0","","0","3","0","0","0","0","","duke","2021"
"6","Jalen Alexander","S","12","33","9","42","2","0.0","0","0","","0","5","0","0","0","0","","duke","2021"
"7","Ben Frye","DT","12","23","19","42","7","2.0","0","0","","0","2","2","0","0","0","","duke","2021"
"8","Nate Thompson","S","8","22","18","40","2","0.5","1","0","0.0","0","2","0","0","0","0","","duke","2021"
"9","DeWayne Carter","DT","12","14","23","37","8","4.5","0","0","","0","3","0","0","0","4","","duke","2021"
"10","Leonard Johnson","CB","12","24","11","35","2","0.0","2","30","15.0","0","5","0","0","0","0","","duke","2021"
"11","Josh Blackwell","CB","12","23","12","35","1","0.0","0","0","","0","7","0","0","0","0","","duke","2021"
"12","Jeremiah Lewis","CB","11","12","18","30","0","0.0","2","35","17.5","0","2","0","0","0","0","","duke","2021"
"13","J'Marick Woods","S","10","14","13","27","2","0.0","0","0","","0","3","0","0","0","0","","duke","2021"
"14","Aeneas Peebles","DT","12","6","20","26","3","2.0","0","0","","0","0","0","0","0","0","","duke","2021"
"15","R.J. Oben","DE","12","14","11","25","7","5.0","1","8","8.0","0","0","0","0","0","3","","duke","2021"
"16","Gary Smith III","DT","9","8","16","24","3","1.0","0","0","","0","1","0","0","0","0","","duke","2021"
"17","Brandon Johnson","S","11","11","6","17","0","0.0","0","0","","0","0","1","0","0","0","","duke","2021"
"18","Isaiah Fisher-Smith","S","12","8","7","15","0","0.0","0","0","","0","1","0","0","0","0","","duke","2021"
"19","Michael Reese","DE","12","7","8","15","1","1.0","0","0","","0","0","0","0","0","0","","duke","2021"
"20","Jamion Franklin","DT","12","4","10","14","2","0.0","0","0","","0","0","1","0","0","0","","duke","2021"
"21","Christian Rorie","DT","11","4","10","14","0","0.0","0","0","","0","0","0","0","0","0","","duke","2021"
"22","Caleb Oppan","DE","12","4","10","14","3","0.5","0","0","","0","0","0","0","0","0","","duke","2021"
"23","Sayyid Stevens","LB","12","3","9","12","0","0.0","0","0","","0","0","0","0","0","0","","duke","2021"
"24","Ryan Smith","LB","10","4","6","10","1","0.0","0","0","","0","1","0","0","0","1","","duke","2021"
"25","Colby Campbell","LB","11","2","5","7","0","0.0","0","0","","0","0","0","0","0","1","","duke","2021"
"26","Dominique Long","CB","12","3","3","6","0","0.0","0","0","","0","1","0","0","0","1","","duke","2021"
"27","Aaron Hall","DE","3","1","4","5","1","0.0","0","0","","0","0","0","0","0","0","","duke","2021"
"28","Charlie Ham","K","11","2","3","5","0","0.0","0","0","","0","0","0","0","0","0","","duke","2021"
"29","Joshua Pickett","CB","11","3","2","5","0","0.0","0","0","","0","0","0","0","0","0","","duke","2021"
"30","Ahmad Craig","DE","9","2","3","5","1","0.0","0","0","","0","0","0","0","0","1","","duke","2021"
"31","Michael Larbie Jr.","DT","5","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","duke","2021"
"32","Placide Djungu-Sungu","S","2","0","3","3","0","0.0","0","0","","0","0","0","0","0","0","","duke","2021"
"33","Jason Hoffman","LB","11","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","duke","2021"
"34","Tre Freeman","LB","5","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","duke","2021"
"35","Trent Broadnax","S","1","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","duke","2021"
"36","Jaquez Moore","RB","11","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","duke","2021"
"37","Jake Bobo","WR","12","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","duke","2021"
"38","Gunnar Holmberg","QB","11","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","duke","2021"
"39","Cole Carteaux","S","1","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","duke","2021"
"40","Mataeo Durant","RB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","duke","2021"
"41","John Taylor","LS","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","duke","2021"
"42","Nicky Dalmolin","TE","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","duke","2021"
"43","Jarett Garner","WR","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","duke","2021"
"44","Porter Wilson","P","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","duke","2021"
"45","Jack Wohlabaugh","C","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","duke","2021"
"46","Steve Mann","S","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","duke","2021"
"47","Tony Davis","CB","4","0","1","1","0","0.0","0","0","","0","0","1","0","0","0","","duke","2021"
"48","Cameron Bergeron","CB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","duke","2021"
"49","Zamari Ellis","DE","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","duke","2021"
