"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Bruce Bivens","LB","12","22","35","57","5","2.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"2","Ja'Quan McMillian","CB","12","38","18","56","4","0.0","5","42","8.4","1","16","2","5","0","1","","east-carolina","2021"
"3","Myles Berry","LB","12","23","30","53","2","0.0","0","0","","0","4","0","0","0","0","","east-carolina","2021"
"4","Jeremy Lewis","LB","12","26","23","49","7","4.0","0","0","","0","0","0","0","0","2","","east-carolina","2021"
"5","Xavier Smith","LB","12","23","21","44","3","0.5","0","0","","0","1","0","0","0","0","","east-carolina","2021"
"6","Jireh Wilson","S","12","18","26","44","4","2.5","1","0","0.0","0","4","0","0","0","0","","east-carolina","2021"
"7","Aaron Ramseur","LB","9","27","14","41","4","1.5","0","0","","0","0","1","0","0","0","","east-carolina","2021"
"8","Shawn Dourseau","S","12","24","13","37","1","1.0","1","33","33.0","0","1","0","0","0","0","","east-carolina","2021"
"9","Malik Fleming","CB","12","28","6","34","2","0.0","2","31","15.5","1","9","0","0","0","0","","east-carolina","2021"
"10","Rick D'Abreu","DL","12","15","18","33","4","2.5","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"11","Rick D'Abreau","","12","15","18","33","5","3.5","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"12","Warren Saba","S","12","16","16","32","2","0.0","4","31","7.8","0","5","0","0","0","0","","east-carolina","2021"
"13","D.J. Ford","S","11","22","10","32","3","0.0","0","0","","0","3","1","16","0","0","","east-carolina","2021"
"14","Gerard Stringer","S","10","17","12","29","5","1.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"15","Juan Powell","S","9","17","9","26","2","0.0","1","4","4.0","0","2","0","0","0","1","","east-carolina","2021"
"16","Immanuel Hickman","DL","12","12","14","26","8","4.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"17","Elijah Morris","DL","11","11","14","25","4","2.5","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"18","Teagan Wilk","S","11","16","8","24","3","0.5","1","6","6.0","0","1","0","0","0","3","","east-carolina","2021"
"19","Suirad Ware","DL","10","7","16","23","4","3.0","0","0","","0","0","1","0","0","0","","east-carolina","2021"
"20","Chad Stephens","LB","11","10","7","17","2","0.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"21","Julius Wood","S","12","4","12","16","1","0.0","0","0","","0","3","0","0","0","0","","east-carolina","2021"
"22","Xavier McIver","DL","12","4","10","14","1","0.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"23","Nolan Johnson","CB","12","10","2","12","0","0.0","0","0","","0","0","0","0","0","1","","east-carolina","2021"
"24","Demetrius Mauney","S","11","4","6","10","1","0.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"25","Teylor Jackson","LB","11","5","4","9","1","0.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"26","D'Angelo McKinnie","DL","12","3","6","9","1","0.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"27","Troy Lewis","WR","1","5","1","6","1","1.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"28","Devon King","S","8","3","2","5","0","0.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"29","Damel Hickman","CB","11","4","0","4","1","0.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"30","Jacoby Simpson","LB","9","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"31","Audie Omotosho","WR","12","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"32","G'Mone Wilson","RB","7","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"33","D'Anta Johnson","DT","8","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"34","Taji Hudson","WR","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"35","Tyler Snead","WR","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"36","Jasiyah Robinson","LB","2","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"37","Owen Daffer","PK","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"38","Lorenzo Dorr","RB","11","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"39","Liam Crowley","LS","1","0","1","1","1","0.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"40","J'Vian McCray","DL","4","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"41","Jsi Hatfield","WR","10","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"42","Ty Moss","S","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
"43","Jaquaez Powell","OL","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","east-carolina","2021"
