"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Chase Kline","LB","11","47","96","143","5","2.0","0","0","","0","3","1","0","0","2","","eastern-michigan","2023"
"2","Joseph Sparacio","LB","13","63","74","137","8","2.5","1","8","8.0","0","3","0","0","0","3","","eastern-michigan","2023"
"3","Quentavius Scandrett","DB","13","31","28","59","0","0.0","2","22","11.0","0","1","0","0","0","0","","eastern-michigan","2023"
"4","Kempton Shine","DB","13","31","25","56","3","0.0","0","0","","0","9","0","0","0","0","","eastern-michigan","2023"
"5","Peyton Price","DL","13","12","35","47","5","4.0","0","0","","0","0","1","0","0","0","","eastern-michigan","2023"
"6","Justin Jefferson","LB","13","14","32","46","8","3.5","0","0","","0","2","2","0","0","1","","eastern-michigan","2023"
"7","Cameron Smith","DB","13","23","22","45","1","0.0","1","35","35.0","0","3","0","0","0","1","","eastern-michigan","2023"
"8","Mikah Coleman","DL","12","14","24","38","7","4.5","0","0","","0","1","0","0","0","0","","eastern-michigan","2023"
"9","Joseph Zelinsky","DL","12","16","22","38","6","1.5","0","0","","0","0","0","0","0","0","","eastern-michigan","2023"
"10","Tim Grant-Randall","DL","13","11","18","29","3","1.5","1","-4","-4.0","0","2","0","0","0","0","","eastern-michigan","2023"
"11","EJ Williams","LB","12","18","11","29","5","1.0","0","0","","0","0","1","0","0","1","","eastern-michigan","2023"
"12","Alex Merritt","DL","9","6","21","27","5","0.0","0","0","","0","0","0","0","0","0","","eastern-michigan","2023"
"13","Londyn Craft","DB","13","11","16","27","2","0.0","0","0","","0","0","0","0","0","0","","eastern-michigan","2023"
"14","Bennett Walker","DB","13","10","13","23","0","0.0","3","0","0.0","0","5","0","0","0","0","","eastern-michigan","2023"
"15","Luke Cameron","LB","13","11","12","23","0","0.0","0","0","","0","1","0","0","0","0","","eastern-michigan","2023"
"16","Melvin Swindle II","DL","11","5","17","22","1","0.0","0","0","","0","0","0","0","0","0","","eastern-michigan","2023"
"17","David Carter Jr.","DB","12","10","10","20","1","0.0","0","0","","0","3","1","0","0","1","","eastern-michigan","2023"
"18","Daiquan White","DB","13","11","8","19","1","0.0","0","0","","0","12","1","-3","0","0","","eastern-michigan","2023"
"19","T.J. Peavy","DB","3","7","11","18","1","0.0","0","0","","0","1","0","0","0","0","","eastern-michigan","2023"
"20","Adrian Gonzalez","DL","11","5","10","15","2","0.5","0","0","","0","1","1","0","0","0","","eastern-michigan","2023"
"21","Josh McCarty","DB","12","3","10","13","0","0.0","0","0","","0","0","0","0","0","0","","eastern-michigan","2023"
"22","Keylen Gulley","DB","10","9","2","11","2","0.0","0","0","","0","1","0","0","0","0","","eastern-michigan","2023"
"23","Zach Mowchan","LB","3","5","5","10","0","0.0","0","0","","0","0","0","0","0","1","","eastern-michigan","2023"
"24","Barry Manning","DB","8","7","3","10","0","0.0","0","0","","0","0","0","0","0","1","","eastern-michigan","2023"
"25","Elijah Jackson-Anderson","RB","12","7","3","10","0","0.0","0","0","","0","0","0","0","0","0","","eastern-michigan","2023"
"26","Jez Janvier","DL","7","5","4","9","1","0.0","0","0","","0","0","0","0","0","0","","eastern-michigan","2023"
"27","Korey Hernandez","DB","12","6","3","9","0","0.0","0","0","","0","1","0","0","0","0","","eastern-michigan","2023"
"28","Malik Tullis","DL","9","5","4","9","0","0.0","0","0","","0","0","0","0","0","0","","eastern-michigan","2023"
"29","Kendric Nowling","DB","11","2","5","7","0","0.0","0","0","","0","0","0","0","0","0","","eastern-michigan","2023"
"30","Jaden Gaines","DL","9","2","4","6","1","1.0","0","0","","0","0","0","0","0","1","","eastern-michigan","2023"
"31","Tristen Hines","DB","10","3","2","5","0","0.0","0","0","","0","0","0","0","0","0","","eastern-michigan","2023"
"32","Kaiden Keefe","WR","8","3","2","5","0","0.0","0","0","","0","0","0","0","0","0","","eastern-michigan","2023"
"33","Jason Marshall","DB","10","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","eastern-michigan","2023"
"34","Mikey Haney","DL","2","0","4","4","0","0.0","0","0","","0","0","0","0","0","0","","eastern-michigan","2023"
"35","Carter Gilbert","DL","11","1","1","2","0","0.0","0","0","","0","1","0","0","0","0","","eastern-michigan","2023"
"36","Jaheim Jenkins","DB","4","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","eastern-michigan","2023"
"37","Bryce Eliuk","LB","5","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","eastern-michigan","2023"
"38","Dontae McMillan","RB","8","1","1","2","0","0.0","0","0","","0","0","0","0","0","1","","eastern-michigan","2023"
"39","Makhail Wood","WR","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","eastern-michigan","2023"
"40","Jere Getzinger Jr.","TE","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","1","","eastern-michigan","2023"
"41","Broderick Jordan","OL","6","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","eastern-michigan","2023"
"42","Nick Devereaux","WR","8","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","eastern-michigan","2023"
"43","Jesus Gomez","K","11","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","eastern-michigan","2023"
"44","Austin Smith","QB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","eastern-michigan","2023"
"45","Hamze El-Zayat","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","eastern-michigan","2023"
"46","Carson Lee","OL","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","eastern-michigan","2023"
"47","Ugo Nosike","DL","5","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","eastern-michigan","2023"
"48","Ryan Kingston","P","11","0","0","0","0","0.0","0","0","","0","0","1","0","0","0","","eastern-michigan","2023"
"49","Soloman Bell","DB","2","0","0","0","0","0.0","0","0","","0","0","1","0","0","0","","eastern-michigan","2023"
