"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Armani Adams","DB","12","42","27","69","2","0.0","1","0","0.0","0","7","0","0","0","1","","florida-atlantic","2022"
"2","Eddie Williams","LB","8","24","41","65","6","2.5","0","0","","0","0","1","14","0","1","","florida-atlantic","2022"
"3","Dwight Toombs II","S","12","37","27","64","1","0.0","3","62","20.7","0","6","1","0","0","0","","florida-atlantic","2022"
"4","Jaylen Wester","LB","11","30","28","58","5","1.0","1","18","18.0","0","1","0","0","0","0","","florida-atlantic","2022"
"5","Jamie Pettway","LB","10","21","31","52","2","1.0","0","0","","0","1","0","0","0","0","","florida-atlantic","2022"
"6","Teja Young","S","10","30","18","48","0","0.0","2","136","68.0","2","6","0","0","0","1","","florida-atlantic","2022"
"7","Jayden Williams","CB","11","24","16","40","3","2.0","0","0","","0","4","0","0","0","1","","florida-atlantic","2022"
"8","Daedae Hill","DB","11","23","13","36","1","0.0","0","0","","0","5","0","0","0","0","","florida-atlantic","2022"
"9","Jaleel McRae","LB","10","17","17","34","2","0.5","1","57","57.0","0","1","0","0","0","0","","florida-atlantic","2022"
"10","Roman Mungin","DB","11","26","8","34","2","1.0","2","20","10.0","0","8","1","0","0","1","","florida-atlantic","2022"
"11","Morven Joseph","LB","11","16","15","31","2","0.5","0","0","","0","0","0","0","0","0","","florida-atlantic","2022"
"12","Courtney McBride","LB","12","14","15","29","6","1.0","0","0","","0","1","0","0","0","0","","florida-atlantic","2022"
"13","Evan Anderson","DL","7","10","17","27","5","1.0","0","0","","0","0","0","0","0","0","","florida-atlantic","2022"
"14","Michal Antoine","DB","11","15","10","25","2","1.0","0","0","","0","5","2","0","0","0","","florida-atlantic","2022"
"15","Justin McKithen","DB","12","17","7","24","0","0.0","2","63","31.5","1","1","0","0","0","1","","florida-atlantic","2022"
"16","Latrell Jean","DL","12","10","14","24","5","2.5","0","0","","0","1","0","0","0","0","","florida-atlantic","2022"
"17","Amari Wansley","S","12","14","10","24","1","0.0","0","0","","0","0","0","0","0","0","","florida-atlantic","2022"
"18","Marlon Krakue","LB","11","9","8","17","4","1.5","0","0","","0","0","0","0","0","1","","florida-atlantic","2022"
"19","Jacob Merrifield","DL","10","5","10","15","2","0.0","0","0","","0","0","1","0","0","0","","florida-atlantic","2022"
"20","Jaden Wheeler","DL","11","3","10","13","2","0.0","0","0","","0","0","0","0","0","0","","florida-atlantic","2022"
"21","Jahkeem Green","DL","11","1","12","13","1","0.0","0","0","","0","0","0","0","0","0","","florida-atlantic","2022"
"22","Xavier Peters","DL","11","3","9","12","1","0.0","0","0","","0","0","0","0","0","0","","florida-atlantic","2022"
"23","Marlon Bradley","DL","11","6","6","12","4","0.5","0","0","","0","0","0","0","0","0","","florida-atlantic","2022"
"24","Chris Jones","LB","10","5","7","12","2","1.0","0","0","","0","0","0","0","0","0","","florida-atlantic","2022"
"25","Jarrett Jerrels","LB","11","6","5","11","0","0.0","0","0","","0","0","0","0","0","1","","florida-atlantic","2022"
"26","Decarius Hawthorne","DL","9","6","5","11","3","0.0","0","0","","0","0","0","0","0","0","","florida-atlantic","2022"
"27","Jaylen Joyner","DL","7","6","3","9","1","1.0","0","0","","0","0","0","0","0","1","","florida-atlantic","2022"
"28","Carter Odell","S","11","2","6","8","0","0.0","0","0","","0","0","0","0","0","0","","florida-atlantic","2022"
"29","Tony Johnson","WR","12","4","3","7","0","0.0","0","0","","0","0","0","0","0","0","","florida-atlantic","2022"
"30","Adam Boselli","TE","10","2","4","6","0","0.0","0","0","","0","0","0","0","0","0","","florida-atlantic","2022"
"31","Josh Moore","S","7","1","5","6","0","0.0","0","0","","0","0","0","0","0","0","","florida-atlantic","2022"
"32","Larry McCammon III","RB","12","4","1","5","0","0.0","0","0","","0","0","0","0","0","1","","florida-atlantic","2022"
"33","Jahbari Hill","CB","9","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","florida-atlantic","2022"
"34","Franklin Jackson","LB","7","0","4","4","0","0.0","0","0","","0","0","1","0","0","0","","florida-atlantic","2022"
"35","Jake Holaday","DL","3","1","3","4","0","0.0","0","0","","0","0","0","0","0","1","","florida-atlantic","2022"
"36","Glover Cook","DB","8","2","1","3","0","0.0","0","0","","0","1","0","0","0","0","","florida-atlantic","2022"
"37","Javion Posey","WR","12","2","1","3","0","0.0","0","0","","0","0","0","0","0","1","","florida-atlantic","2022"
"38","Justice Cross","LB","7","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","florida-atlantic","2022"
"39","Nicholas Marino","LS","12","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","florida-atlantic","2022"
"40","Deondrick Harper","DL","3","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","florida-atlantic","2022"
"41","Kelvin Dean Jr.","RB","5","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-atlantic","2022"
"42","Chaz Neal","OL","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-atlantic","2022"
"43","Jahmal Edrine","WR","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-atlantic","2022"
"44","Carter Davis","K","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-atlantic","2022"
"45","N'Kosi Perry","QB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-atlantic","2022"
"46","Jayshon Platt","WR","11","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-atlantic","2022"
"47","Marvin Landy","TE","12","0","0","0","0","0.0","0","0","","0","0","1","0","0","0","","florida-atlantic","2022"
"48","Austin Evans","TE","11","0","0","0","0","0.0","0","0","","0","0","1","0","0","0","","florida-atlantic","2022"
