"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Gaethan Bernadel","LB","12","58","45","103","8","1.5","0","0","","0","0","0","0","0","0","","florida-international","2022"
"2","Donovan Manuel","LB","12","48","49","97","9","1.0","0","0","","0","3","1","0","0","0","","florida-international","2022"
"3","Demetrius Hill","DB","12","51","44","95","4","1.0","1","0","0.0","0","2","0","0","0","3","","florida-international","2022"
"4","Jamal Potts","DB","12","34","22","56","7","1.0","0","0","","0","5","0","0","0","1","","florida-international","2022"
"5","Jeramy Passmore","DL","12","12","31","43","2","1.0","0","0","","0","0","0","0","0","0","","florida-international","2022"
"6","Adrian Cole","DB","12","28","8","36","3","1.0","1","4","4.0","1","5","0","0","0","1","","florida-international","2022"
"7","Jordan Guerad","DL","11","16","18","34","6","3.0","0","0","","0","0","0","0","0","0","","florida-international","2022"
"8","Alex Nobles","LB","11","21","12","33","7","2.0","0","0","","0","2","2","84","1","1","","florida-international","2022"
"9","D'verik Daniel","DB","11","19","14","33","2","0.5","0","0","","0","2","0","0","0","0","","florida-international","2022"
"10","Andrew Volmar","DB","12","21","10","31","0","0.0","1","0","0.0","0","6","0","0","0","0","","florida-international","2022"
"11","Dorian Hall","DB","11","13","17","30","0","0.0","2","0","0.0","0","0","0","0","0","0","","florida-international","2022"
"12","Reggie Peterson","LB","12","12","17","29","1","0.0","1","75","75.0","0","0","0","0","0","0","","florida-international","2022"
"13","Shaun Peterson Jr.","LB","10","15","13","28","8","6.0","0","0","","0","2","2","0","0","2","","florida-international","2022"
"14","Davon Strickland","DL","10","11","15","26","2","1.0","0","0","","0","0","1","0","0","0","","florida-international","2022"
"15","Hezekiah Masses","DB","12","13","12","25","4","0.0","0","0","","0","4","1","0","0","0","","florida-international","2022"
"16","Keegan Davis","DL","12","10","10","20","4","1.0","0","0","","0","1","0","0","0","0","","florida-international","2022"
"17","Jake Howard","LB","9","9","11","20","1","0.0","0","0","","0","0","0","0","0","0","","florida-international","2022"
"18","Latarie Kinsler","DL","10","7","13","20","2","1.0","0","0","","0","0","0","0","0","0","","florida-international","2022"
"19","CJ Christian","DB","5","12","5","17","1","0.0","1","0","0.0","0","0","0","0","0","0","","florida-international","2022"
"20","Travonte O'Neal","DL","10","6","10","16","1","0.0","0","0","","0","0","0","0","0","0","","florida-international","2022"
"21","Chance Coleman","LB","5","6","5","11","0","0.0","0","0","","0","0","1","0","0","0","","florida-international","2022"
"22","Joe Perkins","DB","6","6","3","9","0","0.0","0","0","","0","0","0","0","0","0","","florida-international","2022"
"23","Henry Gray","DB","4","3","3","6","0","0.0","0","0","","0","1","0","0","0","0","","florida-international","2022"
"24","Brian Blades","DB","4","4","2","6","0","0.0","0","0","","0","1","0","0","0","0","","florida-international","2022"
"25","Khaya Wright","LB","4","2","3","5","2","0.0","0","0","","0","0","0","0","0","0","","florida-international","2022"
"26","Will Prendergast","DL","10","1","4","5","2","0.0","0","0","","0","0","0","0","0","0","","florida-international","2022"
"27","Kyan Brumfield","DB","10","2","1","3","0","0.0","0","0","","0","0","1","0","0","0","","florida-international","2022"
"28","Julius Pierce","OL","11","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","florida-international","2022"
"29","Lucas Matias","K","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","florida-international","2022"
"30","Eric Wilson Jr.","RB","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","florida-international","2022"
"31","Ross Fournet","WR","12","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","florida-international","2022"
"32","Jay Berry Jr.","WR","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-international","2022"
"33","Kris Mitchell","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-international","2022"
"34","Haden Carlson","QB","8","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-international","2022"
"35","Lexington Joseph","RB","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-international","2022"
"36","Ming Tjon","OL","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-international","2022"
"37","Olsen Louis Baptiste","DB","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-international","2022"
"38","Phillip Houston","OL","5","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-international","2022"
"39","Dean Patterson","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-international","2022"
"40","Baba Conate","LB","7","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-international","2022"
"41","Ty Danzy","DL","6","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-international","2022"
"42","Artez Hooker","WR","7","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-international","2022"
