"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Jammie Robinson","DB","13","46","53","99","5","1.0","1","0","0.0","0","5","1","0","0","0","","florida-state","2022"
"2","Tatum Bethune","LB","13","43","41","84","10","3.0","0","0","","0","3","1","0","0","0","","florida-state","2022"
"3","Kalen DeLoach","LB","13","33","32","65","8","3.0","0","0","","0","7","0","0","0","0","","florida-state","2022"
"4","Renardo Green","DB","13","42","16","58","3","0.0","0","0","","0","5","0","0","0","0","","florida-state","2022"
"5","Akeem Dent","DB","13","29","24","53","1","0.0","0","0","","0","4","0","0","0","0","","florida-state","2022"
"6","DJ Lundy","LB","13","24","24","48","5","1.5","0","0","","0","2","0","0","0","1","","florida-state","2022"
"7","Jared Verse","DE","12","22","26","48","17","9.0","0","0","","0","0","1","10","0","0","","florida-state","2022"
"8","Derrick McLendon II","DE","13","17","20","37","5","3.5","0","0","","0","0","1","15","0","0","","florida-state","2022"
"9","Shyheim Brown","DB","13","19","17","36","3","1.5","0","0","","0","2","1","0","0","0","","florida-state","2022"
"10","Brendan Gant","DB","12","19","14","33","2","1.0","0","0","","0","1","1","0","0","0","","florida-state","2022"
"11","Patrick Payton","DL","13","22","9","31","6","5.0","0","0","","0","3","0","0","0","1","","florida-state","2022"
"12","Kevin Knowles II","DB","13","16","8","24","0","0.0","1","0","0.0","0","2","0","0","0","0","","florida-state","2022"
"13","Leonard Warner III","DE","13","11","11","22","3","2.5","0","0","","0","0","0","0","0","1","","florida-state","2022"
"14","Dennis Briggs Jr.","DE","13","5","16","21","4","3.0","0","0","","0","1","0","0","0","0","","florida-state","2022"
"15","Jarrian Jones","DB","12","13","6","19","0","0.0","1","0","0.0","0","4","0","0","0","0","","florida-state","2022"
"16","Robert Cooper","DT","13","9","10","19","1","0.0","0","0","","0","0","0","0","0","0","","florida-state","2022"
"17","Amari Gainer","LB","8","7","10","17","2","1.0","0","0","","0","0","0","0","0","1","","florida-state","2022"
"18","Greedy Vance","DB","13","12","4","16","0","0.0","3","10","3.3","0","2","0","0","0","0","","florida-state","2022"
"19","Joshua Farmer","DT","13","10","5","15","6","2.0","0","0","","0","0","0","0","0","0","","florida-state","2022"
"20","Malcolm Ray","DT","13","8","7","15","3","2.0","0","0","","0","0","1","0","0","0","","florida-state","2022"
"21","Azareye'h Thomas","DB","11","8","6","14","2","0.0","1","0","0.0","0","1","0","0","0","0","","florida-state","2022"
"22","Omarion Cooper","DB","12","11","3","14","0","0.0","1","0","0.0","0","0","0","0","0","1","","florida-state","2022"
"23","Jarques McClellion","DB","13","7","5","12","0","0.0","0","0","","0","1","0","0","0","0","","florida-state","2022"
"24","Jarrett Jackson","DT","11","2","10","12","0","0.0","0","0","","0","0","0","0","0","0","","florida-state","2022"
"25","Sidney Williams","DB","11","7","5","12","0","0.0","0","0","","0","0","0","0","0","0","","florida-state","2022"
"26","Fabien Lovett","DT","7","5","5","10","2","1.0","0","0","","0","1","0","0","0","1","","florida-state","2022"
"27","Omar Graham Jr.","LB","3","4","4","8","0","0.0","0","0","","0","0","0","0","0","0","","florida-state","2022"
"28","Wyatt Rector","TE","13","3","4","7","0","0.0","0","0","","0","0","1","0","0","0","","florida-state","2022"
"29","Sam McCall","DB","8","3","2","5","0","0.0","0","0","","0","1","0","0","0","1","","florida-state","2022"
"30","Daniel Lyons","DL","4","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","florida-state","2022"
"31","Byron Turner","DL","8","0","3","3","0","0.0","0","0","","0","0","0","0","0","0","","florida-state","2022"
"32","Aaron Hester","DL","3","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","florida-state","2022"
"33","Malik Feaster","DB","4","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-state","2022"
"34","Lawrance Toafili","RB","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-state","2022"
"35","Preston Daniel","TE","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-state","2022"
"36","Brian Courtney","TE","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-state","2022"
"37","Bishop Thomas","DL","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-state","2022"
"38","Ryan Fitzgerald","K","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-state","2022"
"39","Dillan Gibbons","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-state","2022"
"40","Jordan Travis","QB","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-state","2022"
"41","James Rosenberry Jr.","LS","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","florida-state","2022"
