"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Trey Dean III","S","13","41","51","92","4","1.5","1","12","12.0","0","9","0","0","0","0","","florida","2021"
"2","Mohamoud Diabate","LB","12","33","56","89","3","0.0","0","0","","0","0","0","0","0","0","","florida","2021"
"3","Rashad Torrence II","","13","51","36","87","3","0.0","3","1","0.3","0","2","1","0","0","0","","florida","2021"
"4","Rashad Torrence","S","12","53","34","87","4","0.0","3","1","0.3","0","2","1","0","0","0","","florida","2021"
"5","Ty'ron Hopper","LB","13","34","31","65","10","3.5","0","0","","0","2","0","0","0","1","","florida","2021"
"6","Gervon Dexter","DL","13","19","32","51","4","2.5","0","0","","0","1","2","0","0","0","","florida","2021"
"7","Jeremiah Moon","LB","10","20","29","49","4","2.0","0","0","","0","1","0","0","0","1","","florida","2021"
"8","Amari Burney","LB","13","24","20","44","1","0.0","0","0","","0","3","0","0","0","0","","florida","2021"
"9","Brenton Cox","LB","13","26","15","41","15","8.5","0","0","","0","4","0","0","0","1","","florida","2021"
"10","Zachary Carter","DL","12","14","18","32","10","8.0","0","0","","0","2","0","0","0","1","","florida","2021"
"11","Kaiir Elam","CB","10","16","13","29","2","0.0","1","0","0.0","0","5","0","0","0","0","","florida","2021"
"12","Jadarrius Perkins","CB","10","15","10","25","1","0.0","0","0","","0","2","0","0","0","0","","florida","2021"
"13","Jason Marshall Jr.","CB","13","15","8","23","2","0.0","1","-3","-3.0","0","3","0","0","0","0","","florida","2021"
"14","Tre'Vez Johnson","S","10","15","8","23","4","1.0","1","26","26.0","0","2","0","0","0","0","","florida","2021"
"15","Khris Bogle","LB","11","9","14","23","3","1.5","0","0","","0","0","0","0","0","0","","florida","2021"
"16","Antonio Valentino","DL","12","15","8","23","3","1.0","0","0","","0","0","0","0","0","0","","florida","2021"
"17","Avery Helm","CB","11","16","5","21","0","0.0","0","0","","0","3","0","0","0","0","","florida","2021"
"18","Princely Umanmielen","DL","13","9","8","17","2","1.5","0","0","","0","0","0","0","0","1","","florida","2021"
"19","Daquan Newkirk","DL","8","8","8","16","2","1.5","1","7","7.0","0","0","0","0","0","0","","florida","2021"
"20","Mordecai McDaniel","S","13","7","8","15","0","0.0","1","0","0.0","0","0","0","0","0","0","","florida","2021"
"21","Derek Wingo","LB","13","5","10","15","1","0.0","0","0","","0","1","0","0","0","0","","florida","2021"
"22","Lacedrick Brunson","LB","11","5","8","13","0","0.0","0","0","","0","0","0","0","0","0","","florida","2021"
