"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Evan Williams","DB","13","59","32","91","5","0.0","3","64","21.3","0","6","2","0","0","1","","fresno-state","2021"
"2","Malachi Langley","LB","13","38","23","61","5","0.0","1","33","33.0","0","2","0","0","0","0","","fresno-state","2021"
"3","Levelle Bailey","LB","13","33","23","56","8","3.5","2","27","13.5","0","6","2","0","0","1","","fresno-state","2021"
"4","Daron Bland","DB","13","34","11","45","1","0.0","2","38","19.0","0","5","0","0","0","1","","fresno-state","2021"
"5","Tyson Maeva","LB","10","22","22","44","6","1.5","0","0","","0","1","0","0","0","0","","fresno-state","2021"
"6","David Perales","DE","13","21","23","44","13","7.0","0","0","","0","1","0","0","0","3","","fresno-state","2021"
"7","Kevin Atkins","DT","13","26","15","41","13","7.0","0","0","","0","0","2","0","0","0","","fresno-state","2021"
"8","Arron Mosby","DE","13","24","16","40","16","6.0","0","0","","0","3","2","31","1","6","","fresno-state","2021"
"9","Elijah Gates","DB","10","28","10","38","3","0.0","1","0","0.0","0","6","1","0","0","0","","fresno-state","2021"
"10","Justin Houston","HB","13","23","14","37","0","0.0","0","0","","0","3","0","0","0","0","","fresno-state","2021"
"11","LJ Early","DB","13","28","5","33","2","0.0","1","12","12.0","0","4","0","0","0","0","","fresno-state","2021"
"12","Emari Pait","HB","13","17","8","25","6","0.0","0","0","","0","4","0","0","0","0","","fresno-state","2021"
"13","Bralyn Lux","DB","13","18","6","24","1","0.0","0","0","","0","4","1","0","0","0","","fresno-state","2021"
"14","Ryan Boehm","DL","13","16","7","23","3","1.5","0","0","","0","0","1","0","0","0","","fresno-state","2021"
"15","Leonard Payne","DT","11","10","12","22","5","3.5","0","0","","0","0","1","0","0","0","","fresno-state","2021"
"16","Cale Sanders","DB","13","18","2","20","1","0.0","1","18","18.0","0","3","0","0","0","1","","fresno-state","2021"
"17","Wylan Free","DB","11","12","5","17","1","0.0","0","0","","0","4","0","0","0","0","","fresno-state","2021"
"18","Tyler Mello","LB","11","10","4","14","2","0.5","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"19","Deonte Perry","DB","13","7","7","14","0","0.0","0","0","","0","1","0","0","0","0","","fresno-state","2021"
"20","Evan Bennett","DL","13","6","8","14","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"21","Kwami Jones","DE","12","6","7","13","0","0.0","0","0","","0","0","1","0","0","0","","fresno-state","2021"
"22","Kosi Agina","DB","13","8","4","12","1","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"23","Kenny Gagnon","DB","13","7","2","9","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"24","Steven Comstock","DB","13","5","1","6","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"25","Devo Bridges","DE","13","2","4","6","1","0.5","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"26","Mac Dalena","WR","13","5","0","5","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"27","Matt Lawson","DT","8","4","1","5","1","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"28","Tanner Blount","LB","9","4","0","4","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"29","Rian Fields","HB","9","1","1","2","0","0.0","0","0","","0","1","0","0","0","0","","fresno-state","2021"
"30","Jason Diaz Jr.","DB","2","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"31","Randy Jordan","DB","1","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"32","Jacob Westberry","LS","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"33","Dontae Bull","OL","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"34","Da'Marcus Johnson","DE","13","1","1","2","1","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"35","Chrishawn Gordon","DB","2","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"36","Malik Sherrod","RB","8","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"37","Raymond Pauwels","TE","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"38","Ronnie Rivers","RB","11","1","0","1","1","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"39","Zeke Branham","LB","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"40","Abraham Montano","K","5","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"41","Phoenix Jackson","DL","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"42","Julius Lewis","DL","4","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"43","Jordan Brown","WR","11","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"44","Jalen Williams","DB","5","1","0","1","0","0.0","1","5","5.0","0","0","0","0","0","0","","fresno-state","2021"
"45","Jalen Cropper","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"46","Jake Haener","QB","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"47","Isaiah Johnson","DE","4","1","0","1","0","0.0","0","0","","0","1","0","0","0","0","","fresno-state","2021"
"48","Erik Brooks","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"49","Charles Remlinger","DL","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"50","Cesar R. Silva","K","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"51","Cameron Lamanuzzi","LB","9","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
"52","Bula Schmidt","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","fresno-state","2021"
