"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Anthony Wilson","S","12","43","35","78","5","1.0","0","0","","0","9","0","0","0","1","","georgia-southern","2021"
"2","Eldrick Robinson II","LB","11","34","40","74","6","0.5","2","31","15.5","0","2","0","0","0","0","","georgia-southern","2021"
"3","Michael Edwards III","LB","11","27","32","59","7","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"4","Justin Birdsong","S","12","27","22","49","1","0.5","0","0","","0","2","0","0","0","0","","georgia-southern","2021"
"5","Benz Josue","LB","12","21","19","40","2","0.0","0","0","","0","1","0","0","0","0","","georgia-southern","2021"
"6","Justin Ellis","DE","12","14","23","37","8","5.0","0","0","","0","1","0","0","0","1","","georgia-southern","2021"
"7","C.J. Wright","NT","12","17","19","36","8","5.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"8","Tyler Bride","CB","8","24","8","32","6","2.0","0","0","","0","6","0","0","0","0","","georgia-southern","2021"
"9","Seth Robertson","CB","10","20","12","32","0","0.0","0","0","","0","4","0","0","0","0","","georgia-southern","2021"
"10","Darrell Baker","CB","10","27","5","32","1","0.0","0","0","","0","8","0","0","0","1","","georgia-southern","2021"
"11","Randy Wade","LB","11","17","14","31","3","0.0","0","0","","0","1","0","0","0","0","","georgia-southern","2021"
"12","Tyrell Davis","S","12","20","9","29","3","0.0","1","1","1.0","0","1","0","0","0","0","","georgia-southern","2021"
"13","Dillon Springer","DE","12","14","15","29","8","3.5","0","0","","0","0","0","0","0","1","","georgia-southern","2021"
"14","Kevon Glenn","LB","12","13","13","26","2","1.0","0","0","","0","0","0","0","0","1","","georgia-southern","2021"
"15","Reid Dedman","LB","12","10","15","25","5","1.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"16","NaJee Thompson","WR","9","21","4","25","0","0.0","1","0","0.0","0","1","0","0","0","0","","georgia-southern","2021"
"17","Khadry Jackson","LB","7","9","14","23","1","1.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"18","Jon Ferguson","LB","10","8","14","22","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"19","Parker Devine","NT","12","7","12","19","5","2.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"20","Quin Williams","LB","10","5","9","14","1","0.0","1","22","22.0","1","1","1","0","0","0","","georgia-southern","2021"
"21","Myzel Williams","S","11","8","3","11","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"22","Deonta Bembry","CB","7","8","2","10","0","0.0","0","0","","0","2","0","0","0","0","","georgia-southern","2021"
"23","Tre Allen","LB","9","2","8","10","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"24","Andrew Johnson Jr.","LB","8","2","7","9","2","1.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"25","Jalen Jackson","LB","12","4","5","9","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"26","A.J. Watkins","DE","8","3","6","9","4","2.0","0","0","","0","1","0","0","0","0","","georgia-southern","2021"
"27","Zyon McGee","LB","8","2","4","6","1","0.5","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"28","Brandon Wilson","DE","11","2","3","5","0","0.0","0","0","","0","0","1","0","0","0","","georgia-southern","2021"
"29","Derrick Canteen","CB","2","3","2","5","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"30","Amaru Herring","NT","4","0","3","3","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"31","Marques Watson-Trent","LB","1","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"32","Beau Johnson","TE","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","1","","georgia-southern","2021"
"33","Kierron Smith","NT","5","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"34","Mark Langston","LS","11","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"35","Dexter Carter Jr.","SB","4","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"36","Chase Dial-Watson","S","12","1","1","2","0","0.0","0","0","","0","1","0","0","0","0","","georgia-southern","2021"
"37","Myles Freeman","SB","1","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"38","Griffin Carder","OL","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"39","Anthony Beck II","P","12","1","0","1","0","0.0","0","0","","0","0","1","0","0","1","","georgia-southern","2021"
"40","Sam Kenerson","QB","7","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"41","Brian Miller","OL","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"42","Britton Williams","PK","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"43","Darius Lewis","WR","9","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"44","Davion Rhodes","DE","4","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"45","Montae Maxwell","S","3","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"46","LJ McCloud","NT","3","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"47","Khalil Crowder","OL","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"48","Khaleb Hood","SB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"49","Gavin Adcock","NT","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"50","Gerald Green","RB","11","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"51","Justin Meyers","S","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"52","Isaac Walker","LB","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-southern","2021"
"53","Amare Jones","RB","10","0","0","0","0","0.0","0","0","","0","0","1","0","0","0","","georgia-southern","2021"
