"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Jontrey Hunter","LB","12","51","45","96","7","1.5","0","0","","0","4","0","0","0","3","","georgia-state","2023"
"2","Justin Abraham","LB","13","51","33","84","8","3.5","0","0","","0","2","0","0","0","1","","georgia-state","2023"
"3","Jeremiah Johnson","DB","13","56","17","73","5","1.0","2","24","12.0","0","0","2","0","0","1","","georgia-state","2023"
"4","TyGee Leach","DB","13","44","27","71","7","0.0","1","0","0.0","0","6","0","0","0","0","","georgia-state","2023"
"5","Jordan Veneziale","LB","13","34","20","54","7","1.0","0","0","","0","0","0","0","0","1","","georgia-state","2023"
"6","Josiah Robinson","LB","13","28","13","41","4","2.5","1","42","42.0","0","0","0","0","0","0","","georgia-state","2023"
"7","Gavin Pringle","DB","13","27","12","39","4","1.5","4","20","5.0","1","4","0","0","0","0","","georgia-state","2023"
"8","Henry Bryant","DL","13","15","21","36","6","3.0","0","0","","0","0","1","0","0","0","","georgia-state","2023"
"9","Bryquice Brown","DB","9","25","10","35","1","0.0","1","43","43.0","0","6","1","0","0","0","","georgia-state","2023"
"10","Kevin Swint","DE","11","24","8","32","8","4.0","0","0","","0","0","0","0","0","1","","georgia-state","2023"
"11","Javon Denis","DL","13","13","18","31","7","5.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"12","Shamar McCollum","LB","12","10","20","30","3","1.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"13","Anthony Blume","DL","13","11","14","25","4","2.0","0","0","","0","0","0","0","0","1","","georgia-state","2023"
"14","Izaiah Guy","DB","13","19","6","25","1","1.0","0","0","","0","2","1","0","0","1","","georgia-state","2023"
"15","Cody Jones","DB","13","10","10","20","0","0.0","1","0","0.0","0","1","0","0","0","0","","georgia-state","2023"
"16","Ronald Cooper","DB","11","16","3","19","1","0.0","1","17","17.0","0","2","0","0","0","0","","georgia-state","2023"
"17","Jalen Tate","DB","12","10","3","13","1","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"18","Jordan Jones","LB","7","11","2","13","1","0.5","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"19","Tylon Dunlap","DL","9","9","3","12","1","1.0","0","0","","0","1","0","0","0","0","","georgia-state","2023"
"20","Fuches Lewis II","DL","12","7","4","11","1","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"21","Corey Warren","DE","12","4","3","7","2","0.5","0","0","","0","0","1","0","0","0","","georgia-state","2023"
"22","Chris Davis Jr.","LB","13","7","0","7","1","1.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"23","Tavian Brown","LB","12","4","3","7","0","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"24","Tony Mccray Jr.","DB","12","6","1","7","0","0.0","0","0","","0","2","0","0","0","0","","georgia-state","2023"
"25","Chance Singleton","DB","12","5","1","6","0","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"26","Ricardo Williams Jr.","DL","13","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"27","PJ Simmons II","LB","11","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"28","Terrell Gordon","LB","10","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"29","JayT Jackson","DB","6","3","0","3","1","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"30","Jaylon Jones","CB","3","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"31","Kade Loggins","K","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"32","Darren Grainger","QB","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"33","Darius Bush","WR","9","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"34","Rykem Laney","WR","5","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"35","Braeden McAlister","K","9","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"36","Trevor Timmons","OL","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"37","Anthony Wainwright","DB","13","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"38","Evan Graham","LB","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"39","Rico Arnold","WR","8","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"40","Chris Smith","LB","10","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"41","Tailique Williams","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"42","Cam Marshall","S","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"43","Terry Berdin Jr.","RB","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"44","Ben Chukwuma","OL","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
"45","Avion McBride","TE","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-state","2023"
