"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Kyle Efford","LB","13","37","44","81","1","1.0","1","0","0.0","0","0","0","0","0","0","","georgia-tech","2023"
"2","Clayton Powell-Lee","DB","13","33","37","70","1","0.0","1","0","0.0","0","2","0","0","0","0","","georgia-tech","2023"
"3","Jaylon King","DB","13","39","30","69","1","0.0","4","82","20.5","0","9","2","10","0","0","","georgia-tech","2023"
"4","Miles Brooks","DB","13","38","29","67","1","0.0","1","25","25.0","0","6","0","0","0","0","","georgia-tech","2023"
"5","Paul Moala","LB","13","37","28","65","11","4.0","0","0","","0","2","0","0","0","3","","georgia-tech","2023"
"6","Kyle Kennard","DL","12","32","22","54","11","6.0","1","12","12.0","0","0","2","0","0","2","","georgia-tech","2023"
"7","KJ Wallace","DB","13","27","15","42","2","1.0","1","0","0.0","0","7","1","0","0","2","","georgia-tech","2023"
"8","Zeek Biggers","DL","13","18","22","40","4","1.0","0","0","","0","3","1","6","0","0","","georgia-tech","2023"
"9","Trenilyas Tatum","LB","12","15","23","38","4","0.0","0","0","","0","1","0","0","0","0","","georgia-tech","2023"
"10","Eddie Kelly","DL","13","15","23","38","5","1.5","0","0","","0","2","0","0","0","0","","georgia-tech","2023"
"11","Myles Sims","DB","12","21","16","37","2","0.0","1","0","0.0","0","5","2","4","0","0","","georgia-tech","2023"
"12","D'Quan Douse","DL","13","17","18","35","3","2.0","0","0","","0","0","0","0","0","1","","georgia-tech","2023"
"13","Makius Scott","DL","13","13","21","34","2","0.0","0","0","","0","2","0","0","0","1","","georgia-tech","2023"
"14","Ahmari Harvey","DB","11","28","3","31","0","0.0","3","16","5.3","0","3","0","0","0","1","","georgia-tech","2023"
"15","Braelen Oliver","LB","12","10","19","29","5","0.0","0","0","","0","1","0","0","0","0","","georgia-tech","2023"
"16","Kenan Johnson","DB","11","20","9","29","0","0.0","1","21","21.0","0","3","1","2","0","2","","georgia-tech","2023"
"17","Kevin Harris","DL","13","14","13","27","2","1.0","0","0","","0","0","0","0","0","0","","georgia-tech","2023"
"18","Horace Lockett","DL","10","9","16","25","3","0.0","0","0","","0","0","0","0","0","1","","georgia-tech","2023"
"19","Andre White Jr.","LB","10","8","16","24","3","2.5","0","0","","0","0","0","0","0","1","","georgia-tech","2023"
"20","Rodney Shelley","DB","13","7","10","17","0","0.0","0","0","","0","1","0","0","0","0","","georgia-tech","2023"
"21","Noah Collins","DL","9","5","4","9","1","1.0","0","0","","0","0","0","0","0","0","","georgia-tech","2023"
"22","Josh Robinson","DL","12","3","6","9","1","0.0","0","0","","0","1","0","0","0","0","","georgia-tech","2023"
"23","Sirad Bryant","DB","12","2","5","7","0","0.0","0","0","","0","1","0","0","0","0","","georgia-tech","2023"
"24","Kenyatta Watson II","DB","10","3","2","5","0","0.0","0","0","","0","0","0","0","0","0","","georgia-tech","2023"
"25","Taye Seymore","DB","10","2","3","5","0","0.0","0","0","","0","0","0","0","0","0","","georgia-tech","2023"
"26","Jason Moore","DL","11","2","2","4","1","0.0","0","0","","0","0","0","0","0","0","","georgia-tech","2023"
"27","Omar Daniels","DB","10","4","0","4","1","0.0","0","0","","0","1","0","0","0","0","","georgia-tech","2023"
"28","Avery Boyd","WR","13","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","georgia-tech","2023"
"29","Chad Alexander","RB","9","1","2","3","0","0.0","0","0","","0","0","1","0","0","0","","georgia-tech","2023"
"30","Khari Gee","DB","2","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","georgia-tech","2023"
"31","Abdul Janneh","WR","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-tech","2023"
"32","Trevion Cooley","RB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-tech","2023"
"33","Ashton Heflin","LB","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-tech","2023"
"34","Tyson Meiguez","LB","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-tech","2023"
"35","Eric Singleton Jr.","WR","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-tech","2023"
"36","Brett Seither","TE","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-tech","2023"
"37","Luke Benson","TE","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-tech","2023"
"38","David Shanahan","P","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-tech","2023"
"39","Daylon Gordon","RB","10","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-tech","2023"
"40","D.J. Moore","DB","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-tech","2023"
"41","Jakiah Leftwich","OL","7","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-tech","2023"
"42","Jacob Cruz","LB","10","1","0","1","0","0.0","0","0","","0","0","1","0","0","0","","georgia-tech","2023"
"43","Evan Dickens","RB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-tech","2023"
"44","Etinosa Reuben","DL","7","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia-tech","2023"
