"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Smael Mondon Jr.","LB","13","49","27","76","8","1.0","1","3","3.0","0","1","0","0","0","0","","georgia","2022"
"2","Jamon Dumas-Johnson","LB","15","45","25","70","9","4.0","0","0","","0","3","0","0","0","1","","georgia","2022"
"3","Malaki Starks","DB","15","44","24","68","2","0.0","2","42","21.0","0","7","0","0","0","0","","georgia","2022"
"4","Christopher Smith","DB","15","45","16","61","5","1.0","3","29","9.7","0","5","1","0","0","1","AA","georgia","2022"
"5","Javon Bullard","DB","14","33","13","46","7","3.5","2","3","1.5","0","3","1","0","0","0","","georgia","2022"
"6","Kelee Ringo","DB","15","37","5","42","2","0.0","2","45","22.5","0","7","0","0","0","1","","georgia","2022"
"7","Kamari Lassiter","DB","15","30","8","38","5","0.5","0","0","","0","4","0","0","0","0","","georgia","2022"
"8","Nazir Stackhouse","DL","15","16","17","33","3","0.0","0","0","","0","0","0","0","0","0","","georgia","2022"
"9","Jalen Carter","DL","13","16","16","32","7","3.0","0","0","","0","3","0","0","0","2","AA","georgia","2022"
"10","Tykee Smith","DB","14","22","6","28","3","2.0","0","0","","0","1","0","0","0","1","","georgia","2022"
"11","Mykel Williams","DL","15","15","13","28","7","4.5","0","0","","0","0","0","0","0","0","","georgia","2022"
"12","Robert Beal","LB","15","16","10","26","3","3.0","0","0","","0","0","1","0","0","1","","georgia","2022"
"13","Tramel Walthour","DL","14","13","10","23","2","1.0","0","0","","0","0","0","0","0","0","","georgia","2022"
"14","Trezmen Marshall","LB","14","11","8","19","5","1.0","1","0","0.0","0","1","0","0","0","0","","georgia","2022"
"15","Nolan Smith","LB","8","14","4","18","7","3.0","0","0","","0","1","0","0","0","0","","georgia","2022"
"16","Zion Logue","DL","14","10","6","16","0","0.0","0","0","","0","1","1","0","0","1","","georgia","2022"
"17","Dan Jackson","DB","7","13","3","16","1","0.0","1","0","0.0","0","1","0","0","0","1","","georgia","2022"
"18","Chaz Chambliss","LB","12","9","6","15","3","2.0","0","0","","0","0","0","0","0","0","","georgia","2022"
"19","Rian Davis","LB","14","9","6","15","1","0.0","0","0","","0","0","0","0","0","0","","georgia","2022"
"20","David Daniel","DB","14","9","5","14","2","0.0","0","0","","0","1","0","0","0","0","","georgia","2022"
"21","Daylen Everette","DB","14","10","3","13","0","0.0","0","0","","0","1","0","0","0","0","","georgia","2022"
"22","Warren Brinson","DL","15","7","5","12","3","1.0","0","0","","0","0","1","0","0","0","","georgia","2022"
"23","Tyrion Ingram-Dawkins","DL","14","9","1","10","2","0.0","0","0","","0","0","1","0","0","0","","georgia","2022"
"24","Jalon Walker","LB","15","5","4","9","2","1.0","0","0","","0","1","0","0","0","0","","georgia","2022"
"25","Bear Alexander","DL","12","5","4","9","3","2.0","0","0","","0","2","0","0","0","0","","georgia","2022"
"26","MJ Sherman","LB","15","4","1","5","1","0.5","0","0","","0","0","0","0","0","0","","georgia","2022"
"27","Marvin Jones Jr.","LB","13","3","1","4","1","1.0","0","0","","0","0","0","0","0","0","","georgia","2022"
"28","Darris Smith","LB","11","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","georgia","2022"
"29","Xavian Sorey Jr.","LB","12","3","0","3","0","0.0","0","0","","0","0","1","0","0","0","","georgia","2022"
"30","Nyland Green","DB","10","3","0","3","0","0.0","0","0","","0","1","0","0","0","0","","georgia","2022"
"31","Marcus Rosemy-Jacksaint","WR","15","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","georgia","2022"
"32","E.J. Lightsey","LB","4","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","georgia","2022"
"33","Jack Podlesny","K","15","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","georgia","2022"
"34","Jackson Meeks","WR","15","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","georgia","2022"
"35","Bill Norton","DL","13","3","0","3","1","0.0","0","0","","0","0","0","0","0","0","","georgia","2022"
"36","JaCorey Thomas","DB","6","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","georgia","2022"
"37","Jonathan Jefferson","DL","5","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","georgia","2022"
"38","Cash Jones","RB","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia","2022"
"39","Brock Bowers","TE","15","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia","2022"
"40","Stetson Bennett","QB","15","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","H-4","georgia","2022"
"41","Shone Washington","DL","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia","2022"
"42","Darnell Washington","TE","15","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia","2022"
"43","Marcus Washington Jr.","DB","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","georgia","2022"
