"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Darius Muasau","LB","13","64","45","109","14","7.0","1","75","75.0","1","4","1","0","0","5","","hawaii","2021"
"2","Khoury Bethley","DB","13","73","27","100","9","4.0","5","120","24.0","1","6","1","0","0","3","","hawaii","2021"
"3","Eugene Ford","DB","13","41","19","60","2","0.0","0","0","","0","0","1","60","1","1","","hawaii","2021"
"4","Quentin Frazier","DB","13","43","14","57","7","0.0","0","0","","0","2","0","0","0","1","","hawaii","2021"
"5","Djuan Matthews","DL","13","30","23","53","6","1.5","0","0","","0","0","1","0","0","2","","hawaii","2021"
"6","Kai Kaneshiro","DB","12","29","19","48","0","0.0","1","0","0.0","0","4","1","0","0","0","","hawaii","2021"
"7","Cortez Davis","DB","13","31","17","48","1","0.0","1","0","0.0","0","18","0","0","0","1","","hawaii","2021"
"8","Penei Payihi","LB","12","28","19","47","5","1.0","0","0","","0","1","1","0","0","0","","hawaii","2021"
"9","Penei Pavihi","","12","28","19","47","5","1.0","0","0","","0","1","1","0","0","0","","hawaii","2021"
"10","Isaiah Tufaga","LB","13","21","14","35","2","2.0","0","0","","0","2","1","0","0","0","","hawaii","2021"
"11","Cameron Lockridge","DB","9","28","6","34","3","0.0","2","88","44.0","1","6","1","5","1","0","","hawaii","2021"
"12","Justus Tavai","DL","13","19","15","34","5","1.0","0","0","","0","1","2","0","0","0","","hawaii","2021"
"13","Jonah Laulu","DL","12","21","13","34","8","4.0","0","0","","0","1","1","0","0","0","","hawaii","2021"
"14","Blessman Ta'ala","DL","13","14","16","30","6","1.0","0","0","","0","1","0","0","0","0","","hawaii","2021"
"15","Chima Azunna","DB","9","25","4","29","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"16","Solomon Turner","DB","13","20","5","25","2","1.0","1","4","4.0","0","0","0","0","0","2","","hawaii","2021"
"17","O'tay Baker","DL","13","13","9","22","4","2.5","0","0","","0","0","0","0","0","0","","hawaii","2021"
"18","Hugh Nelson","DB","13","14","5","19","1","0.0","2","2","1.0","0","6","0","0","0","1","","hawaii","2021"
"19","Pita Tonga","DL","10","9","5","14","4","1.0","1","8","8.0","0","1","0","0","0","0","","hawaii","2021"
"20","Zacchaeus McKinney","DL","12","8","3","11","1","1.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"21","Colby Burton","DB","11","5","4","9","1","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"22","Riley Wilson","LB","11","4","1","5","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"23","Derek Thomas","DL","7","2","2","4","0","0.0","0","0","","0","0","2","0","0","0","","hawaii","2021"
"24","John Tuitupou","DL","10","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"25","Noa Kamana","LB","12","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"26","Kyler Halvorsen","PK","13","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"27","Caleb Phillips","TE","13","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"28","Ty Marsh","DB","11","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"29","Jordan Johnson","RB","4","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"30","Alema Kapoi","DL","9","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"31","Ezra Evaimalo","DL","4","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"32","Nalu Emerson","DB","10","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"33","Michael Graham","DB","9","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"34","Wyatt Tucker","LS","13","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"35","Tiger Peterson","DB","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"36","Solo Vaipulu","OL","9","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"37","Travon Killins","DB","8","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"38","Tru Edwards","WR","10","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"39","Zion Bowens","WR","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"40","Calvin Turner","RB","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"41","Payton Awaya","LB","6","1","0","1","1","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"42","Kohl Levao","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"43","Chevan Cordeiro","QB","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"44","Kalamaku Kuewa","DB","8","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"45","Josh Bertholotte","LB","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"46","Dedrick Parson","RB","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"47","Jared Smart","WR","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
"48","Foi Shaw","DL","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","hawaii","2021"
