"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","A.J. Haulcy","DB","12","73","25","98","1","0.0","0","12","","0","4","0","0","0","1","","houston","2023"
"2","Malik Robinson","LB","12","38","43","81","3","0.0","1","3","3.0","0","1","1","0","0","0","","houston","2023"
"3","Jamal Morris","LB","11","38","26","64","2","0.5","0","0","","0","5","1","0","0","1","","houston","2023"
"4","Isaiah Hamilton","DB","12","38","12","50","4","0.0","4","75","18.8","1","4","0","0","0","1","","houston","2023"
"5","Nelson Ceaser","DL","11","28","15","43","14","9.5","0","0","","0","1","0","0","0","0","","houston","2023"
"6","Malik Fleming","DB","11","32","9","41","2","0.0","3","54","18.0","0","5","0","0","0","0","","houston","2023"
"7","David Ugwoegbu","DL","12","28","13","41","6","3.0","0","0","","0","3","1","0","0","1","","houston","2023"
"8","Brian George","DB","10","25","12","37","1","0.0","0","0","","0","1","0","0","0","0","","houston","2023"
"9","Hasaan Hypolite","DB","12","21","12","33","1","0.0","0","0","","0","0","0","0","0","0","","houston","2023"
"10","Antonio Brooks","DB","8","25","7","32","1","0.0","0","0","","0","0","0","0","0","0","","houston","2023"
"11","Treylin Payne","LB","12","13","14","27","2","1.0","1","0","0.0","0","0","0","0","0","0","","houston","2023"
"12","Jamaree Caldwell","DL","11","22","5","27","9","6.5","0","0","","0","0","0","0","0","1","","houston","2023"
"13","Chidozie Nwankwo","DL","9","13","12","25","5","1.0","0","0","","0","0","0","0","0","0","","houston","2023"
"14","Trimarcus Cheeks","LB","11","12","11","23","1","1.0","0","0","","0","2","0","0","0","0","","houston","2023"
"15","Anthony Holmes Jr.","DL","12","13","8","21","5","2.5","0","0","","0","0","0","0","0","0","","houston","2023"
"16","Hakeem Ajijolaiya","DL","12","10","11","21","1","0.0","0","0","","0","1","1","0","0","0","","houston","2023"
"17","Juwon Gaston","DB","10","12","6","18","1","0.0","0","0","","0","0","0","0","0","0","","houston","2023"
"18","Alex Hogan","DB","7","14","2","16","1","0.0","0","0","","0","3","0","0","0","0","","houston","2023"
"19","Jalen Garner","LB","9","7","6","13","0","0.0","0","0","","0","0","0","0","0","0","","houston","2023"
"20","Moses Alexander","CB","10","8","3","11","1","0.0","0","0","","0","1","0","0","0","0","","houston","2023"
"21","Taleeq Robbins","DL","10","4","6","10","1","0.0","0","0","","0","0","0","0","0","0","","houston","2023"
"22","Latreveon McCutchin","LB","12","6","4","10","0","0.0","0","0","","0","1","0","0","0","0","","houston","2023"
"23","Jalen Emery","DB","7","6","3","9","0","0.0","0","0","","0","1","0","0","0","0","","houston","2023"
"24","Sedrick Williams","DL","12","6","2","8","1","1.0","0","0","","0","0","0","0","0","0","","houston","2023"
"25","Noah Guzman","DB","2","4","3","7","0","0.0","0","0","","0","1","0","0","0","0","","houston","2023"
"26","Nadame Tucker","DL","9","5","2","7","1","0.0","0","0","","0","0","0","0","0","0","","houston","2023"
"27","Zykeius Strong","DL","12","1","5","6","0","0.0","0","0","","0","0","0","0","0","0","","houston","2023"
"28","Chris Pearson","LB","11","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","houston","2023"
"29","Justin Benton","DL","4","3","1","4","1","0.0","0","0","","0","0","0","0","0","0","","houston","2023"
"30","Cavan Tuley","DL","7","2","1","3","2","0.0","0","0","","0","0","0","0","0","0","","houston","2023"
"31","Dorian Friend","DB","6","0","3","3","0","0.0","0","0","","0","0","0","0","0","0","","houston","2023"
"32","Joseph Manjack IV","WR","10","1","1","2","0","0.0","0","0","","0","0","1","0","0","1","","houston","2023"
"33","C.J. Nelson","WR","2","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","houston","2023"
"34","Aaron Willis","LB","12","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","houston","2023"
"35","Brandon Mack","DL","2","2","0","2","2","0.0","0","0","","0","0","0","0","0","0","","houston","2023"
"36","Laine Wilkins","P","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","houston","2023"
"37","Parker Jenkins","RB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","houston","2023"
"38","Peyton Sawyer","WR","7","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","houston","2023"
"39","Reuben Unije","OL","11","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","houston","2023"
"40","Jalyn Stanford","DB","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","houston","2023"
"41","Jack Martin","K","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","houston","2023"
"42","Amipeleasi Langi Jr.","DL","5","0","1","1","1","0.0","0","0","","0","2","0","0","0","0","","houston","2023"
