"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Aaron Casey","LB","12","78","31","109","20","6.5","0","0","","0","3","0","0","0","3","","indiana","2023"
"2","Louis Moore","DB","12","58","24","82","1","0.0","3","49","16.3","1","1","0","0","0","3","","indiana","2023"
"3","Jacob Mangum-Farrar","LB","12","33","29","62","4","0.0","0","0","","0","4","0","0","0","0","","indiana","2023"
"4","Phillip Dunnam","DB","12","39","14","53","1","0.0","3","28","9.3","0","6","0","0","0","0","","indiana","2023"
"5","Andre Carter","DL","12","27","22","49","11","2.0","0","0","","0","3","0","0","0","0","","indiana","2023"
"6","Lanell Carr","LB","12","21","12","33","9","5.0","0","0","","0","2","0","0","0","0","","indiana","2023"
"7","Philip Blidi","DL","12","10","20","30","4","0.0","0","0","","0","1","0","0","0","0","","indiana","2023"
"8","Kobee Minor","DB","11","20","9","29","0","0.0","0","0","","0","4","0","0","0","0","","indiana","2023"
"9","Nicolas Toomer","CB","8","22","4","26","3","1.0","1","0","0.0","0","3","0","0","0","0","","indiana","2023"
"10","Myles Jackson","LB","12","18","8","26","2","1.0","0","0","","0","0","0","0","0","1","","indiana","2023"
"11","Jordan Grier","DB","12","18","5","23","2","0.0","0","0","","0","0","0","0","0","0","","indiana","2023"
"12","Jamari Sharpe","DB","12","18","4","22","1","0.0","1","14","14.0","0","2","0","0","0","0","","indiana","2023"
"13","Noah Pierre","DB","7","16","6","22","2","1.0","0","0","","0","2","0","0","0","0","","indiana","2023"
"14","Marcus Burris Jr.","DL","12","13","7","20","3","1.0","0","0","","0","0","0","0","0","0","","indiana","2023"
"15","Josh Sanguinetti","DB","12","11","8","19","1","0.0","2","7","3.5","0","2","2","26","0","0","","indiana","2023"
"16","Joshua Rudolph","LB","12","13","5","18","3","0.0","0","0","","0","1","0","0","0","0","","indiana","2023"
"17","Patrick Lucas Jr.","DL","12","8","6","14","1","0.0","0","0","","0","0","0","0","0","0","","indiana","2023"
"18","JoJo Johnson","DB","12","6","6","12","0","0.0","0","0","","0","1","0","0","0","0","","indiana","2023"
"19","Anthony Jones","LB","12","8","4","12","1","0.0","0","0","","0","0","0","0","0","0","","indiana","2023"
"20","Jordan Shaw","DB","4","8","4","12","1","0.5","0","0","","0","1","0","0","0","0","","indiana","2023"
"21","LeDarrius Cox","DL","12","7","3","10","2","0.0","0","0","","0","0","0","0","0","0","","indiana","2023"
"22","Matt Hohlt","LB","10","4","5","9","0","0.0","0","0","","0","0","0","0","0","0","","indiana","2023"
"23","Amare Ferrell","DB","11","9","0","9","0","0.0","0","0","","0","0","0","0","0","0","","indiana","2023"
"24","Venson Sneed","DL","11","3","2","5","2","0.0","0","0","","0","0","0","0","0","1","","indiana","2023"
"25","Jamier Johnson","DB","4","4","1","5","0","0.0","0","0","","0","1","0","0","0","0","","indiana","2023"
"26","Nick James","DL","12","2","2","4","1","1.0","0","0","","0","1","0","0","0","0","","indiana","2023"
"27","Tyrik McDaniel","DB","11","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","indiana","2023"
"28","Bryson Bonds","DB","11","4","0","4","0","0.0","0","0","","0","0","0","0","0","0","","indiana","2023"
"29","James Monds III","DB","11","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","indiana","2023"
"30","Jared Casey","LB","12","1","2","3","0","0.0","0","0","","0","0","1","0","0","0","","indiana","2023"
"31","Robby Harrison","DL","3","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","indiana","2023"
"32","Kaiden Turner","LB","6","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","indiana","2023"
"33","Matthew Bedford","OL","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","indiana","2023"
"34","Sean Wracher","LS","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","indiana","2023"
"35","Daniel Weems","RB","1","1","0","1","1","0.0","0","0","","0","0","0","0","0","0","","indiana","2023"
"36","Race Stewart","DL","1","1","0","1","1","1.0","0","0","","0","0","0","0","0","0","","indiana","2023"
"37","Brendan Sorsby","QB","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","indiana","2023"
"38","Jamison Kelly","DB","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","indiana","2023"
"39","Chris Freeman","K","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","indiana","2023"
"40","Donaven McCulley","WR","12","1","0","1","0","0.0","0","0","","0","1","0","0","0","0","","indiana","2023"
"41","Kahlil Benson","OL","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","indiana","2023"
"42","Jackson Schott","LB","9","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","indiana","2023"
"43","Mike Katic","OL","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","indiana","2023"
"44","James Bomba","TE","11","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","indiana","2023"
"45","James Evans","P","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","indiana","2023"
