"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Beau Freyler","DB","13","57","50","107","4","1.0","3","18","6.0","0","6","0","0","0","0","","iowa-state","2023"
"2","Caleb Bacon","LB","13","36","24","60","7","3.0","0","0","","0","2","0","0","0","1","","iowa-state","2023"
"3","Myles Purchase","DB","13","38","18","56","5","1.0","0","0","","0","15","0","0","0","0","","iowa-state","2023"
"4","Malik Verdon","DB","10","26","21","47","1","0.0","2","0","0.0","0","4","0","0","0","0","","iowa-state","2023"
"5","Will McLaughlin","LB","13","25","21","46","7","1.0","2","13","6.5","0","1","1","0","0","0","","iowa-state","2023"
"6","Gerry Vaughn","LB","11","20","26","46","2","0.0","1","0","0.0","0","0","0","0","0","0","","iowa-state","2023"
"7","Jeremiah Cooper","DB","11","27","18","45","2","0.0","5","88","17.6","1","10","0","0","0","1","","iowa-state","2023"
"8","T.J. Tampa","DB","12","33","11","44","3","0.0","2","1","0.5","0","7","0","0","0","0","","iowa-state","2023"
"9","Tyler Onyedim","DL","13","19","23","42","7","2.0","0","0","","0","0","0","0","0","0","","iowa-state","2023"
"10","Ben Nikkel","DB","12","23","17","40","1","0.0","0","0","","0","3","0","0","0","0","","iowa-state","2023"
"11","Joey Petersen","DE","13","16","23","39","7","2.5","0","0","","0","1","1","0","0","0","","iowa-state","2023"
"12","Jack Sadowsky","LB","13","15","18","33","3","0.0","0","0","","0","0","0","0","0","0","","iowa-state","2023"
"13","Carson Willich","LB","13","13","12","25","2","0.0","0","0","","0","0","0","0","0","1","","iowa-state","2023"
"14","J.R. Singleton","DL","13","7","15","22","4","3.5","0","0","","0","0","0","0","0","0","","iowa-state","2023"
"15","Trent Jones","DE","13","6","13","19","3","3.0","0","0","","0","0","0","0","0","1","","iowa-state","2023"
"16","Drew Surges","DB","12","13","3","16","1","0.0","0","0","","0","1","1","6","0","1","","iowa-state","2023"
"17","Domonique Orange","DL","13","7","9","16","2","0.0","0","0","","0","0","0","0","0","0","","iowa-state","2023"
"18","Ikenna Ezeogu","DE","13","6","10","16","1","1.0","0","0","","0","3","0","0","0","0","","iowa-state","2023"
"19","Jamison Patton","DB","11","12","4","16","1","0.0","1","30","30.0","0","0","0","0","0","0","","iowa-state","2023"
"20","Jacob Ellis","LB","5","4","11","15","0","0.0","0","0","","0","0","0","0","0","0","","iowa-state","2023"
"21","Myles Mendeszoon","DE","13","9","5","14","1","0.0","0","0","","0","0","0","0","0","0","","iowa-state","2023"
"22","Blake Thompson","DB","6","6","5","11","0","0.0","0","0","","0","2","0","0","0","0","","iowa-state","2023"
"23","Zach Lovett","LB","13","6","5","11","4","3.0","0","0","","0","0","0","0","0","0","","iowa-state","2023"
"24","Darien Porter","DB","12","7","3","10","0","0.0","0","0","","0","3","0","0","0","0","","iowa-state","2023"
"25","Trevon Howard","DB","5","4","5","9","0","0.0","0","0","","0","1","0","0","0","0","","iowa-state","2023"
"26","John Klosterman","LB","13","3","6","9","0","0.0","0","0","","0","0","0","0","0","0","","iowa-state","2023"
"27","Jontez Williams","DB","13","2","4","6","0","0.0","0","0","","0","3","0","0","0","0","","iowa-state","2023"
"28","Ta'Shawn James","DB","4","5","0","5","0","0.0","0","0","","0","0","0","0","0","0","","iowa-state","2023"
"29","Terrell Crosby","DB","11","4","1","5","1","0.0","0","0","","0","1","0","0","0","0","","iowa-state","2023"
"30","Treyveon McGee","DB","4","4","1","5","0","0.0","0","0","","0","0","0","0","0","0","","iowa-state","2023"
"31","Carston Marshall","LB","6","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","iowa-state","2023"
"32","Kooper Ebel","LB","8","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","iowa-state","2023"
"33","Drake Knobloch","LS","13","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","iowa-state","2023"
"34","Levi Hummel","RB","11","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","iowa-state","2023"
"35","Samuel Same","DE","3","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","iowa-state","2023"
"36","Benjamin Brahmer","TE","13","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","iowa-state","2023"
"37","Zaimir Hawk","DL","5","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","iowa-state","2023"
"38","Keegan Shackford","K","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","iowa-state","2023"
"39","J.J. Jean-Louis","LB","3","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","iowa-state","2023"
"40","Tobechi Okoli","DE","3","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","iowa-state","2023"
"41","Jayden Higgins","WR","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","iowa-state","2023"
"42","Jarrod Hufford","OL","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","iowa-state","2023"
