"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Jack Campbell","LB","13","60","68","128","6","1.0","2","30","15.0","0","1","1","0","0","1","AA","iowa","2022"
"2","Seth Benson","LB","13","41","54","95","5","1.0","1","0","0.0","0","0","1","0","0","0","","iowa","2022"
"3","Cooper DeJean","DB","13","56","19","75","3","0.0","5","91","18.2","3","8","0","0","0","0","","iowa","2022"
"4","Quinn Schulte","DB","13","43","28","71","1","0.0","1","0","0.0","0","6","0","0","0","0","","iowa","2022"
"5","Logan Lee","DL","13","21","33","54","8","3.0","0","0","","0","3","1","0","0","0","","iowa","2022"
"6","Riley Moss","DB","13","31","16","47","1","0.0","1","0","0.0","0","11","0","0","0","2","","iowa","2022"
"7","Kaevon Merriweather","DB","12","34","13","47","2","0.0","3","33","11.0","0","3","1","30","1","1","","iowa","2022"
"8","Noah Shannon","DL","13","24","20","44","9","2.0","0","0","","0","1","0","0","0","0","","iowa","2022"
"9","Joe Evans","DE","13","15","26","41","9","6.5","0","0","","0","0","1","11","1","2","","iowa","2022"
"10","Jay Higgins","LB","12","20","19","39","2","0.5","0","0","","0","0","0","0","0","0","","iowa","2022"
"11","Lukas Van Ness","DL","13","17","21","38","11","6.5","0","0","","0","0","0","0","0","0","","iowa","2022"
"12","John Waggoner","DL","13","16","18","34","7","1.5","0","0","","0","0","0","0","0","1","","iowa","2022"
"13","Sebastian Castro","DB","13","22","11","33","3","1.0","0","0","","0","5","0","0","0","2","","iowa","2022"
"14","Deontae Craig","DL","13","12","19","31","10","6.5","0","0","","0","1","1","0","0","3","","iowa","2022"
"15","Ethan Hurkett","DL","13","10","5","15","2","1.0","0","0","","0","0","0","0","0","0","","iowa","2022"
"16","Aaron Graves","DL","12","5","10","15","6","3.0","0","0","","0","0","0","0","0","0","","iowa","2022"
"17","Terry Roberts","DB","5","9","4","13","0","0.0","1","0","0.0","0","2","0","0","0","0","","iowa","2022"
"18","Xavier Nwankpa","DB","12","11","1","12","0","0.0","1","52","52.0","1","1","0","0","0","0","","iowa","2022"
"19","Yahya Black","DL","8","3","8","11","2","1.0","0","0","","0","2","0","0","0","0","","iowa","2022"
"20","Jamison Heinz","DB","13","8","1","9","0","0.0","0","0","","0","1","0","0","0","0","","iowa","2022"
"21","Logan Klemp","LB","13","1","6","7","0","0.0","0","0","","0","0","2","0","0","0","","iowa","2022"
"22","Jestin Jacobs","LB","2","2","4","6","1","0.0","0","0","","0","1","0","0","0","0","","iowa","2022"
"23","Kyler Fisher","LB","13","2","3","5","0","0.0","0","0","","0","0","0","0","0","0","","iowa","2022"
"24","TJ Hall","DB","13","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","iowa","2022"
"25","Louie Stec","DT","13","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","iowa","2022"
"26","Reggie Bracy","DB","10","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","iowa","2022"
"27","Jeremiah Pittman","DL","3","3","1","4","1","0.0","0","0","","0","0","0","0","0","0","","iowa","2022"
"28","Chris Reames","DL","9","1","2","3","1","0.0","0","0","","0","0","0","0","0","0","","iowa","2022"
"29","Max Llewellyn","DL","3","1","2","3","1","0.0","0","0","","0","0","0","0","0","0","","iowa","2022"
"30","Sam Laporta","TE","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","iowa","2022"
"31","Addison Ostrenga","TE","13","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","iowa","2022"
"32","Monte Pottebaum","FB","12","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","iowa","2022"
"33","Luke Lachey","TE","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","iowa","2022"
"34","Luke Elkin","LS","13","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","iowa","2022"
"35","Deavin Hilson","DB","8","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","iowa","2022"
"36","Dallas Craddieth","DB","4","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","iowa","2022"
"37","Nico Ragaini","WR","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","iowa","2022"
"38","Leshon Williams","RB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","iowa","2022"
"39","Koen Entringer","DB","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","iowa","2022"
"40","Karson Sharar","LB","7","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","iowa","2022"
"41","Jaxon Rexroth","DB","10","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","iowa","2022"
"42","Arland Bruce IV","WR","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","iowa","2022"
