"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Kenny Logan Jr.","S","12","79","34","113","4","0.0","1","22","22.0","0","6","1","0","0","2","","kansas","2021"
"2","Rich Miller","LB","12","57","22","79","5","2.0","0","0","","0","2","1","0","0","1","","kansas","2021"
"3","Gavin Potter","LB","12","46","32","78","5","1.0","1","28","28.0","1","1","1","0","0","0","","kansas","2021"
"4","Kyron Johnson","DE","12","41","20","61","8","5.5","0","0","","0","1","2","0","0","4","","kansas","2021"
"5","Ricky Thomas","S","12","37","11","48","2","0.0","1","0","0.0","0","0","0","0","0","1","","kansas","2021"
"6","Jeremy Webb","CB","11","25","7","32","0","0.0","0","0","","0","3","0","0","0","0","","kansas","2021"
"7","Taiwan Berryhill","LB","12","14","17","31","0","0.0","0","0","","0","0","0","0","0","0","","kansas","2021"
"8","Nate Betts","LB","12","12","16","28","2","1.0","0","0","","0","1","0","0","0","0","","kansas","2021"
"9","O.J. Burroughs","S","12","22","4","26","0","0.0","1","0","0.0","0","2","0","0","0","1","","kansas","2021"
"10","Caleb Sampson","DL","12","15","9","24","4","1.0","0","0","","0","1","0","0","0","0","","kansas","2021"
"11","Ra'Mello Dotson","CB","12","21","3","24","0","0.0","1","65","65.0","0","1","1","0","0","1","","kansas","2021"
"12","Malcolm Lee","DL","12","14","9","23","3","1.5","0","0","","0","1","0","0","0","1","","kansas","2021"
"13","Cobee Bryant","CB","10","19","2","21","1","0.0","2","31","15.5","1","1","0","0","0","0","","kansas","2021"
"14","Jayson Gilliom","S","12","14","4","18","0","0.0","0","0","","0","1","0","0","0","0","","kansas","2021"
"15","Nick Channel","LB","11","9","7","16","1","0.0","0","0","","0","0","1","0","0","0","","kansas","2021"
"16","Caleb Taylor","DL","12","8","6","14","0","0.0","0","0","","0","0","0","0","0","0","","kansas","2021"
"17","Jereme Robinson","DL","9","8","6","14","4","1.0","0","0","","0","0","0","0","0","1","","kansas","2021"
"18","Kenean Caldwell","DL","11","7","6","13","0","0.0","0","0","","0","0","0","0","0","0","","kansas","2021"
"19","Eddie Wilson","DL","11","6","6","12","0","0.0","0","0","","0","0","0","0","0","0","","kansas","2021"
"20","Steven Parker","DE","12","5","6","11","1","0.0","0","0","","0","0","0","0","0","0","","kansas","2021"
"21","Ronald McGee","DL","11","7","4","11","1","0.5","0","0","","0","0","0","0","0","0","","kansas","2021"
"22","Duece Mayberry","CB","12","6","5","11","0","0.0","0","0","","0","0","0","0","0","0","","kansas","2021"
"23","Edwin White-Schultz","S","12","5","4","9","0","0.0","0","0","","0","0","1","0","0","0","","kansas","2021"
"24","Cam'Ron Dabney","CB","11","9","0","9","0","0.0","0","0","","0","2","0","0","0","0","","kansas","2021"
"25","Zion Debose","DE","10","5","2","7","3","1.5","0","0","","0","0","0","0","0","0","","kansas","2021"
"26","Hayden Hatcher","DE","3","4","2","6","0","0.0","0","0","","0","0","1","0","0","0","","kansas","2021"
"27","Mason Fairchild","TE","11","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","kansas","2021"
"28","Gayflor Flomo","RB","4","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","kansas","2021"
"29","Quentin Skinner","WR","11","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","kansas","2021"
"30","Luke Hosford","LS","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","kansas","2021"
"31","Sam Burt","DL","4","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","kansas","2021"
"32","Kwinton Lassiter","CB","2","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","kansas","2021"
"33","Trevor Wilson","WR","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","kansas","2021"
"34","Tristan Golightly","WR","10","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","kansas","2021"
"35","Johnquai Lewis","S","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","kansas","2021"
"36","Mac Copeland","TE","9","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","kansas","2021"
"37","Cornell Wheeler","LB","8","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","kansas","2021"
"38","Lawrence Arnold","WR","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","kansas","2021"
"39","Jelani Arnold","DL","5","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","kansas","2021"
"40","Torry Locklin","WR","9","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","kansas","2021"
"41","Jay Dineen","LB","3","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","kansas","2021"
