"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","D'Eryk Jackson","LB","13","52","37","89","8","2.0","2","29","14.5","1","4","0","0","0","1","","kentucky","2023"
"2","Trevin Wallace","LB","12","45","35","80","9","5.5","1","21","21.0","0","0","0","0","0","1","","kentucky","2023"
"3","Maxwell Hairston","DB","13","55","13","68","2","0.0","5","131","26.2","2","6","0","0","0","1","","kentucky","2023"
"4","Zion Childress","DB","13","40","19","59","2","1.0","0","0","","0","3","1","0","0","0","","kentucky","2023"
"5","Deone Walker","DL","13","28","27","55","13","7.5","0","0","","0","2","0","0","0","0","","kentucky","2023"
"6","Alex Afari Jr.","DB","13","32","17","49","6","1.0","0","0","","0","1","1","0","0","1","","kentucky","2023"
"7","Andru Phillips","DB","12","33","14","47","2","0.0","0","0","","0","5","0","0","0","0","","kentucky","2023"
"8","J.J. Weaver","LB","13","35","10","45","9","7.0","0","0","","0","2","2","4","0","1","","kentucky","2023"
"9","Ty Bryant","DB","13","20","20","40","0","0.0","0","0","","0","1","0","0","0","0","","kentucky","2023"
"10","Keaten Wade","LB","12","16","19","35","3","1.0","0","0","","0","0","0","0","0","0","","kentucky","2023"
"11","Daveren Rayner","LB","13","18","12","30","3","0.0","0","0","","0","2","0","0","0","0","","kentucky","2023"
"12","Jordan Lovett","DB","11","20","10","30","1","0.0","3","0","0.0","0","0","1","0","0","0","","kentucky","2023"
"13","JQ Hardaway","DB","13","20","8","28","1","0.0","0","0","","0","4","0","0","0","0","","kentucky","2023"
"14","Tre'Vonn Rybka","DL","11","13","14","27","5","1.0","0","0","","0","0","0","0","0","0","","kentucky","2023"
"15","Josaih Hayes","DL","13","7","17","24","5","1.5","0","0","","0","1","0","0","0","0","","kentucky","2023"
"16","Octavious Oxendine","DL","13","14","7","21","6","3.5","0","0","","0","0","0","0","0","1","","kentucky","2023"
"17","Kahlil Saunders","DL","13","10","8","18","4","1.5","0","0","","0","0","0","0","0","0","","kentucky","2023"
"18","Keeshawn Silver","DL","12","8","9","17","2","0.0","0","0","","0","0","0","0","0","0","","kentucky","2023"
"19","Martez Thrower","LB","10","9","5","14","1","0.0","0","0","","0","0","0","0","0","0","","kentucky","2023"
"20","Jordan Robinson","DB","11","8","5","13","1","0.0","0","0","","0","2","0","0","0","0","","kentucky","2023"
"21","Darrion Henry-Young","DL","8","6","4","10","2","1.5","0","0","","0","0","0","0","0","1","","kentucky","2023"
"22","Jantzen Dunn","DB","13","8","1","9","2","1.0","0","0","","0","0","0","0","0","0","","kentucky","2023"
"23","Jamarius Dinkins","DL","11","3","6","9","1","0.0","0","0","","0","0","0","0","0","0","","kentucky","2023"
"24","Jalen Geiger","DB","11","4","5","9","0","0.0","0","0","","0","0","1","69","1","0","","kentucky","2023"
"25","Jayvent Brown","LB","11","3","4","7","0","0.0","0","0","","0","0","0","0","0","0","","kentucky","2023"
"26","Nassir Addison","DB","8","4","2","6","0","0.0","0","0","","0","0","1","0","0","0","","kentucky","2023"
"27","Tyreese Fearbry","LB","13","4","2","6","1","0.0","0","0","","0","1","0","0","0","0","","kentucky","2023"
"28","Noah Matthews","LB","10","2","4","6","0","0.0","0","0","","0","0","0","0","0","0","","kentucky","2023"
"29","Luke Fulton","LB","2","1","1","2","0","0.0","0","0","","0","1","0","0","0","0","","kentucky","2023"
"30","Khamari Anderson","TE","11","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","kentucky","2023"
"31","Tommy Ziesmer","DL","2","1","1","2","1","1.0","0","0","","0","0","0","0","0","0","","kentucky","2023"
"32","Demie Sumo","RB","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","kentucky","2023"
"33","Jutahn McClain","RB","11","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","kentucky","2023"
"34","Jager Burton","OL","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","kentucky","2023"
"35","Kenneth Horsey","OL","6","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","kentucky","2023"
"36","Elijah Reed","DB","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","kentucky","2023"
"37","Ramon Jefferson","RB","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","kentucky","2023"
"38","Re'Mahn Davis","RB","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","kentucky","2023"
"39","Tanner Bowles","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","kentucky","2023"
"40","Tavion Gadson","DL","4","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","kentucky","2023"
"41","Kendrick Gilbert","DL","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","kentucky","2023"
"42","Dane Key","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","kentucky","2023"
"43","Alex Raynor","K","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","kentucky","2023"
