"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Storey Jackson","LB","13","57","45","102","13","7.0","1","8","8.0","0","3","0","0","0","0","","liberty","2021"
"2","Rashaad Harding","LB","13","33","47","80","7","3.0","0","0","","0","1","0","0","0","0","","liberty","2021"
"3","Javon Scruggs","S","12","39","22","61","1","0.0","1","0","0.0","0","6","0","0","0","1","","liberty","2021"
"4","Skyler Thomas","S","13","26","28","54","4","0.0","2","27","13.5","1","3","0","0","0","1","","liberty","2021"
"5","Elijah James","DT","13","16","29","45","5","2.0","0","0","","0","3","0","0","0","0","","liberty","2021"
"6","TreShaun Clark","DE","13","24","20","44","10","3.5","0","0","","0","1","0","0","0","0","","liberty","2021"
"7","Cedric Stone","S","13","37","7","44","1","0.0","0","0","","0","3","0","0","0","1","","liberty","2021"
"8","Ahmad Walker","LB","11","20","17","37","6","3.0","0","0","","0","0","0","0","0","0","","liberty","2021"
"9","Ralfs Rusins","DT","12","15","20","35","5","3.0","0","0","","0","0","0","0","0","0","","liberty","2021"
"10","Tyren Dupree","LB","13","20","11","31","4","0.0","0","0","","0","0","0","0","0","1","","liberty","2021"
"11","Duron Lowe","CB","13","21","10","31","0","0.0","2","9","4.5","0","6","0","0","0","0","","liberty","2021"
"12","Aakil Washington","DE","13","13","14","27","6","4.5","0","0","","0","0","0","0","0","1","","liberty","2021"
"13","Stephens Sings V","DE","12","13","12","25","3","1.0","0","0","","0","0","1","0","0","0","","liberty","2021"
"14","Durrell Johnson","DE","9","16","9","25","6","0.0","0","0","","0","1","0","0","0","0","","liberty","2021"
"15","Benjamin Alexander","S","13","13","10","23","0","0.0","0","0","","0","0","0","0","0","0","","liberty","2021"
"16","Robert Rahimi","S","13","14","8","22","2","0.5","1","0","0.0","0","2","0","0","0","1","","liberty","2021"
"17","Chris Megginson","CB","13","11","10","21","1","0.0","0","0","","0","6","0","0","0","0","","liberty","2021"
"18","Kendy Charles","DT","11","11","10","21","7","5.0","0","0","","0","0","0","0","0","0","","liberty","2021"
"19","Henry Chibueze","DT","10","6","12","18","3","2.0","0","0","","0","0","0","0","0","1","","liberty","2021"
"20","Chris Boti","DL","9","5","12","17","1","1.0","0","0","","0","0","0","0","0","0","","liberty","2021"
"21","Daijahn Anthony","CB","12","9","5","14","1","0.0","1","2","2.0","0","2","0","0","0","0","","liberty","2021"
