"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Michael Batton","LB","12","30","50","80","3","0.5","0","0","","0","0","0","0","0","0","","louisiana-monroe","2023"
"2","Max Harris","LB","12","31","48","79","1","0.0","1","-2","-2.0","0","2","0","0","0","1","","louisiana-monroe","2023"
"3","Ja'Terious Evans","LB","12","26","39","65","6","0.0","3","79","26.3","1","1","0","0","0","0","","louisiana-monroe","2023"
"4","Adin Huntington","DL","12","27","36","63","16","8.5","0","0","","0","2","0","0","0","3","","louisiana-monroe","2023"
"5","Kenard Snyder","DE","12","24","36","60","15","5.5","0","0","","0","2","1","0","0","3","","louisiana-monroe","2023"
"6","Carl Glass","LB","12","25","34","59","7","1.5","0","0","","0","0","0","0","0","2","","louisiana-monroe","2023"
"7","Car'lin Vigers","CB","11","25","29","54","0","0.0","0","0","","0","3","1","0","0","1","","louisiana-monroe","2023"
"8","Jaylan Ware","DL","12","13","41","54","6","0.0","0","0","","0","0","1","0","0","0","","louisiana-monroe","2023"
"9","A.J. Watts","S","12","37","16","53","1","0.0","2","33","16.5","0","6","1","0","0","0","","louisiana-monroe","2023"
"10","Travor Randle","LB","12","17","23","40","2","0.0","0","0","","0","0","0","0","0","0","","louisiana-monroe","2023"
"11","Simion Hines","S","10","22","15","37","0","0.0","0","0","","0","1","0","0","0","0","","louisiana-monroe","2023"
"12","David Godsey Jr.","CB","12","20","16","36","2","0.0","3","0","0.0","0","2","0","0","0","0","","louisiana-monroe","2023"
"13","Dylan Howell","DL","12","9","26","35","4","3.0","0","0","","0","2","1","0","1","0","","louisiana-monroe","2023"
"14","Norman Massey","LB","12","17","17","34","2","1.0","0","0","","0","0","1","0","0","1","","louisiana-monroe","2023"
"15","LU Tillery","CB","12","17","12","29","0","0.0","1","14","14.0","0","3","1","0","0","0","","louisiana-monroe","2023"
"16","Austin Goffney","LB","10","7","20","27","0","0.0","1","30","30.0","0","1","0","0","0","0","","louisiana-monroe","2023"
"17","Joseph Bakhole","DE","9","10","16","26","1","0.0","0","0","","0","0","0","0","0","0","","louisiana-monroe","2023"
"18","Tristan Driggers","LB","12","8","12","20","3","1.5","0","0","","0","0","0","0","0","0","","louisiana-monroe","2023"
"19","Ra'shad Onezime","S","12","9","6","15","0","0.0","0","0","","0","1","0","0","0","1","","louisiana-monroe","2023"
"20","Jyren Ester","CB","8","11","3","14","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-monroe","2023"
"21","James Smith","DE","12","5","7","12","4","2.5","0","0","","0","0","0","0","0","0","","louisiana-monroe","2023"
"22","Earl Barquet","DL","11","1","11","12","2","0.0","0","0","","0","0","1","9","0","0","","louisiana-monroe","2023"
"23","Andrew Volmar","DB","12","4","5","9","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-monroe","2023"
"24","Markeegan Gray","LB","7","3","4","7","0","0.0","0","0","","0","1","0","0","0","0","","louisiana-monroe","2023"
"25","Antwone Watts","CB","7","5","2","7","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-monroe","2023"
"26","Azain Brown","LB","3","0","4","4","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-monroe","2023"
"27","Nick Torres","LB","11","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-monroe","2023"
"28","Trey Corley","LS","12","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-monroe","2023"
"29","Trevell Johnson","LB","9","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-monroe","2023"
"30","Braxton Guilbeau","P","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-monroe","2023"
"31","Qway McCoy","LB","5","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-monroe","2023"
"32","Nolan Quinlan","TE","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-monroe","2023"
"33","Tyrone Howell","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-monroe","2023"
"34","Andre Mack","S","3","0","1","1","0","0.0","0","0","","0","1","0","0","0","0","","louisiana-monroe","2023"
"35","Jalen Vinson","DB","11","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-monroe","2023"
"36","Brett Drillette","LB","3","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-monroe","2023"
"37","Bugs Mortimer","WR","9","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-monroe","2023"
"38","Charles Norman","RB","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-monroe","2023"
"39","Dariyan Wiley","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-monroe","2023"
"40","Hunter Smith","RB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-monroe","2023"
"41","Isaiah Pedack","DL","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-monroe","2023"
