"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Micah Baskerville","LB","14","41","48","89","5","1.0","1","29","29.0","1","8","0","0","0","0","","louisiana-state","2022"
"2","Greg Penn III","LB","14","42","36","78","6","0.0","0","0","","0","3","1","0","0","0","","louisiana-state","2022"
"3","Harold Perkins","LB","14","39","33","72","13","7.5","1","-3","-3.0","0","2","0","0","0","4","","louisiana-state","2022"
"4","Greg Brooks Jr.","S","14","34","32","66","3","1.0","2","30","15.0","0","3","0","0","0","1","","louisiana-state","2022"
"5","Jay Ward","DB","13","43","16","59","3","0.0","1","18","18.0","0","4","1","23","1","0","","louisiana-state","2022"
"6","BJ Ojulari","DE","11","35","23","58","9","5.5","0","0","","0","0","1","0","0","1","","louisiana-state","2022"
"7","Jaquelin Roy","DL","13","25","24","49","4","0.5","0","0","","0","0","1","0","0","0","","louisiana-state","2022"
"8","Mekhi Wingo","DL","14","25","21","46","6","3.0","0","0","","0","4","2","0","0","1","","louisiana-state","2022"
"9","Jarrick Bernard-Converse","CB","13","29","15","44","1","0.0","2","23","11.5","0","3","1","0","0","0","","louisiana-state","2022"
"10","Mekhi Garner","DB","13","25","17","42","2","0.0","0","0","","0","8","0","0","0","0","","louisiana-state","2022"
"11","Joseph Foucha","DB","10","25","15","40","1","0.0","1","0","0.0","0","4","0","0","0","1","","louisiana-state","2022"
"12","Major Burns","DB","9","22","16","38","4","0.0","0","0","","0","3","0","0","0","0","","louisiana-state","2022"
"13","Ali Gaye","DE","13","17","19","36","6","2.5","0","0","","0","2","0","0","0","2","","louisiana-state","2022"
"14","West Weeks","LB","14","15","13","28","3","1.5","0","0","","0","0","0","0","0","1","","louisiana-state","2022"
"15","Sage Ryan","DB","14","14","9","23","0","0.0","0","0","","0","1","2","0","0","2","","louisiana-state","2022"
"16","Saivion Jones","DE","14","11","12","23","6","4.5","0","0","","0","1","0","0","0","1","","louisiana-state","2022"
"17","Mike Jones Jr.","LB","14","9","12","21","1","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"18","Jacobian Guillory","DL","14","4","11","15","1","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"19","Colby Richardson","DB","12","6","6","12","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"20","DeMario Tolan","LB","12","3","6","9","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"21","Jaray Jenkins","WR","13","4","4","8","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"22","Desmond Little","LB","7","2","4","6","0","0.0","0","0","","0","1","1","5","0","0","","louisiana-state","2022"
"23","Quency Wiggins","DL","5","3","2","5","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"24","Sevyn Banks","DB","2","2","3","5","1","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"25","Zavier Carter","LB","11","4","1","5","1","1.0","0","0","","0","1","0","0","0","1","","louisiana-state","2022"
"26","Princeton Malbrue","DL","5","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"27","Kolbe Fields","LB","11","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"28","Derrick Davis Jr.","DB","5","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"29","Laterrance Welch","DB","13","4","0","4","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"30","Slade Roy","LS","14","3","1","4","0","0.0","0","0","","0","0","1","0","0","0","","louisiana-state","2022"
"31","Jaelyn Davis-Robinson","DB","3","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"32","Jordan Allen","S","4","2","0","2","1","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"33","Emery Jones","OL","13","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"34","Nick Demas","RB","9","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"35","Jack Bech","WR","12","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"36","Todd Harris Jr.","DB","3","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"37","Jay Bramblett","P","14","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"38","Lane Blue","LB","8","0","2","2","1","0.5","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"39","Tygee Hill","DL","3","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"40","Charles Turner","OL","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"41","John Emery Jr.","RB","11","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"42","Bryce Langston","DL","2","0","1","1","1","0.5","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"43","Fitzgerald West Jr.","DL","5","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"44","Hunter Faust","LB","3","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"45","Nathan Dibert","K","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"46","Jack Mashburn","TE","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"47","Jared Small","LB","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"48","Mason Taylor","TE","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"49","Josh Williams","RB","11","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"50","Jayden Daniels","QB","14","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-state","2022"
"51","Quad Wilson","DB","2","0","0","0","0","0.0","1","99","99.0","1","0","0","0","0","0","","louisiana-state","2022"
