"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Hugh Davis","LB","12","34","42","76","4","1.5","0","0","","0","3","1","0","0","0","","louisiana-tech","2022"
"2","Maki Carabin","LB","12","37","31","68","1","0.0","1","11","11.0","0","2","0","0","0","0","","louisiana-tech","2022"
"3","Bee Jay Williamson","DB","10","40","17","57","1","0.0","1","0","0.0","0","3","0","0","0","1","","louisiana-tech","2022"
"4","Cecil Singleton","DB","12","35","21","56","6","2.0","1","0","0.0","0","5","2","0","0","3","","louisiana-tech","2022"
"5","Jaiden Cole","DB","9","26","25","51","4","3.5","1","12","12.0","0","3","0","0","0","1","","louisiana-tech","2022"
"6","Tyler Grubbs","LB","5","24","24","48","5","0.5","0","0","","0","1","0","0","0","0","","louisiana-tech","2022"
"7","Khiry Morrison","DB","12","29","18","47","2","1.0","0","0","","0","1","0","0","0","1","","louisiana-tech","2022"
"8","Kershawn Fisher","DL","12","26","15","41","6","2.0","0","0","","0","0","1","0","0","0","","louisiana-tech","2022"
"9","Myles Mason","DB","7","22","15","37","2","0.0","0","0","","0","0","0","0","0","1","","louisiana-tech","2022"
"10","Deshon Hall","DL","11","16","13","29","4","0.0","0","0","","0","3","0","0","0","0","","louisiana-tech","2022"
"11","Myles Brooks","DB","12","22","7","29","3","0.0","3","94","31.3","1","8","0","0","0","1","","louisiana-tech","2022"
"12","Willie Roberts","DB","12","23","6","29","0","0.0","4","18","4.5","1","6","0","0","0","0","","louisiana-tech","2022"
"13","Keivie Rose","DL","12","18","6","24","4","2.0","0","0","","0","0","0","0","0","2","","louisiana-tech","2022"
"14","J'Dan Burnett","DL","12","12","7","19","4","1.0","0","0","","0","2","3","30","1","2","","louisiana-tech","2022"
"15","Rasheed Lyles","DL","11","10","8","18","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-tech","2022"
"16","Reginald Johnson","DB","11","12","4","16","0","0.0","0","0","","0","4","1","0","0","0","","louisiana-tech","2022"
"17","Marquallius Turner","DB","12","11","4","15","1","0.0","0","0","","0","0","0","0","0","0","","louisiana-tech","2022"
"18","Brodrick Calhoun","DB","11","10","5","15","3","0.0","0","0","","0","0","1","0","0","0","","louisiana-tech","2022"
"19","Mykol Clark","DL","11","7","7","14","1","0.0","0","0","","0","0","0","0","0","0","","louisiana-tech","2022"
"20","Joseph Mason","LB","8","4","8","12","1","0.5","0","0","","0","0","0","0","0","0","","louisiana-tech","2022"
"21","Keveion'ta Spears","DL","12","4","6","10","1","0.0","0","0","","0","0","0","0","0","0","","louisiana-tech","2022"
"22","Zion Nason","DL","6","7","2","9","3","2.0","0","0","","0","0","0","0","0","0","","louisiana-tech","2022"
"23","Kalen Villanueva","LB","10","5","4","9","1","0.0","0","0","","0","0","0","0","0","0","","louisiana-tech","2022"
"24","Christian Archangel","DB","6","5","2","7","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-tech","2022"
"25","Eric Randall III","DB","8","4","2","6","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-tech","2022"
"26","Jakobe Brock","LB","10","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-tech","2022"
"27","Jakelyn Morgan","DB","7","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-tech","2022"
"28","Allen Walker","LB","10","2","1","3","0","0.0","0","0","","0","0","0","0","0","1","","louisiana-tech","2022"
"29","Buck Buchanan","K","12","3","0","3","0","0.0","0","0","","0","0","0","0","0","1","","louisiana-tech","2022"
"30","Cedric Woods","DB","4","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-tech","2022"
"31","Charvis Thornton","RB","12","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-tech","2022"
"32","Marquis Crosby","RB","12","3","0","3","1","0.0","0","0","","0","0","0","0","0","1","","louisiana-tech","2022"
"33","Matthew McCallister","WR","7","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-tech","2022"
"34","Tahj Magee","WR","9","1","1","2","0","0.0","0","0","","0","0","0","0","0","1","","louisiana-tech","2022"
"35","Carson Bruno","OL","12","1","1","2","0","0.0","0","0","","0","0","1","0","0","0","","louisiana-tech","2022"
"36","Joriell Washington","DB","7","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-tech","2022"
"37","Ean Burch","LS","1","0","2","2","1","0.0","0","0","","0","0","0","0","0","0","","louisiana-tech","2022"
"38","Jhamal Shelby Jr.","DB","1","0","2","2","0","0.0","0","0","","0","1","0","0","0","0","","louisiana-tech","2022"
"39","Christian Ard","DB","7","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-tech","2022"
"40","Kyle Maxwell","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-tech","2022"
"41","Greg Garner","RB","7","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-tech","2022"
"42","Griffin Hebert","TE","9","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-tech","2022"
"43","Tre Harris","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-tech","2022"
"44","Calvin Rhines","DL","3","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-tech","2022"
"45","Jack Turner","QB","3","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","louisiana-tech","2022"
"46","Noah White","LS","12","0","0","0","0","0.0","0","0","","0","0","1","0","0","0","","louisiana-tech","2022"
