"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Eli Neal","LB","13","49","49","98","10","3.0","1","18","18.0","0","3","0","0","0","0","","marshall","2022"
"2","Charlie Gray","LB","13","34","37","71","9","2.5","2","4","2.0","0","2","0","0","0","1","","marshall","2022"
"3","Abraham Beauplan","LB","12","21","45","66","7","1.0","1","7","7.0","0","3","0","0","0","1","","marshall","2022"
"4","Owen Porter","DL","13","22","38","60","15","9.5","1","4","4.0","0","2","1","0","1","2","","marshall","2022"
"5","Andre Sam","S","12","32","21","53","6","0.0","1","0","0.0","0","7","1","20","0","0","","marshall","2022"
"6","Koby Cumberlander","DL","13","18","24","42","11","6.5","0","0","","0","0","2","0","0","1","","marshall","2022"
"7","Kerion Martin","S","12","17","25","42","3","0.0","0","0","","0","2","0","0","0","1","","marshall","2022"
"8","Steven Gilmore","DB","13","25","16","41","1","0.0","3","67","22.3","1","10","0","0","0","0","","marshall","2022"
"9","Anthony Watts","DL","13","7","29","36","5","1.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"10","Micah Abraham","DB","13","22","14","36","2","0.5","6","35","5.8","0","10","1","0","0","0","","marshall","2022"
"11","Sam Burton","DL","12","11","24","35","7","5.0","0","0","","0","0","0","0","0","1","","marshall","2022"
"12","E.J. Jackson","S","12","17","16","33","0","0.0","0","0","","0","2","0","0","0","0","","marshall","2022"
"13","Jadarius Green-McKnight","LB","12","11","14","25","1","0.0","0","0","","0","1","1","0","0","0","","marshall","2022"
"14","TyQaze Leggs","DL","7","7","17","24","4","3.0","0","0","","0","0","1","0","0","0","","marshall","2022"
"15","Isaiah Norman","S","9","11","12","23","0","0.0","0","0","","0","0","1","18","0","0","","marshall","2022"
"16","Elijah Alston","DL","12","4","18","22","2","0.0","0","0","","0","2","1","0","0","0","","marshall","2022"
"17","Damion Barber Jr.","DL","13","6","15","21","2","2.0","1","34","34.0","1","2","1","0","0","0","","marshall","2022"
"18","Jace Bobo","LB","9","6","13","19","2","0.5","0","0","","0","0","0","0","0","0","","marshall","2022"
"19","Daytione Smith","DB","8","10","8","18","1","0.0","0","0","","0","3","0","0","0","0","","marshall","2022"
"20","Immanuel Bush","DL","12","3","14","17","3","1.5","0","0","","0","1","0","0","0","0","","marshall","2022"
"21","Emmanuel Balogun","DL","8","2","9","11","1","0.5","0","0","","0","1","0","0","0","0","","marshall","2022"
"22","Isaiah Gibson","DL","13","1","10","11","0","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"23","Daniel Foster","DL","9","1","6","7","1","0.0","0","0","","0","1","0","0","0","0","","marshall","2022"
"24","Tyriek Bell","LB","8","2","3","5","0","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"25","Esaias Carpenter","DL","8","0","5","5","1","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"26","AG McGhee","S","5","2","3","5","0","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"27","Jayshaun Coffman","DL","4","0","4","4","1","0.5","0","0","","0","1","0","0","0","0","","marshall","2022"
"28","Jordan Calomese","DL","2","1","3","4","1","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"29","Andrew Morris","LB","4","0","3","3","0","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"30","Dainsus Miller","CB","7","1","2","3","0","0.0","0","0","","0","0","1","0","0","0","","marshall","2022"
"31","Joshua Bowers","DB","8","2","1","3","0","0.0","1","-8","-8.0","0","0","0","0","0","0","","marshall","2022"
"32","Charles Montgomery","WR","13","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"33","Caleb Horton","DB","1","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"34","Elijah Russell","DL","1","1","1","2","1","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"35","Stacey Marshall","TE","11","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"36","Corey Gammage","WR","13","2","0","2","0","0.0","1","0","0.0","0","0","0","0","0","0","","marshall","2022"
"37","Gabriel Grubbs","S","2","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"38","Stone Scarcelle","WR","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"39","Beau Blankenship","TE","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"40","Toby Payne","TE","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"41","Trent Holler","OL","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"42","Cam Fancher","QB","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"43","Leon Hart","LB","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"44","Matthew Bosset","LS","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"45","Logan Osburn","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"46","CJ Miller","DL","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"47","Khalan Laborn","RB","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"48","Joshua McTier","DB","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"49","Jaydyn Johnson","LB","10","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
"50","Jacobie Henderson","S","4","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","marshall","2022"
