"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Beau Brade","DB","13","55","30","85","4","0.0","2","13","6.5","0","5","0","0","0","2","","maryland","2022"
"2","Dante Trader","DB","13","34","28","62","1","0.0","2","46","23.0","0","4","0","0","0","0","","maryland","2022"
"3","Jaishawn Barham","LB","12","35","23","58","7","4.0","0","0","","0","1","1","0","0","1","","maryland","2022"
"4","Tarheeb Still","DB","13","35","11","46","4","0.0","1","0","0.0","0","1","0","0","0","0","","maryland","2022"
"5","Ahmad Mccullough","LB","12","29","16","45","3","1.0","0","0","","0","0","2","0","0","0","","maryland","2022"
"6","Jakorian Bennett","DB","12","26","13","39","2","0.0","2","0","0.0","0","11","0","0","0","0","","maryland","2022"
"7","Deonte Banks","DB","12","25","13","38","1","0.5","1","0","0.0","0","8","0","0","0","0","","maryland","2022"
"8","Fa'Najae Gotay","LB","11","25","12","37","1","0.5","1","0","0.0","0","1","0","0","0","1","","maryland","2022"
"9","Ami Finau","DL","13","19","12","31","5","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"10","Greg Rose","DL","12","17","11","28","5","4.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"11","Gereme Spraggins","LB","12","20","7","27","2","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"12","Anthony Booker Jr.","DL","13","17","10","27","5","2.0","0","0","","0","1","0","0","0","2","","maryland","2022"
"13","Mosiah Nasili-Kite","DL","12","18","8","26","3","1.0","0","0","","0","0","1","0","0","0","","maryland","2022"
"14","Ruban Hyppolite II","LB","9","9","15","24","0","0.0","0","0","","0","1","0","0","0","0","","maryland","2022"
"15","Henry Chibueze","DT","12","10","14","24","2","2.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"16","Durell Nchami","LB","13","13","7","20","6","3.0","0","0","","0","0","0","0","0","1","","maryland","2022"
"17","Caleb Wheatland","LB","11","14","3","17","2","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"18","Gavin Gibson","DB","11","13","4","17","2","1.0","0","0","","0","3","0","0","0","0","","maryland","2022"
"19","Kellan Wyatt","LB","11","7","9","16","1","1.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"20","Glendon Miller","DB","8","13","3","16","1","0.0","0","0","","0","1","1","0","0","0","","maryland","2022"
"21","Corey Coley Jr.","DB","11","12","2","14","0","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"22","Tommy Akingbesote","DL","12","9","5","14","2","2.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"23","Isaiah Hazel","DB","12","13","1","14","2","0.0","0","0","","0","1","0","0","0","0","","maryland","2022"
"24","Vandarius Cowan","LB","11","8","5","13","2","0.0","0","0","","0","0","0","0","0","1","","maryland","2022"
"25","Sean Greely","LB","12","10","2","12","0","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"26","Austin Fontaine","DL","13","2","8","10","0","0.0","0","0","","0","1","1","0","0","0","","maryland","2022"
"27","Lionell Whitaker","DB","10","7","2","9","1","0.0","0","0","","0","1","0","0","0","0","","maryland","2022"
"28","Quashon Fuller","DL","12","5","2","7","2","1.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"29","Tyler Baylor","DL","8","5","2","7","0","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"30","Isaac Bunyun","DL","10","6","1","7","0","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"31","Shane Mosley","DB","13","5","1","6","0","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"32","Rex Fleming","DB","13","4","1","5","0","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"33","Octavian Smith Jr.","WR","13","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"34","Taizse Johnson","DL","9","2","2","4","1","1.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"35","Ethan Gough","LS","13","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"36","Chantz Harley","DB","5","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"37","Riyad Wilmot","DL","8","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"38","Christian Teague","DE","10","2","1","3","1","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"39","Tai Felton","WR","13","3","0","3","0","0.0","0","0","","0","0","1","0","0","0","","maryland","2022"
"40","Leon Haughton Jr.","WR","8","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"41","Rakim Jarrett","WR","11","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"42","CJ Dippre","TE","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"43","Alex Simet","LB","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"44","Kobi Thomas","LB","9","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"45","Colton Spangler","P","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"46","Corey Dyches","TE","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"47","Roman Hemby","RB","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"48","David Brownlee","LB","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
"49","Jacob Copeland","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","maryland","2022"
