"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Jalen Mackie","LB","12","38","62","100","15","3.5","1","-5","-5.0","0","1","0","0","0","0","","massachusetts","2022"
"2","Tyler Rudolph","DB","12","36","25","61","1","0.0","2","0","0.0","0","5","0","0","0","1","","massachusetts","2022"
"3","Gerrell Johnson","LB","12","29","25","54","2","0.0","0","0","","0","1","0","0","0","1","","massachusetts","2022"
"4","Marcus Cushnie","DL","12","23","24","47","13","5.5","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"5","Jordan Mahoney","DB","12","28","14","42","3","0.0","3","100","33.3","1","6","3","22","1","3","","massachusetts","2022"
"6","Josh Wallace","DB","12","32","9","41","3","0.0","2","0","0.0","0","8","1","0","0","0","","massachusetts","2022"
"7","Jalon Ferrell","DB","12","22","15","37","1","0.0","0","0","","0","2","0","0","0","0","","massachusetts","2022"
"8","Billy Wooden","DL","9","16","20","36","6","0.0","0","0","","0","0","0","0","0","1","","massachusetts","2022"
"9","Tanner Davis","DB","12","16","14","30","3","0.0","0","0","","0","2","0","0","0","2","","massachusetts","2022"
"10","Hugo Klages","DL","12","11","18","29","3","1.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"11","Nahji Logan","LB","12","9","20","29","5","2.0","0","0","","0","1","1","0","0","0","","massachusetts","2022"
"12","Marcus Bradley","DL","11","10","16","26","4","2.5","0","0","","0","1","0","0","0","0","","massachusetts","2022"
"13","Cletus Mathurin","DL","10","5","17","22","3","0.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"14","Javon Batten","DB","9","15","7","22","2","0.0","0","0","","0","3","1","0","0","1","","massachusetts","2022"
"15","Zukodo Igwenagu","LB","12","5","11","16","1","0.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"16","Te'Rai Powell","DB","8","8","8","16","2","0.0","0","0","","0","0","0","0","0","1","","massachusetts","2022"
"17","Jalen Stewart","LB","11","7","9","16","2","1.5","0","0","","0","2","1","0","0","0","","massachusetts","2022"
"18","Dominic Schofield","LB","11","7","7","14","2","1.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"19","Michael Oppong","DB","11","6","8","14","2","0.0","0","0","","0","1","0","0","0","1","","massachusetts","2022"
"20","Uchenna Ezewike","DL","11","8","4","12","2","1.0","0","0","","0","1","0","0","0","0","","massachusetts","2022"
"21","Viczaril Alobwede","DL","10","5","5","10","0","0.0","0","0","","0","1","0","0","0","0","","massachusetts","2022"
"22","Noah Boykin","DB","10","7","1","8","0","0.0","1","0","0.0","0","1","0","0","0","0","","massachusetts","2022"
"23","Tristan Armstrong","DB","12","5","2","7","0","0.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"24","Da'Shon Ross","LB","6","2","5","7","0","0.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"25","Aaron Beckwith","DL","8","1","5","6","0","0.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"26","Juan Lua","DB","12","4","2","6","0","0.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"27","Louce Julien","DL","7","1","5","6","1","0.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"28","Myles Turner","LB","11","2","3","5","0","0.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"29","Sammy Faustin","DB","11","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"30","Jermaine McMillian","DB","4","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"31","George Johnson","WR","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"32","Ethan Dumont","LS","12","1","1","2","0","0.0","0","0","","0","0","1","0","0","0","","massachusetts","2022"
"33","CJ Kolodziey","K","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"34","Cam Sullivan-Brown","WR","10","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"35","Kay'ron Adams","RB","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"36","Jourdan Powell","DB","10","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"37","Isaac Ross","WR","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"38","Gino Campiotti","QB","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"39","Rico Arnold","WR","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"40","Ethan Mottinger","OL","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"41","Darius Gooden","DB","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"42","Cornelius Wright","DB","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"43","Brady Olson","QB","9","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
"44","Ben Bohnenberger","OL","7","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","massachusetts","2022"
