"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Chandler Martin","LB","13","66","29","95","17","3.0","2","60","30.0","1","2","1","23","0","2","","memphis","2023"
"2","Geoff Cantin-Arku","LB","13","41","38","79","5","1.0","1","17","17.0","0","2","1","0","0","2","","memphis","2023"
"3","Simeon Blair","DB","13","43","20","63","5","0.0","2","41","20.5","0","5","2","0","0","1","","memphis","2023"
"4","Cameron Smith","DB","12","46","11","57","0","0.0","3","15","5.0","0","6","0","0","0","0","","memphis","2023"
"5","Greg Rubin","DB","12","37","14","51","3","2.5","0","0","","0","3","0","0","0","0","","memphis","2023"
"6","DeAgo Brumfield","DB","13","33","9","42","3","0.0","0","0","","0","10","0","0","0","1","","memphis","2023"
"7","Jaylon Allen","DL","13","23","17","40","7","2.0","0","0","","0","2","1","0","0","1","","memphis","2023"
"8","Cincir Evans","LB","12","22","13","35","3","1.0","0","0","","0","1","0","0","0","0","","memphis","2023"
"9","Cormontae Hamilton","DL","13","21","14","35","3","2.0","0","0","","0","1","1","0","0","0","","memphis","2023"
"10","Josh Ellison","DL","13","20","10","30","4","1.0","0","0","","0","1","0","0","0","0","","memphis","2023"
"11","An'darius Coffey","DB","12","19","6","25","2","1.0","0","0","","0","3","1","0","0","0","","memphis","2023"
"12","Julian Barnett","DB","10","17","7","24","2","0.0","0","0","","0","2","0","0","0","0","","memphis","2023"
"13","DJ Bell","DB","10","17","3","20","2","0.0","1","36","36.0","1","3","0","0","0","0","","memphis","2023"
"14","Bryce Edmondson","LB","13","13","5","18","1","0.0","0","0","","0","0","0","0","0","2","","memphis","2023"
"15","Keveion'ta Spears","DL","13","10","7","17","4","2.0","0","0","","0","1","0","0","0","0","","memphis","2023"
"16","William Whitlow Jr.","DL","13","8","8","16","4","2.0","0","0","","0","0","1","0","0","0","","memphis","2023"
"17","Malik Feaster","DB","12","14","2","16","0","0.0","1","36","36.0","1","4","0","0","0","0","","memphis","2023"
"18","Derick Hunter","DL","13","10","5","15","2","1.5","0","0","","0","0","0","0","0","0","","memphis","2023"
"19","Hank Pearson","DL","13","8","5","13","1","0.0","0","0","","0","0","0","0","0","0","","memphis","2023"
"20","Andres Fox","DE","9","7","6","13","4","1.5","0","0","","0","1","1","0","0","1","","memphis","2023"
"21","Jarra Anderson","DL","11","5","5","10","2","1.5","0","0","","0","0","0","0","0","0","","memphis","2023"
"22","Tyrin Taylor","DB","8","6","3","9","0","0.0","1","0","0.0","0","2","0","0","0","0","","memphis","2023"
"23","Jamari Hawkins","WR","9","6","1","7","0","0.0","0","0","","0","0","0","0","0","1","","memphis","2023"
"24","Jaylen Joyner","DL","11","3","4","7","2","1.0","0","0","","0","1","0","0","0","0","","memphis","2023"
"25","Joel Williams","DB","4","4","2","6","0","0.0","0","0","","0","1","0","0","0","0","","memphis","2023"
"26","Marcus Lee Jr.","DB","13","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","memphis","2023"
"27","Donovan Mathena","LB","12","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","memphis","2023"
"28","Brandon Thomas","RB","11","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","memphis","2023"
"29","Joe Norwood","DB","13","3","1","4","1","0.0","0","0","","0","0","0","0","0","0","","memphis","2023"
"30","Tristian Vandenberg","K","9","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","memphis","2023"
"31","Zy Brockington","DL","5","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","memphis","2023"
"32","Cameron Miller","DB","11","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","memphis","2023"
"33","Joshua White","DL","4","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","memphis","2023"
"34","Jacob Likes","OL","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","memphis","2023"
"35","Davion Ross","DB","2","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","memphis","2023"
"36","Charlie Harrell","DB","4","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","memphis","2023"
"37","Jaylen Johnson","DB","5","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","memphis","2023"
"38","Christian Carter","WR","5","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","memphis","2023"
"39","Seth Henigan","QB","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","memphis","2023"
"40","Spencer Rich","LB","5","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","memphis","2023"
"41","Tanner Gillis","P","10","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","memphis","2023"
"42","Blake Watson","RB","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","memphis","2023"
"43","Austin Smith","TE","9","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","memphis","2023"
"44","AJ Odom","DL","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","memphis","2023"
"45","Adarious Jones","DL","10","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","memphis","2023"
