"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Corey Flagg Jr.","LB","12","35","25","60","7","3.0","1","9","9.0","0","0","0","0","0","0","","miami-fl","2021"
"2","Waynmon Steed","LB","12","24","30","54","4","1.0","0","0","","0","0","0","0","0","0","","miami-fl","2021"
"3","Amari Carter","S","10","19","26","45","3","0.5","1","0","0.0","0","1","0","0","0","0","","miami-fl","2021"
"4","Kamren Kinchens","S","12","25","19","44","1","0.0","0","0","","0","4","0","0","0","1","","miami-fl","2021"
"5","Tyrique Stevenson","CB","11","29","14","43","3","0.5","1","39","39.0","0","4","0","0","0","0","","miami-fl","2021"
"6","Bubba Bolden","S","7","26","16","42","4","1.0","0","0","","0","2","0","0","0","0","","miami-fl","2021"
"7","Gilbert Frierson","DB","12","24","17","41","4","1.0","0","0","","0","0","0","0","0","0","","miami-fl","2021"
"8","Keontra Smith","DB","10","18","20","38","5","3.0","0","0","","0","0","0","0","0","1","","miami-fl","2021"
"9","Nesta Jade Silvera","DL","11","15","23","38","6","0.0","0","0","","0","0","1","0","0","0","","miami-fl","2021"
"10","Te'cory Couch","CB","11","27","9","36","2","0.0","0","0","","0","5","0","0","0","0","","miami-fl","2021"
"11","Gurvan Hall Jr.","S","7","23","8","31","1","0.0","0","0","","0","0","0","0","0","0","","miami-fl","2021"
"12","James Williams","S","10","20","11","31","1","0.0","2","0","0.0","0","2","0","0","0","0","","miami-fl","2021"
"13","Zach McCloud","DL","12","13","15","28","8","5.5","0","0","","0","0","0","0","0","1","","miami-fl","2021"
"14","Deandre Johnson","DE","12","14","12","26","9","4.5","0","0","","0","0","0","0","0","1","","miami-fl","2021"
"15","Jahfari Harvey","DL","12","12","14","26","7","2.5","1","33","33.0","1","1","0","0","0","0","","miami-fl","2021"
"16","DJ Ivey","CB","12","16","9","25","2","1.0","0","0","","0","1","0","0","0","0","","miami-fl","2021"
"17","Marcus Clarke","CB","10","16","8","24","0","0.0","1","0","0.0","0","2","1","0","0","0","","miami-fl","2021"
"18","Leonard Taylor","DL","9","7","14","21","10","2.0","0","0","","0","1","0","0","0","0","","miami-fl","2021"
"19","Jordan Miller","DL","11","10","9","19","5","1.5","0","0","","0","0","1","0","0","0","","miami-fl","2021"
"20","Jared Harrison-Hunte","","11","11","8","19","8","2.0","0","0","","0","1","0","0","0","0","","miami-fl","2021"
"21","Avantae Williams","S","6","15","3","18","0","0.0","1","32","32.0","0","0","0","0","0","0","","miami-fl","2021"
"22","Jared Harrioson-Hunte","DL","9","9","8","17","7","2.0","0","0","","0","1","0","0","0","0","","miami-fl","2021"
"23","Chantz Williams","DL","12","9","8","17","3","2.5","0","0","","0","2","0","0","0","1","","miami-fl","2021"
"24","Jonathan Ford","DL","10","4","10","14","1","0.0","0","0","","0","0","0","0","0","0","","miami-fl","2021"
"25","Bradley Jennings Jr.","LB","8","6","8","14","0","0.0","0","0","","0","0","0","0","0","0","","miami-fl","2021"
"26","Chase Smith","LB","10","8","5","13","1","0.0","0","0","","0","2","0","0","0","0","","miami-fl","2021"
"27","Ryan Ragone","LB","7","6","3","9","2","1.0","0","0","","0","0","0","0","0","0","","miami-fl","2021"
"28","Elijah Roberts","DL","7","3","5","8","1","0.5","0","0","","0","0","0","0","0","0","","miami-fl","2021"
"29","Isaiah Dunson","CB","5","4","1","5","0","0.0","0","0","","0","0","0","0","0","0","","miami-fl","2021"
"30","Deshawn Troutman","LB","7","3","2","5","0","0.0","0","0","","0","0","0","0","0","0","","miami-fl","2021"
"31","Tirek Austin-Cave","LB","8","4","1","5","0","0.0","0","0","","0","0","0","0","0","0","","miami-fl","2021"
"32","AL Blades","CB","3","1","3","4","1","0.0","0","0","","0","0","0","0","0","0","","miami-fl","2021"
"33","Sam Brooks Jr.","LB","2","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","miami-fl","2021"
"34","Cam'ron Harris","RB","7","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","miami-fl","2021"
"35","Michael Parrott","FB","10","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","miami-fl","2021"
"36","Cameron Williams","DL","1","1","2","3","1","1.0","0","0","","0","0","0","0","0","1","","miami-fl","2021"
"37","Avery Huff","LB","9","1","2","3","1","0.0","0","0","","0","1","0","0","0","0","","miami-fl","2021"
"38","Jalen Harrell","S","2","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","miami-fl","2021"
