"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Matthew Salopek","LB","14","74","69","143","9","3.0","1","1","1.0","0","3","1","0","0","0","","miami-oh","2023"
"2","Ty Wise","LB","14","61","61","122","9","8.0","1","14","14.0","0","5","1","0","0","1","","miami-oh","2023"
"3","Jacquez Warren","DB","14","45","25","70","5","0.0","0","0","","0","4","0","0","0","0","","miami-oh","2023"
"4","Brian Ugwu","DL","14","31","31","62","12","8.0","0","0","","0","0","1","5","0","2","","miami-oh","2023"
"5","Michael Dowell","S","13","32","28","60","4","0.0","2","17","8.5","0","5","0","0","0","0","","miami-oh","2023"
"6","Yahsyn McKee","DB","14","34","24","58","2","0.0","4","0","0.0","0","11","0","0","0","0","","miami-oh","2023"
"7","Raion Strader","DB","13","40","17","57","2","0.0","1","30","30.0","0","13","0","0","0","0","","miami-oh","2023"
"8","Eli Blakey","DB","14","19","27","46","2","0.0","0","0","","0","1","0","0","0","1","","miami-oh","2023"
"9","Caiden Woullard","DL","14","19","22","41","12","9.5","0","0","","0","1","0","0","0","2","","miami-oh","2023"
"10","Austin Ertl","DL","14","18","21","39","2","0.5","0","0","","0","5","0","0","0","0","","miami-oh","2023"
"11","Silas Walters","DB","14","14","20","34","2","1.0","0","0","","0","2","0","0","0","0","","miami-oh","2023"
"12","Corban Hondru","LB","13","9","19","28","3","0.0","2","68","34.0","0","0","1","0","0","0","","miami-oh","2023"
"13","Kobe Hilton","DL","14","9","19","28","2","0.0","0","0","","0","0","2","0","1","0","","miami-oh","2023"
"14","Oscar McWood","LB","10","7","16","23","4","2.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"15","Corey Suttle","DE","13","14","6","20","2","2.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"16","Dominic Nardone","LB","12","5","8","13","1","0.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"17","Ambe' Caldwell","DB","13","8","4","12","0","0.0","0","0","","0","2","0","0","0","1","","miami-oh","2023"
"18","Anthony Collier II","DL","14","3","8","11","1","0.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"19","Nasir Washington","DL","13","2","7","9","0","0.0","0","0","","0","2","0","0","0","0","","miami-oh","2023"
"20","Camden Rogers","LB","13","2","6","8","1","0.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"21","Joshua Lukusa","DL","13","5","3","8","3","1.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"22","Jayden Williams","CB","2","6","1","7","0","0.0","0","0","","0","3","0","0","0","0","","miami-oh","2023"
"23","Adam Trick","LB","13","2","4","6","0","0.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"24","William Hardrick","DB","7","6","0","6","0","0.0","0","0","","0","1","0","0","0","1","","miami-oh","2023"
"25","Jeremiah Caldwell","DB","5","6","0","6","0","0.0","0","0","","0","1","0","0","0","0","","miami-oh","2023"
"26","Jackson Kuwatch","LB","10","2","3","5","1","0.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"27","Reginald Virgil","WR","12","2","3","5","0","0.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"28","Mychal Yharbrough","DB","9","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"29","Daisjaun Mercer","DB","4","0","3","3","0","0.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"30","Eli Coppess","LB","7","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"31","Gage Larvadain","WR","10","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"32","Graham Nicholson","K","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","AA","miami-oh","2023"
"33","Jack DeJarld","TE","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"34","Steven Favazzo","DB","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"35","Aveon Smith","QB","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"36","Reid Holskey","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"37","Brendan Beattle","LS","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"38","Cade McDonald","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"39","Nate Milanowski","RB","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"40","Caleb Tubbs","DB","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"41","Mason Moore","DB","6","1","0","1","1","0.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"42","Malcolm McCain","LB","3","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"43","Malachi Clark","DL","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
"44","Jalen Peterson","DB","4","1","0","1","0","0.0","0","0","","0","1","0","0","0","0","","miami-oh","2023"
"45","Joe Wilkins","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","miami-oh","2023"
