"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Cal Haladay","LB","12","42","78","120","11","1.5","0","0","","0","0","1","21","0","1","","michigan-state","2022"
"2","Kendell Brooks","DB","11","48","52","100","4","0.0","0","0","","0","3","0","0","0","3","","michigan-state","2022"
"3","Ben VanSumeren","LB","11","27","54","81","3","2.0","0","0","","0","2","0","0","0","0","","michigan-state","2022"
"4","Ameer Speed","DB","12","36","26","62","1","0.0","0","0","","0","5","0","0","0","0","","michigan-state","2022"
"5","Angelo Grose","DB","8","25","28","53","2","0.0","0","0","","0","4","0","0","0","0","","michigan-state","2022"
"6","Jacoby Windmon","LB","8","18","31","49","11","5.5","1","0","0.0","0","2","1","0","0","6","","michigan-state","2022"
"7","Charles Brantley","DB","11","22","26","48","2","1.0","1","32","32.0","1","6","0","0","0","0","","michigan-state","2022"
"8","Maverick Hansen","DL","12","15","26","41","1","0.0","0","0","","0","0","1","0","0","0","","michigan-state","2022"
"9","Simeon Barrow","DL","12","18","22","40","9","4.0","0","0","","0","0","1","0","0","0","","michigan-state","2022"
"10","Xavier Henderson","DB","7","24","14","38","3","0.0","0","0","","0","1","0","0","0","2","","michigan-state","2022"
"11","Aaron Brule","LB","12","13","17","30","7","4.0","0","0","","0","1","1","0","0","0","","michigan-state","2022"
"12","Derrick Harmon","DL","12","8","22","30","3","2.0","0","0","","0","1","1","0","0","0","","michigan-state","2022"
"13","Avery Dunn","DE","9","13","15","28","6","3.0","0","0","","0","0","0","0","0","0","","michigan-state","2022"
"14","Zion Young","DE","8","8","13","21","2","1.0","0","0","","0","0","0","0","0","0","","michigan-state","2022"
"15","Chester Kimbrough","DB","10","10","10","20","2","2.0","0","0","","0","3","1","3","0","1","","michigan-state","2022"
"16","Jaden Mangham","S","8","9","11","20","0","0.0","0","0","","0","0","0","0","0","0","","michigan-state","2022"
"17","Jacob Slade","DL","8","7","13","20","4","0.5","0","0","","0","0","0","0","0","0","","michigan-state","2022"
"18","Justin White","CB","8","8","11","19","0","0.0","0","0","","0","0","0","0","0","0","","michigan-state","2022"
"19","Ronald Williams Jr.","CB","10","8","10","18","0","0.0","0","0","","0","1","1","0","0","0","","michigan-state","2022"
"20","Dashaun Mallory","DL","8","11","5","16","2","0.5","0","0","","0","0","2","0","0","0","","michigan-state","2022"
"21","Dillon Tatum","DB","12","11","3","14","0","0.0","0","0","","0","1","0","0","0","0","","michigan-state","2022"
"22","Brandon Wright","DL","8","3","11","14","2","1.0","0","0","","0","0","0","0","0","1","","michigan-state","2022"
"23","Michael Fletcher","DL","8","4","9","13","1","0.0","0","0","","0","0","0","0","0","0","","michigan-state","2022"
"24","Khris Bogle","LB","4","8","3","11","3","1.0","0","0","","0","0","0","0","0","0","","michigan-state","2022"
"25","Jalen Hunt","DL","7","5","4","9","0","0.0","0","0","","0","0","0","0","0","0","","michigan-state","2022"
"26","Ma'a Gaoteote","LB","11","2","6","8","1","0.0","0","0","","0","0","0","0","0","0","","michigan-state","2022"
"27","Jeff Pietrowski","DE","3","0","6","6","1","0.0","0","0","","0","0","0","0","0","0","","michigan-state","2022"
"28","Hank Pepper","LS","5","3","2","5","0","0.0","0","0","","0","0","0","0","0","0","","michigan-state","2022"
"29","Malik Spencer","S","5","1","4","5","0","0.0","0","0","","0","0","0","0","0","0","","michigan-state","2022"
"30","Tate Hallock","DB","4","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","michigan-state","2022"
