"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Josh Ross","LB","14","53","53","106","9","0.5","0","0","","0","2","0","0","0","0","","michigan","2021"
"2","Daxton Hill","DB","14","41","28","69","5","0.5","2","3","1.5","0","9","1","9","0","0","","michigan","2021"
"3","Aidan Hutchinson","DL","14","36","26","62","17","14.0","0","0","","0","3","1","0","0","2","H-2,AA","michigan","2021"
"4","Junior Colson","LB","14","28","33","61","1","0.5","0","0","","0","2","1","13","0","0","","michigan","2021"
"5","Brad Hawkins","DB","14","41","19","60","3","0.0","0","0","","0","4","1","19","0","2","","michigan","2021"
"6","Nikhai Hill-Green","LB","14","35","15","50","2","0.0","0","0","","0","1","0","0","0","0","","michigan","2021"
"7","Vincent Gray","DB","14","34","12","46","4","1.0","0","0","","0","8","0","0","0","1","","michigan","2021"
"8","Mazi Smith","DL","14","15","22","37","3","0.0","0","0","","0","4","0","0","0","0","","michigan","2021"
"9","David Ojabo","LB","14","24","11","35","12","11.0","0","0","","0","3","1","0","0","5","","michigan","2021"
"10","R.J Moten","DB","14","27","7","34","0","0.0","1","0","0.0","0","3","0","0","0","0","","michigan","2021"
"11","DJ Turner","DB","14","26","7","33","1","0.0","2","65","32.5","1","7","0","0","0","0","","michigan","2021"
"12","Christopher Hinton","DL","14","18","15","33","2","1.0","0","0","","0","2","2","0","0","1","","michigan","2021"
"13","Rod Moore","DB","11","21","11","32","0","0.0","0","0","","0","1","0","0","0","0","","michigan","2021"
"14","Donovan Jeter","DL","14","12","12","24","2","0.0","0","0","","0","2","0","0","0","0","","michigan","2021"
"15","Gemon Green","DB","12","14","10","24","1","0.0","1","27","27.0","0","1","0","0","0","0","","michigan","2021"
"16","Kris Jenkins","DL","14","8","14","22","1","0.0","0","0","","0","0","0","0","0","0","","michigan","2021"
"17","Michael Barrett","LB","14","9","11","20","2","1.0","0","0","","0","1","0","0","0","0","","michigan","2021"
"18","Mike Morris","DL","14","5","12","17","1","0.5","1","5","5.0","0","1","0","0","0","0","","michigan","2021"
"19","Jaylen Harrell","DL","14","5","10","15","3","0.0","0","0","","0","0","0","0","0","0","","michigan","2021"
"20","Julius Welschof","DL","14","4","9","13","1","0.5","0","0","","0","1","0","0","0","0","","michigan","2021"
"21","Kalel Mullings","LB","13","5","6","11","0","0.0","0","0","","0","0","0","0","0","0","","michigan","2021"
"22","Caden Kolesar","DB","14","7","2","9","1","0.0","1","1","1.0","0","1","0","0","0","0","","michigan","2021"
"23","Taylor Upshaw","DE","12","7","1","8","5","2.5","0","0","","0","0","0","0","0","1","","michigan","2021"
"24","Jess Speight","DL","12","1","5","6","0","0.0","0","0","","0","0","0","0","0","0","","michigan","2021"
"25","Braiden McGregor","DL","9","4","1","5","1","0.0","0","0","","0","0","0","0","0","0","","michigan","2021"
"26","Mike Sainristil","WR","14","5","0","5","0","0.0","0","0","","0","0","0","0","0","0","","michigan","2021"
"27","Jalen Perry","DB","8","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","michigan","2021"
"28","Quinten Johnson","DB","14","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","michigan","2021"
"29","Rayshaun Benny","DL","3","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","michigan","2021"
"30","German Green","DB","14","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","michigan","2021"
"31","TJ Guy","DE","2","1","1","2","1","1.0","0","0","","0","0","0","0","0","0","","michigan","2021"
"32","Joey George","DL","8","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","michigan","2021"
"33","Makari Paige","DB","9","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","michigan","2021"
"34","Ja'Den McBurrows","DB","4","1","1","2","0","0.0","0","0","","0","1","0","0","0","0","","michigan","2021"
"35","Hassan Haskins","RB","14","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","michigan","2021"
"36","Danny Hughes","RB","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","michigan","2021"
"37","Jordan Morant","DB","8","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","michigan","2021"
"38","Erick All","TE","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","michigan","2021"
"39","George Johnson","DB","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","michigan","2021"
"40","Cade McNamara","QB","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","michigan","2021"
"41","Jaydon Hood","LB","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","michigan","2021"
"42","Keshaun Harris","DB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","michigan","2021"
"43","Joey Velazquez","LB","8","1","0","1","0","0.0","0","0","","0","0","1","0","0","0","","michigan","2021"
