"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Troy Brown","LB","13","44","49","93","3","0.5","0","0","","0","5","0","0","0","1","","mississippi","2022"
"2","Otis Reese","S","13","37","47","84","8","3.0","1","1","1.0","0","3","1","0","0","0","","mississippi","2022"
"3","Tysheem Johnson","S","13","38","40","78","4","0.0","0","0","","0","2","0","0","0","0","","mississippi","2022"
"4","A.J. Finley","S","13","46","30","76","4","0.0","2","19","9.5","0","2","1","0","0","1","","mississippi","2022"
"5","Ashanti Cistrunk","LB","13","28","44","72","4","1.0","0","0","","0","1","0","0","0","1","","mississippi","2022"
"6","Isheem Young","S","13","30","36","66","2","0.5","1","0","0.0","0","2","1","13","0","0","","mississippi","2022"
"7","Ladarius Tennison","S","13","29","25","54","10","1.0","0","0","","0","2","2","30","1","0","","mississippi","2022"
"8","Tavius Robinson","DE","13","17","27","44","8","7.0","0","0","","0","1","2","0","0","5","","mississippi","2022"
"9","Khari Coleman","LB","11","24","18","42","10","4.5","0","0","","0","0","0","0","0","1","","mississippi","2022"
"10","Deantre Prince","CB","13","26","13","39","1","0.0","1","0","0.0","0","11","0","0","0","0","","mississippi","2022"
"11","Austin Keys","LB","13","14","25","39","4","2.0","0","0","","0","0","0","0","0","1","","mississippi","2022"
"12","Miles Battle","CB","13","24","14","38","1","0.0","1","10","10.0","0","4","0","0","0","1","","mississippi","2022"
"13","Davison Igbinosun","CB","13","21","16","37","0","0.0","0","0","","0","5","0","0","0","0","","mississippi","2022"
"14","Jared Ivey","DE","13","15","22","37","5","3.5","0","0","","0","0","2","0","0","1","","mississippi","2022"
"15","Cedric Johnson","DE","11","15","17","32","5","4.0","0","0","","0","0","1","0","0","0","","mississippi","2022"
"16","Trey Washington","S","13","21","10","31","1","0.0","1","0","0.0","0","3","0","0","0","1","","mississippi","2022"
"17","J.J. Pegues","DT","12","15","11","26","5","3.0","0","0","","0","2","0","0","0","0","","mississippi","2022"
"18","KD Hill","DT","13","5","16","21","2","1.0","0","0","","0","2","0","0","0","0","","mississippi","2022"
"19","Markevious Brown","CB","13","14","5","19","1","0.0","0","0","","0","2","0","0","0","0","","mississippi","2022"
"20","Tywone Malone","DT","13","5","5","10","1","1.0","0","0","","0","2","0","0","0","0","","mississippi","2022"
"21","Jamond Gordon","DT","12","2","6","8","1","0.0","0","0","","0","1","0","0","0","0","","mississippi","2022"
"22","Trip White","LB","3","3","5","8","0","0.0","0","0","","0","0","0","0","0","0","","mississippi","2022"
"23","Isaiah Iton","DT","10","0","7","7","1","0.5","0","0","","0","1","0","0","0","0","","mississippi","2022"
"24","Reginald Hughes","LB","12","4","2","6","0","0.0","0","0","","0","0","0","0","0","0","","mississippi","2022"
"25","Demarko Williams","S","8","4","2","6","0","0.0","0","0","","0","0","1","0","0","1","","mississippi","2022"
"26","MJ Daniels","S","11","0","4","4","1","0.5","0","0","","0","0","0","0","0","0","","mississippi","2022"
"27","Tyler Banks","LB","13","0","4","4","0","0.0","0","0","","0","0","0","0","0","0","","mississippi","2022"
"28","Demon Clowney","DE","3","3","1","4","2","1.0","0","0","","0","0","0","0","0","0","","mississippi","2022"
"29","Dashaun Jerkins","S","5","1","2","3","0","0.0","1","4","4.0","0","1","0","0","0","0","","mississippi","2022"
"30","Zxavian Harris","DT","13","1","2","3","1","0.0","0","0","","0","0","0","0","0","0","","mississippi","2022"
"31","Desanto Rollins","DT","2","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","mississippi","2022"
"32","Jalen Knox","WR","10","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","mississippi","2022"
"33","Fraser Masin","P","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","mississippi","2022"
"34","Brandon Buckhaulter","WR","11","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","mississippi","2022"
"35","Malik Heath","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","mississippi","2022"
"36","Nick Cull","S","4","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","mississippi","2022"
"37","Quinshon Judkins","RB","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","mississippi","2022"
"38","Jordan Watkins","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","mississippi","2022"
"39","Dayton Wade","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","mississippi","2022"
"40","Taylor Groves","S","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","mississippi","2022"
"41","JJ Hawkins","DE","4","1","0","1","1","1.0","0","0","","0","0","0","0","0","0","","mississippi","2022"
"42","Brandon Mack","DE","6","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","mississippi","2022"
"43","Jarell Stinson","CB","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","mississippi","2022"
"44","Isaiah Woullard","RB","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","mississippi","2022"
