"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","John Marshall","LB","12","44","52","96","20","11.5","1","0","0.0","0","7","0","0","0","2","","navy","2022"
"2","Colin Ramos","LB","12","34","45","79","9","4.0","1","5","5.0","0","0","1","0","0","2","","navy","2022"
"3","Rayuan Lane","S","12","43","28","71","3","1.0","0","0","","0","4","2","0","0","2","","navy","2022"
"4","Nick Straw","LB","12","26","29","55","5","1.5","1","18","18.0","0","3","0","0","0","0","","navy","2022"
"5","Eavan Gibbons","S","12","29","25","54","5","1.0","0","0","","0","1","1","0","0","2","","navy","2022"
"6","Mbiti Williams","CB","12","24","18","42","3","0.5","1","31","31.0","0","5","1","0","0","0","","navy","2022"
"7","Jianni Woodson-Brooks","LB","12","24","18","42","1","0.0","0","0","","0","1","1","5","1","0","","navy","2022"
"8","Jacob Busic","DE","11","16","22","38","9","6.0","0","0","","0","0","1","0","0","2","","navy","2022"
"9","Donald Berniard Jr.","DL","12","9","26","35","5","0.5","0","0","","0","1","1","0","0","0","","navy","2022"
"10","Tyler Fletcher","LB","11","15","16","31","5","4.0","1","0","0.0","0","2","0","0","0","0","","navy","2022"
"11","Will Harbour","LB","11","14","16","30","4","1.5","0","0","","0","0","0","0","0","0","","navy","2022"
"12","Clay Cromwell","DT","11","5","24","29","6","1.5","0","0","","0","0","0","0","0","0","","navy","2022"
"13","Elias Larry","CB","11","11","8","19","1","0.0","2","3","1.5","0","2","0","0","0","0","","navy","2022"
"14","Joe Hutson","S","12","6","10","16","0","0.0","0","0","","0","1","1","0","0","0","","navy","2022"
"15","Justin Reed","DE","12","3","11","14","1","0.0","0","0","","0","0","1","0","0","0","","navy","2022"
"16","Dashaun Peele","CB","5","9","5","14","3","1.0","1","0","0.0","0","3","0","0","0","0","","navy","2022"
"17","Kyle Jacob","LB","12","5","6","11","1","0.0","0","0","","0","0","0","0","0","0","","navy","2022"
"18","Willie Collins V","CB","10","10","1","11","0","0.0","0","0","","0","0","0","0","0","0","","navy","2022"
"19","Marcus Moore","S","7","2","5","7","1","0.0","0","0","","0","2","0","0","0","0","","navy","2022"
"20","Nolan Barber","DL","12","1","5","6","1","0.0","0","0","","0","0","0","0","0","1","","navy","2022"
"21","Matthew Peters","CB","9","3","1","4","1","0.0","0","0","","0","1","0","0","0","0","","navy","2022"
"22","Max Sandlin","LB","12","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","navy","2022"
"23","Turner Stepp","LB","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","navy","2022"
"24","Jayden Umbarger","WR","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","navy","2022"
"25","Xavier McDonald","LB","11","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","navy","2022"
"26","Nathan Kent","WR","6","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","navy","2022"
"27","Nazir Rogers","WR","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","navy","2022"
"28","Andrew Duhart","CB","8","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","navy","2022"
"29","Tai Lavatai","QB","8","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","navy","2022"
"30","Taylor Robinson","S","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","navy","2022"
"31","Trent Shiraki","LB","6","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","navy","2022"
"32","Jordan Sanders","LB","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","navy","2022"
"33","Daba Fofana","FB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","navy","2022"
