"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Luke Reimer","LB","12","61","48","109","6","1.0","1","22","22.0","0","6","0","0","0","3","","nebraska","2021"
"2","Nick Henrich","LB","12","39","60","99","4","0.5","0","0","","0","0","0","0","0","0","","nebraska","2021"
"3","JoJo Domann","OL","10","45","27","72","9","2.0","2","0","0.0","0","3","0","0","0","2","","nebraska","2021"
"4","Quinton Newsome","CB","12","38","19","57","2","1.0","0","0","","0","4","0","0","0","0","","nebraska","2021"
"5","Garrett Nelson","LB","12","25","32","57","12","5.0","0","0","","0","2","0","0","0","1","","nebraska","2021"
"6","Cam Taylor","CB","12","35","16","51","3","1.0","1","0","0.0","0","11","0","0","0","0","","nebraska","2021"
"7","Marquel Dismuke","S","12","22","24","46","0","0.0","1","0","0.0","0","0","0","0","0","0","","nebraska","2021"
"8","Deontai Williams","S","8","23","23","46","2","0.0","4","31","7.8","0","3","0","0","0","0","","nebraska","2021"
"9","Ben Stille","DL","12","21","21","42","6","1.5","0","0","","0","3","0","0","0","0","","nebraska","2021"
"10","Damion Daniels","DL","11","9","24","33","2","0.0","0","0","","0","2","0","0","0","0","","nebraska","2021"
"11","Caleb Tannor","LB","12","15","18","33","6","2.0","0","0","","0","3","0","0","0","1","","nebraska","2021"
"12","Myles Farmer","S","12","17","13","30","1","0.0","1","14","14.0","0","0","1","0","0","0","","nebraska","2021"
"13","Chris Kolarevic","LB","12","15","12","27","1","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"14","Ty Robinson","DL","12","13","14","27","4","2.0","0","0","","0","1","0","0","0","0","","nebraska","2021"
"15","Deontre Thomas","DL","12","7","16","23","2","1.5","0","0","","0","0","2","0","0","0","","nebraska","2021"
"16","Pheldarius Payne","LB","10","4","15","19","3","2.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"17","Casey Rogers","DL","7","6","11","17","3","0.5","0","0","","0","0","0","0","0","0","","nebraska","2021"
"18","Isaac Gifford","S","12","4","3","7","0","0.0","0","0","","0","1","0","0","0","0","","nebraska","2021"
"19","Jordon Riley","DL","11","4","3","7","1","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"20","Eteva Mauga-Clements","LB","12","3","2","5","2","0.0","0","0","","0","1","0","0","0","0","","nebraska","2021"
"21","Braxton Clark","CB","12","4","1","5","0","0.0","0","0","","0","2","0","0","0","0","","nebraska","2021"
"22","John Bullock","LB","12","2","3","5","0","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"23","Damian Jackson","LB","11","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"24","Garrett Snodgrass","LB","5","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"25","Marques Buford Jr.","DB","12","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"26","Phalen Sanford","CB","12","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"27","Zach Weinmaster","RB","12","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"28","Blaise Gunnerson","OL","3","0","3","3","1","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"29","Grant Tagge","LB","11","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"30","Austin Allen","TE","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"31","Ru'Quan Buckley","DL","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"32","Tamon Lynum","CB","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"33","Wyatt Liewer","WR","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"34","Alante Brown","WR","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"35","Zavier Betts","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"36","Omar Manning","WR","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"37","Oliver Martin","WR","8","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"38","Nouredin Nouili","OL","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"39","Noa Pola-Gates","S","8","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"40","Javin Wright","S","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"41","Jailen Weaver","DL","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"42","Jackson Hannah","LB","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"43","Cooper Jewett","RB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"44","Cameron Jurgens","OL","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
"45","Brendan Franke","PK","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","nebraska","2021"
