"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Jackson Woodard","LB","14","55","61","116","9","2.5","1","5","5.0","0","4","0","0","0","0","","nevada-las-vegas","2023"
"2","Marsel McDuffie","LB","13","44","45","89","3","1.0","0","0","","0","2","0","0","0","1","","nevada-las-vegas","2023"
"3","Johnathan Baldwin","DB","11","42","35","77","4","1.0","2","36","18.0","0","5","0","0","0","0","","nevada-las-vegas","2023"
"4","Jaxen Turner","DB","14","33","29","62","3","0.0","5","0","0.0","0","0","0","0","0","2","","nevada-las-vegas","2023"
"5","Fred Thompkins","LB","14","25","35","60","4","1.0","1","47","47.0","1","0","1","0","0","1","","nevada-las-vegas","2023"
"6","Jett Elad","DB","13","36","21","57","3","0.0","0","0","","0","6","1","62","0","0","","nevada-las-vegas","2023"
"7","Cameron Oliver","DB","14","41","12","53","5","2.0","5","3","0.6","0","5","0","0","0","2","","nevada-las-vegas","2023"
"8","Darius Johnson","DL","14","18","25","43","2","2.0","0","0","","0","0","1","0","0","0","","nevada-las-vegas","2023"
"9","Ricky Johnson","DB","12","25","11","36","3","0.0","0","0","","0","7","0","0","0","0","","nevada-las-vegas","2023"
"10","Cameren Jenkins","DB","13","12","20","32","1","0.0","0","0","","0","2","0","0","0","0","","nevada-las-vegas","2023"
"11","Alexander Whitmore","DL","14","11","20","31","6","2.5","0","0","","0","0","0","0","0","0","","nevada-las-vegas","2023"
"12","Elijah Shelton","LB","14","19","12","31","4","1.0","0","0","","0","0","0","0","0","2","","nevada-las-vegas","2023"
"13","Tatuo Martinson","DL","14","9","22","31","2","0.5","0","0","","0","0","1","0","0","0","","nevada-las-vegas","2023"
"14","Jalen Dixon","DL","14","14","15","29","6","1.5","0","0","","0","0","0","0","0","1","","nevada-las-vegas","2023"
"15","Cooper Webb","DL","14","10","18","28","4","2.0","0","0","","0","0","0","0","0","0","","nevada-las-vegas","2023"
"16","Jerrae Williams","DB","6","15","9","24","7","3.0","1","11","11.0","0","1","2","41","1","0","","nevada-las-vegas","2023"
"17","Trenton Holloway","DB","12","11","11","22","0","0.0","0","0","","0","0","1","0","0","0","","nevada-las-vegas","2023"
"18","Thomas Anderson","DB","13","16","4","20","0","0.0","1","8","8.0","0","1","1","0","0","1","","nevada-las-vegas","2023"
"19","Keith Conley Jr.","DL","12","6","13","19","6","2.0","0","0","","0","0","0","0","0","0","","nevada-las-vegas","2023"
"20","Zavier Carter","LB","11","6","8","14","2","2.0","0","0","","0","0","0","0","0","1","","nevada-las-vegas","2023"
"21","Quentin Moten","DB","8","10","3","13","0","0.0","1","0","0.0","0","1","0","0","0","0","","nevada-las-vegas","2023"
"22","Kris Williams","DB","14","6","4","10","0","0.0","0","0","","0","0","1","0","0","0","","nevada-las-vegas","2023"
"23","BJ Harris","DB","10","4","5","9","1","0.0","0","0","","0","0","0","0","0","0","","nevada-las-vegas","2023"
"24","Daego Albert","DB","14","4","4","8","0","0.0","0","0","","0","0","0","0","0","0","","nevada-las-vegas","2023"
"25","Davone Walden Jr.","DB","14","6","1","7","0","0.0","0","0","","0","0","0","0","0","1","","nevada-las-vegas","2023"
"26","Rashod Tanner","DB","12","4","3","7","0","0.0","0","0","","0","0","0","0","0","0","","nevada-las-vegas","2023"
"27","Fisher Camac","LB","8","2","3","5","2","1.0","0","0","","0","1","1","-10","0","0","","nevada-las-vegas","2023"
"28","Ose Egbase","LB","13","3","2","5","1","1.0","0","0","","0","0","0","0","0","0","","nevada-las-vegas","2023"
"29","Andre Meono","K","14","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","nevada-las-vegas","2023"
"30","Waisale Muavesi","DL","5","2","2","4","1","0.0","0","0","","0","0","0","0","0","0","","nevada-las-vegas","2023"
"31","Blesyng Alualu-Tuiolemotu","LB","4","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","nevada-las-vegas","2023"
"32","Naki Fahina","DL","4","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","nevada-las-vegas","2023"
"33","Tyray O'Dell","LB","14","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","nevada-las-vegas","2023"
"34","Jordan Hanna","LB","9","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","nevada-las-vegas","2023"
"35","Jai'Den Thomas","RB","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","nevada-las-vegas","2023"
"36","Jayden Maiava","QB","14","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","nevada-las-vegas","2023"
"37","Donavyn Lester","RB","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","nevada-las-vegas","2023"
"38","Lucas Conti","DL","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","nevada-las-vegas","2023"
"39","Ricky White","WR","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","nevada-las-vegas","2023"
"40","Shelton Zeon III","TE","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","nevada-las-vegas","2023"
"41","Jordan Younge-Humphrey","RB","5","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","nevada-las-vegas","2023"
"42","Tiger Shanks","OL","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","nevada-las-vegas","2023"
"43","Jordan Eubanks","LB","4","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","nevada-las-vegas","2023"
