"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Daiyan Henley","LB","12","61","42","103","3","0.0","4","59","14.8","1","4","3","56","1","0","","nevada","2021"
"2","Lawson Hall","LB","13","44","45","89","6","1.5","1","0","0.0","0","0","1","0","0","1","","nevada","2021"
"3","Jordan Lee","DB","13","68","19","87","5","0.0","0","0","","0","4","5","0","0","5","","nevada","2021"
"4","Jojuan Claiborne","DB","12","44","17","61","1","0.0","1","6","6.0","0","5","0","0","0","1","","nevada","2021"
"5","Trevor Price","LB","13","29","18","47","1","1.0","1","0","0.0","0","1","0","0","0","0","","nevada","2021"
"6","Tyson Williams","DB","11","31","15","46","4","1.0","3","67","22.3","1","5","0","0","0","0","","nevada","2021"
"7","AJ King","DB","12","33","7","40","2","1.0","0","0","","0","8","0","0","0","1","","nevada","2021"
"8","Dom Peterson","DT","13","28","12","40","10","5.5","0","0","","0","3","1","0","1","1","","nevada","2021"
"9","Sam Hammond","DE","13","26","13","39","10","6.5","0","0","","0","1","0","0","0","0","","nevada","2021"
"10","Berdale Robins","DB","12","25","4","29","0","0.0","3","87","29.0","1","4","1","25","1","1","","nevada","2021"
"11","Tristan Nichols","DT","11","20","8","28","11","10.0","0","0","","0","1","0","0","0","2","","nevada","2021"
"12","Christopher Love","DT","13","18","8","26","3","2.0","0","0","","0","1","0","0","0","0","","nevada","2021"
"13","Bentlee Sanders","DB","13","18","6","24","0","0.0","0","0","","0","2","0","0","0","0","","nevada","2021"
"14","Lamin Touray","LB","11","14","9","23","1","0.0","0","0","","0","1","1","0","0","0","","nevada","2021"
"15","Jack Powers","DE","11","13","8","21","4","1.5","0","0","","0","0","0","0","0","0","","nevada","2021"
"16","Daniel Grzesiak","DE","12","14","5","19","7","5.5","0","0","","0","1","1","0","0","1","","nevada","2021"
"17","Emany Johnson","DB","13","11","6","17","0","0.0","0","0","","0","1","0","0","0","0","","nevada","2021"
"18","Zak Mahannah","DT","13","11","5","16","2","0.5","0","0","","0","0","0","0","0","0","","nevada","2021"
"19","Mikael Bradford","DB","7","12","1","13","1","0.0","0","0","","0","1","0","0","0","0","","nevada","2021"
"20","Kameron Toomer","DE","12","7","6","13","5","3.5","0","0","","0","0","0","0","0","0","","nevada","2021"
"21","Isaiah Essissima","CB","10","10","2","12","0","0.0","1","0","0.0","0","3","0","0","0","0","","nevada","2021"
"22","Josiah Bradley","LB","10","6","6","12","0","0.0","0","0","","0","1","0","0","0","0","","nevada","2021"
"23","Christian Swint","DB","9","9","1","10","1","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"24","Amir Johnson","DT","12","6","3","9","3","1.5","0","0","","0","1","0","0","0","0","","nevada","2021"
"25","Jaden Dedman","DB","11","6","1","7","1","0.0","0","0","","0","1","0","0","0","0","","nevada","2021"
"26","Tongiaki Mateialona","LB","11","4","2","6","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"27","Elijah Cooks","WR","4","3","2","5","0","0.0","0","0","","0","1","0","0","0","1","","nevada","2021"
"28","Devin Gunter","DB","10","3","0","3","0","0.0","0","0","","0","1","0","0","0","0","","nevada","2021"
"29","Breylon Garcia","DE","6","2","1","3","1","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"30","Avery Carrington","DB","3","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"31","Tyriq Mack","DB","5","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"32","Crishaun Lappin","TE","11","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"33","Cole Turner","TE","11","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"34","Jamaal Bell","WR","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"35","Chad Brown","DB","2","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"36","Tyrese Mack","WR","6","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"37","Nick Barcelos","LS","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"38","Peter Montini","LB","11","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"39","Teivis Tuioti","DT","4","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"40","Zach Lewis","CB","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"41","Dion Washington","DE","3","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"42","Tory Horton","WR","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"43","Aedan Seiuli","DB","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"44","Brigden Craig","LB","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"45","Romeo Doubs","WR","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"46","Reagan Roberson","TE","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"47","Melquan Stovall","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"48","Maurice Wilmer","DT","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"49","Carson Strong","QB","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"50","Julian Diaz","PK","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"51","Jayce Godley","DB","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"52","Gray Davis","OL","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
"53","Davion Blackwell","LB","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","nevada","2021"
