"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Jerrick Reed II","S","12","54","35","89","1","0.0","1","0","0.0","0","7","0","0","0","0","","new-mexico","2021"
"2","Tavian Combs","S","11","40","41","81","2","0.0","2","1","0.5","0","4","0","0","0","1","","new-mexico","2021"
"3","Joey Noble","DE","12","42","30","72","19","6.5","0","0","","0","1","0","0","0","0","","new-mexico","2021"
"4","Ronald Wilson","DB","10","29","25","54","2","0.0","2","0","0.0","0","1","1","0","0","0","","new-mexico","2021"
"5","Syaire Riley","LB","12","22","23","45","5","1.0","0","0","","0","1","0","0","0","0","","new-mexico","2021"
"6","Cody Moon","LB","12","27","17","44","2","0.5","1","0","0.0","0","1","1","0","0","0","","new-mexico","2021"
"7","Corey Hightower","CB","12","25","17","42","2","0.0","1","4","4.0","0","5","0","0","0","0","","new-mexico","2021"
"8","Dion Hunter","LB","12","15","23","38","2","1.0","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"9","Jake Saltonstall","DE","12","16","20","36","5","2.5","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"10","Ray Leutele","LB","12","18","18","36","8","4.0","1","3","3.0","0","2","1","15","1","1","","new-mexico","2021"
"11","Patrick Peek","S","12","18","15","33","1","0.0","0","0","","0","4","0","0","0","0","","new-mexico","2021"
"12","Justin Harris","DE","12","23","10","33","5","4.0","0","0","","0","3","0","0","0","0","","new-mexico","2021"
"13","Donte Martin","CB","10","20","11","31","1","0.0","1","16","16.0","0","7","0","0","0","0","","new-mexico","2021"
"14","Devin Sanders","LB","12","19","11","30","3","0.0","0","0","","0","0","1","0","0","1","","new-mexico","2021"
"15","Tony Collier","CB","11","22","6","28","1","0.0","0","0","","0","2","0","0","0","0","","new-mexico","2021"
"16","Reco Hannah","LB","4","9","9","18","3","2.0","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"17","Langston Murray","NT","9","8","7","15","3","2.0","0","0","","0","0","0","0","0","1","","new-mexico","2021"
"18","Jaden Phillips","DL","11","7","8","15","3","1.5","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"19","Mathias Bertram","S","11","5","6","11","1","0.0","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"20","A.J. Odums","CB","6","6","3","9","1","0.0","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"21","Kyler Drake","DE","10","4","3","7","2","0.0","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"22","Bryce Santana","DE","6","1","5","6","0","0.0","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"23","Antonio Hunt","CB","7","3","3","6","0","0.0","0","0","","0","1","0","0","0","0","","new-mexico","2021"
"24","Kyle Jarvis","TE","12","5","0","5","0","0.0","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"25","Alec Marenco","LB","4","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"26","Alec Morenco","","9","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"27","Isaiah Perez","LS","9","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"28","Marquae Kirkendoll","S","10","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"29","Omar Darame","DE","4","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"30","Joshua Woisin","LB","10","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"31","Nic Wilson","CB","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"32","Austin Cook","OL","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","1","","new-mexico","2021"
"33","Andrell Barney Jr.","DB","2","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"34","Andrell Barney Jr.","","4","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"35","Trace Bruckler","WR","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"36","Aaron Dumas","RB","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"37","Quinn Potts","S","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"38","Ben Gansallo","NT","3","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"39","Bobby Cole","RB","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"40","Coryon Francis","DB","3","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","new-mexico","2021"
"41","George Steinkamp","K","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","new-mexico","2021"
