"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Payton Wilson","LB","12","69","69","138","18","6.0","3","19","6.3","1","6","2","10","0","1","Bednarik,AA","north-carolina-state","2023"
"2","Jaylon Scott","LB","13","26","48","74","6","2.0","0","0","","0","3","1","0","0","1","","north-carolina-state","2023"
"3","Sean Brown","S","13","37","29","66","5","2.0","2","33","16.5","0","5","0","0","0","1","","north-carolina-state","2023"
"4","Devan Boykin","DB","11","22","32","54","3","0.0","3","39","13.0","0","1","0","0","0","1","","north-carolina-state","2023"
"5","Caden Fordham","LB","13","22","31","53","4","0.0","0","0","","0","1","0","0","0","0","","north-carolina-state","2023"
"6","Shyheim Battle","DB","13","30","16","46","2","0.0","2","21","10.5","0","4","1","0","0","0","","north-carolina-state","2023"
"7","Bishop Fitzgerald","S","13","16","26","42","1","0.0","2","0","0.0","0","3","0","0","0","0","","north-carolina-state","2023"
"8","Davin Vann","DL","13","17","25","42","7","5.5","0","0","","0","1","1","0","0","1","","north-carolina-state","2023"
"9","Savion Jackson","DL","12","10","30","40","6","2.5","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"10","Aydan White","DB","12","23","14","37","2","1.0","2","9","4.5","0","10","0","0","0","0","","north-carolina-state","2023"
"11","Robert Kennedy","S","13","13","20","33","2","1.5","2","57","28.5","1","4","1","0","0","2","","north-carolina-state","2023"
"12","Devon Betty","LB","13","15","18","33","4","1.0","0","0","","0","2","0","0","0","0","","north-carolina-state","2023"
"13","Brandon Cleveland","DL","13","13","15","28","5","3.0","0","0","","0","0","0","0","0","2","","north-carolina-state","2023"
"14","C.J. Clark","DT","12","5","17","22","4","1.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"15","Travali Price","DE","12","2","11","13","2","1.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"16","Red Hibbler","DL","13","9","4","13","7","6.5","0","0","","0","1","0","0","0","2","","north-carolina-state","2023"
"17","Brandon Cisse","CB","13","7","3","10","0","0.0","1","0","0.0","0","0","0","0","0","0","","north-carolina-state","2023"
"18","Jordan Poole","RB","13","3","5","8","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"19","Cecil Powell","CB","12","2","3","5","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"20","Jakolbe Baldwin","S","12","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"21","Keyon Lesane","WR","13","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"22","Terrente Hinton","CB","12","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"23","Kamal Bonner","LB","5","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"24","Nicholas Treco","DB","10","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"25","Anthony Smith","WR","10","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"26","Torren Wright","LB","7","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"27","Rakeim Ashford","DB","3","0","2","2","1","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"28","Collin Smith","K","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"29","Noah Potter","DL","11","1","1","2","0","0.0","0","0","","0","0","1","0","0","0","","north-carolina-state","2023"
"30","Nick Campbell","DL","1","0","2","2","1","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"31","Jayland Parker","LB","11","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"32","Jakeen Harris","S","2","2","0","2","1","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"33","Jacarrius Peak","OL","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"34","Matt McCabe","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"35","Kevin Concepcion","WR","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"36","Juice Vereen","TE","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"37","Christopher Scott Jr.","WR","3","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"38","Josh Crabtree","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"39","Caden Noonkester","P","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"40","Joe Shimko","LS","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"41","Brad Rozner","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"42","Darius Edmundson","DB","5","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
"43","Timothy McKay","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina-state","2023"
