"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Cedric Gray","LB","12","64","57","121","11","5.0","1","0","0.0","0","4","2","6","0","2","","north-carolina","2023"
"2","Power Echols","LB","13","61","42","103","6","0.0","1","0","0.0","0","1","0","0","0","2","","north-carolina","2023"
"3","Don Chapman","DB","13","43","21","64","5","1.0","2","7","3.5","0","1","0","0","0","0","","north-carolina","2023"
"4","Antavious Lane","DB","11","33","29","62","3","0.0","0","0","","0","1","0","0","0","1","","north-carolina","2023"
"5","Kaimon Rucker","LB","13","34","27","61","15","8.5","0","0","","0","1","1","0","0","1","","north-carolina","2023"
"6","Giovanni Biggers","DB","13","34","23","57","1","0.0","1","5","5.0","0","2","0","0","0","0","","north-carolina","2023"
"7","Marcus Allen","DB","13","35","14","49","1","0.0","1","0","0.0","0","8","0","0","0","0","","north-carolina","2023"
"8","Alijah Huzzie","DB","11","30","12","42","1","0.0","3","33","11.0","0","6","0","0","0","0","","north-carolina","2023"
"9","Desmond Evans","DL","13","18","15","33","5","3.0","0","0","","0","5","0","0","0","0","","north-carolina","2023"
"10","Kevin Hester Jr.","DL","12","12","18","30","0","0.0","0","0","","0","0","1","0","0","0","","north-carolina","2023"
"11","Amari Gainer","LB","13","17","10","27","6","2.5","0","0","","0","2","0","0","0","1","","north-carolina","2023"
"12","Jahvaree Ritzie","DL","12","12","13","25","1","0.5","0","0","","0","1","0","0","0","1","","north-carolina","2023"
"13","Myles Murphy","DL","13","15","9","24","5","1.0","0","0","","0","0","1","0","0","0","","north-carolina","2023"
"14","Will Hardy","DB","12","15","7","22","1","0.0","0","0","","0","1","1","0","0","0","","north-carolina","2023"
"15","Beau Atkinson","DL","13","11","8","19","5","3.5","0","0","","0","0","0","0","0","1","","north-carolina","2023"
"16","Tayon Holloway","DB","10","16","3","19","2","0.0","0","0","","0","1","0","0","0","0","","north-carolina","2023"
"17","Armani Chatman","DB","12","17","2","19","1","0.0","2","0","0.0","0","4","1","0","0","1","","north-carolina","2023"
"18","D.J. Jones","DB","13","12","3","15","1","0.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"19","Tomari Fox","DL","13","6","8","14","2","1.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"20","Amare Campbell","LB","11","11","3","14","2","1.0","1","19","19.0","0","0","0","0","0","0","","north-carolina","2023"
"21","Travis Shaw","DL","11","4","7","11","1","0.0","0","0","","0","1","0","0","0","0","","north-carolina","2023"
"22","Kaleb Cost","DB","13","2","3","5","0","0.0","0","0","","0","2","0","0","0","0","","north-carolina","2023"
"23","Brooks Miller","WR","2","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"24","Jake Harkleroad","LB","13","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"25","Jacolbe Cowan","DL","6","2","1","3","1","1.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"26","Derrik Allen","DB","12","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"27","Gavin Blackwell","WR","11","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"28","Liam Boyd","K","10","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"29","Ryan Coe","K","2","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"30","Randy Caldwell","LB","11","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"31","Omarion Hampton","RB","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"32","Kedrick Bingley-Jones","DL","4","2","0","2","1","0.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"33","Tychaun Chapman","WR","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"34","Tyler Thompson","LB","3","2","0","2","1","0.0","0","0","","0","0","1","0","0","0","","north-carolina","2023"
"35","Ayden Duncanson","DB","1","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"36","Tre Miller","DB","5","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"37","Cade Law","LB","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"38","Sebastian Cheeks","LB","8","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"39","Damon Bremer","DL","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"40","Christopher Holliday","DB","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"41","Nate McCollum","WR","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"42","Malaki Hamrick","LB","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"43","Drew Little","LS","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"44","John Copenhaver","TE","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"45","Jaybron Harvey","LB","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
"46","Jalen Brooks","LB","13","0","1","1","0","0.0","0","0","","0","0","1","0","0","0","","north-carolina","2023"
"47","Gibson Macrae","LB","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","north-carolina","2023"
