"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","KD Davis","LB","14","72","67","139","4","1.0","1","0","0.0","0","1","0","0","0","1","","north-texas","2022"
"2","Larry Nixon III","LB","14","51","54","105","3","1.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"3","Sean-Thomas Faulkner","DB","14","43","47","90","1","0.0","0","0","","0","3","1","0","0","0","","north-texas","2022"
"4","Mazin Richards","DL","14","55","23","78","13","7.5","0","0","","0","1","0","0","0","0","","north-texas","2022"
"5","Quinn Whitlock","DB","13","34","33","67","4","0.0","1","3","3.0","0","4","0","0","0","0","","north-texas","2022"
"6","DeShawn Gaddie","DB","13","43","18","61","0","0.0","0","0","","0","13","1","0","0","2","","north-texas","2022"
"7","Kevin Wood","LB","9","25","30","55","2","1.0","1","8","8.0","0","1","0","0","0","0","","north-texas","2022"
"8","Logan Wilson","S","14","31","19","50","0","0.0","2","14","7.0","0","5","1","0","0","1","","north-texas","2022"
"9","Fatafehi Vailea","DL","14","15","29","44","2","0.5","0","0","","0","0","0","0","0","1","","north-texas","2022"
"10","Ridge Texada","DB","14","38","5","43","3","0.0","3","124","41.3","1","15","0","0","0","0","","north-texas","2022"
"11","Roderick Brown","DT","14","18","24","42","5","4.0","0","0","","0","0","1","0","0","0","","north-texas","2022"
"12","Tom Trieb","DL","12","26","11","37","10","2.5","0","0","","0","0","1","0","0","0","","north-texas","2022"
"13","Jordan Brown","LB","14","19","15","34","3","1.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"14","Keelan Crosby","DB","12","15","11","26","0","0.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"15","Sifa Leota","LB","14","9","14","23","5","2.5","0","0","","0","0","0","0","0","1","","north-texas","2022"
"16","Kadren Johnson","DT","13","7","12","19","4","3.5","0","0","","0","0","0","0","0","1","","north-texas","2022"
"17","Kortlin Rausaw","DL","14","8","10","18","2","0.5","0","0","","0","0","1","0","0","0","","north-texas","2022"
"18","Cam Robertson","DL","14","8","7","15","3","1.0","0","0","","0","1","0","0","0","1","","north-texas","2022"
"19","Jaylen Smith","DB","14","7","8","15","2","0.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"20","Zahodri Jackson","CB","12","8","3","11","0","0.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"21","Harold West","DB","12","7","3","10","0","0.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"22","Enoch Jackson Jr.","DL","10","4","3","7","1","1.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"23","Alphie Guillory","DB","14","2","5","7","0","0.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"24","Loronzo Thompson","DB","14","3","4","7","0","0.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"25","Carson Kropp","LB","14","1","4","5","0","0.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"26","Keghen Roach","DL","14","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"27","Sele Selefuti","DB","4","1","3","4","1","0.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"28","John Davis Jr.","CB","1","2","1","3","0","0.0","0","0","","0","1","0","0","0","0","","north-texas","2022"
"29","Patrick Smith","DB","4","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"30","Robert Johnson","DB","5","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"31","Jordan Smart","WR","11","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"32","Tommy Bush","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"33","Ayo Adeyi","RB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"34","Ta'Shoyn Johnson","DL","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"35","Bryce Drummond","LB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"36","Bryce Linder","DB","4","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"37","Chris Wright","LB","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"38","Kaci Moreka","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"39","Ethan Mooney","K","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"40","Grant Gunnell","QB","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"41","Jay Maclin","WR","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","1","","north-texas","2022"
"42","Ikaika Ragsdale","RB","13","1","0","1","0","0.0","0","0","","0","0","1","0","0","0","","north-texas","2022"
"43","Jake Roberts","TE","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","north-texas","2022"
"44","Roderic Burns","WR","14","0","0","0","0","0.0","0","0","","0","0","1","0","0","0","","north-texas","2022"
