"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Bryce Gallagher","LB","13","46","74","120","4","1.0","1","0","0.0","0","2","1","6","0","2","","northwestern","2023"
"2","Xander Mueller","LB","13","55","55","110","11","5.0","3","33","11.0","0","2","0","0","0","1","","northwestern","2023"
"3","Rod Heard II","DB","13","54","31","85","4","1.0","1","10","10.0","0","4","1","0","0","2","","northwestern","2023"
"4","Devin Turner","DB","13","38","41","79","1","0.0","1","0","0.0","0","5","0","0","0","0","","northwestern","2023"
"5","Garnett Hollis Jr.","DB","13","33","16","49","4","0.0","1","0","0.0","0","3","1","0","0","0","","northwestern","2023"
"6","Coco Azema","DB","10","28","19","47","0","0.0","1","0","0.0","0","1","0","0","0","0","","northwestern","2023"
"7","Kenny Soares Jr.","LB","12","18","19","37","4","2.0","0","0","","0","2","1","0","0","0","","northwestern","2023"
"8","Theran Johnson","DB","12","23","14","37","2","0.0","1","0","0.0","0","5","0","0","0","0","","northwestern","2023"
"9","Richie Hagarty","DE","11","16","20","36","4","2.5","0","0","","0","1","1","0","0","0","","northwestern","2023"
"10","Jaylen Pate","DE","13","13","14","27","3","3.0","0","0","","0","0","0","0","0","1","","northwestern","2023"
"11","Aidan Hubbard","DL","13","18","9","27","9","6.0","0","0","","0","1","0","0","0","0","","northwestern","2023"
"12","Carmine Bastone","DL","13","13","13","26","4","2.0","0","0","","0","0","0","0","0","1","","northwestern","2023"
"13","Jaheem Joseph","DB","13","18","6","24","0","0.0","3","58","19.3","0","1","0","0","0","0","","northwestern","2023"
"14","PJ Spencer","DL","13","4","18","22","2","0.0","0","0","","0","0","0","0","0","0","","northwestern","2023"
"15","Ore Adeyi","DB","13","12","8","20","2","0.0","0","0","","0","1","0","0","0","0","","northwestern","2023"
"16","Najee Story","DL","13","8","12","20","0","0.0","0","0","","0","1","0","0","0","0","","northwestern","2023"
"17","Sean McLaughlin","DL","13","8","10","18","2","1.0","0","0","","0","5","0","0","0","0","","northwestern","2023"
"18","Mac Uihlein","LB","10","14","4","18","2","0.0","0","0","","0","1","0","0","0","0","","northwestern","2023"
"19","Brendan Flakes","DL","12","7","8","15","1","0.0","0","0","","0","0","0","0","0","0","","northwestern","2023"
"20","Robert Fitzgerald","DB","12","10","3","13","0","0.0","0","0","","0","0","0","0","0","1","","northwestern","2023"
"21","Reginald Pearson","DL","12","7","6","13","2","1.0","0","0","","0","0","0","0","0","1","","northwestern","2023"
"22","Anto Saka","DL","11","7","6","13","6","5.5","0","0","","0","0","0","0","0","1","","northwestern","2023"
"23","Michael Kilbane","DL","8","1","10","11","1","0.0","0","0","","0","0","0","0","0","0","","northwestern","2023"
"24","Evan Smith","DB","13","3","5","8","1","0.0","0","0","","0","0","0","0","0","0","","northwestern","2023"
"25","Braden Turner","DB","10","6","1","7","1","0.0","0","0","","0","0","1","0","0","0","","northwestern","2023"
"26","Grayson Metz","LB","11","3","4","7","0","0.0","0","0","","0","0","1","0","0","0","","northwestern","2023"
"27","Raymond Niro III","WR","4","3","1","4","0","0.0","0","0","","0","0","1","0","0","0","","northwestern","2023"
"28","Braydon Brus","LB","11","3","1","4","1","0.0","0","0","","0","0","0","0","0","2","","northwestern","2023"
"29","William Halkyard","LS","13","0","3","3","0","0.0","0","0","","0","0","0","0","0","0","","northwestern","2023"
"30","Joe Dehaan","DB","3","2","0","2","0","0.0","1","0","0.0","0","0","0","0","0","0","","northwestern","2023"
"31","Matt Lawson","DL","1","1","0","1","1","0.0","0","0","","0","0","0","0","0","0","","northwestern","2023"
"32","Jack Oyola","DB","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","northwestern","2023"
"33","Luke Akers","P","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","northwestern","2023"
"34","Jake Arthurs","RB","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","northwestern","2023"
"35","Dylan Roberts","DL","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","northwestern","2023"
"36","Dom D'Antonio","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","northwestern","2023"
"37","Cam Johnson","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","northwestern","2023"
"38","Caleb Tiernan","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","northwestern","2023"
"39","Caleb Komolafe","RB","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","northwestern","2023"
"40","Jaiden Cameron","DL","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","northwestern","2023"
"41","Tyler Gant","DL","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","northwestern","2023"
"42","Garner Wallace","DB","6","0","0","0","0","0.0","0","0","","0","0","1","17","1","0","","northwestern","2023"
