"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","JD Bertrand","LB","13","63","38","101","7","1.5","0","0","","0","1","1","0","0","1","","notre-dame","2021"
"2","Drew White","LB","12","30","25","55","5","1.5","1","48","48.0","1","1","2","0","0","0","","notre-dame","2021"
"3","Clarence Lewis","CB","13","44","9","53","2","1.0","1","4","4.0","0","4","0","0","0","1","","notre-dame","2021"
"4","Isaiah Foskey","DL","13","38","14","52","13","11.0","0","0","","0","1","2","0","0","6","","notre-dame","2021"
"5","Jayson Ademilola","DL","13","29","20","49","8","3.5","0","0","","0","2","0","0","0","1","","notre-dame","2021"
"6","Bo Bauer","LB","13","23","24","47","4","1.5","1","79","79.0","0","5","0","0","0","0","","notre-dame","2021"
"7","Jack Kiser","LB","13","26","19","45","1","0.0","2","109","54.5","2","5","0","0","0","2","","notre-dame","2021"
"8","Cam Hart","CB","13","25","17","42","4","0.0","2","32","16.0","0","7","0","0","0","0","","notre-dame","2021"
"9","DJ Brown","S","12","21","21","42","1","0.0","3","31","10.3","0","1","0","0","0","0","","notre-dame","2021"
"10","Isaiah Pryor","LB","13","23","19","42","3","1.0","0","0","","0","1","0","0","0","0","","notre-dame","2021"
"11","TaRiq Bracy","CB","13","26","13","39","0","0.0","1","0","0.0","0","2","1","0","0","0","","notre-dame","2021"
"12","Houston Griffith","S","13","23","15","38","0","0.0","0","0","","0","0","1","0","0","0","","notre-dame","2021"
"13","Justin Ademilola","DL","13","20","15","35","6","5.0","0","0","","0","1","1","0","0","1","","notre-dame","2021"
"14","Kyle Hamilton","S","7","19","15","34","2","0.0","3","0","0.0","0","4","0","0","0","0","AA","notre-dame","2021"
"15","Kurt Hinish","DL","11","15","13","28","6","2.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"16","Myron Tagovailoa-Amosa","DL","12","18","7","25","6","2.0","0","0","","0","1","1","0","1","1","","notre-dame","2021"
"17","Howard Cross III","DL","11","13","9","22","5","3.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"18","Jordan Botelho","DL","11","11","7","18","3","2.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"19","Rylie Mills","DL","13","8","8","16","3","3.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"20","Xavier Watts","LB","11","11","4","15","0","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"21","Ramon Henderson","CB","13","8","6","14","1","0.0","1","0","0.0","0","0","1","0","0","0","","notre-dame","2021"
"22","Prince Kollie","LB","10","6","8","14","0","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"23","Nana Osafo-Mensah","DL","12","5","8","13","3","2.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"24","Jacob Lacey","DL","11","7","5","12","2","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"25","Kahanu Kia","DL","8","4","3","7","0","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"26","Adam Shibley","LB","6","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"27","Alexander Ehrensberger","DL","10","1","2","3","1","1.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"28","Justin Walters","S","4","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"29","Davis Sherwood","LB","12","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"30","Jonathan Doerer","K","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"31","Michael Mayer","TE","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"32","Michael Vinson","LS","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"33","Jack Coan","QB","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"34","Will Schweitzer","DL","3","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"35","Aidan Keanaaina","DL","3","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"36","Gabe Rubio","DL","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"37","Joe Alt","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"38","Andrew Kristofic","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"39","Chris Tyree","RB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"40","Litchfield Ajavon","S","5","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"41","Kyren Williams","RB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"42","Braden Lenzy","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"43","Chase Ketterer","RB","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"44","KJ Wallace","S","10","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"45","Kevin Austin","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
"46","Chris Velotta","S","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","notre-dame","2021"
