"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Steele Chambers","LB","13","41","42","83","2","0.0","1","0","0.0","0","1","0","0","0","0","","ohio-state","2023"
"2","Tommy Eichenberg","LB","10","41","41","82","3","1.0","0","0","","0","0","0","0","0","1","","ohio-state","2023"
"3","Davison Igbinosun","CB","13","39","20","59","2","0.0","0","0","","0","5","2","0","0","0","","ohio-state","2023"
"4","Cody Simon","LB","13","24","33","57","3","0.0","0","0","","0","2","0","0","0","0","","ohio-state","2023"
"5","Tyleik Williams","DL","13","20","33","53","10","3.0","0","0","","0","5","1","0","1","0","","ohio-state","2023"
"6","Sonny Styles","S","13","32","21","53","5","2.0","0","0","","0","1","0","0","0","1","","ohio-state","2023"
"7","Jack Sawyer","DE","13","24","24","48","10","6.5","0","0","","0","2","0","0","0","2","","ohio-state","2023"
"8","Josh Proctor","DB","11","31","16","47","4","0.0","1","24","24.0","1","8","0","0","0","0","","ohio-state","2023"
"9","Jordan Hancock","CB","13","28","13","41","2","2.0","2","133","66.5","1","5","0","0","0","2","","ohio-state","2023"
"10","Ty Hamilton","DL","13","17","21","38","5","2.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"11","J.T. Tuimoloau","DL","13","12","26","38","7","5.0","0","0","","0","2","1","16","0","0","","ohio-state","2023"
"12","Lathan Ransom","S","9","21","13","34","2","0.0","1","15","15.0","0","2","0","0","0","1","","ohio-state","2023"
"13","Denzel Burke","DB","11","18","6","24","3","0.0","1","0","0.0","0","9","0","0","0","1","","ohio-state","2023"
"14","Michael Hall Jr.","DL","12","9","15","24","2","1.5","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"15","Jermaine Matthews Jr.","CB","11","9","4","13","0","0.0","1","58","58.0","1","3","0","0","0","0","","ohio-state","2023"
"16","Hero Kanu","DT","11","8","2","10","1","1.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"17","Jaden McKenzie","DL","9","4","6","10","2","0.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"18","Malik Hartford","S","9","5","5","10","0","0.0","0","0","","0","2","0","0","0","0","","ohio-state","2023"
"19","Caden Curry","DE","11","5","4","9","4","1.5","0","0","","0","1","0","0","0","0","","ohio-state","2023"
"20","C.J. Hicks","LB","13","5","3","8","1","0.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"21","Gabe Powers","LB","10","6","1","7","1","0.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"22","Kenyatta Jackson","DE","12","3","4","7","2","1.5","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"23","Tywone Malone","DT","7","3","2","5","1","0.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"24","Ja'Had Carter","DB","8","2","3","5","0","0.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"25","Mitchell Melton","LB","8","3","0","3","3","1.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"26","Calvin Simpson-Hunt","CB","5","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"27","Cameron Martinez","DB","3","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"28","Gee Scott Jr.","TE","13","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"29","Omari Abor","DE","5","1","1","2","1","0.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"30","Ryan Turner","CB","2","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"31","Bryce Prater","DL","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"32","John Ferlmann","LS","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"33","Cade Stover","TE","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"34","Deamonte Trayanum","RB","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"35","Donovan Jackson","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"36","Reid Carrico","LB","9","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"37","Jayden Ballard","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"38","Kyle McCord","QB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"39","Jesse Mirco","P","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"40","Kayden McDonald","DL","4","0","1","1","1","0.0","0","0","","0","1","0","0","0","0","","ohio-state","2023"
"41","Jyaire Brown","CB","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
"42","Julian Fleming","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","ohio-state","2023"
