"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Bryce Houston","LB","12","53","52","105","7","2.0","0","0","","0","0","0","0","0","0","","ohio","2021"
"2","Cannon Blauser","LB","12","38","48","86","8","2.0","0","0","","0","1","1","0","0","0","","ohio","2021"
"3","Alvin Floyd","S","12","33","31","64","1","0.0","1","0","0.0","0","1","0","0","0","1","","ohio","2021"
"4","Jarren Hampton","S","10","26","23","49","1","0.0","0","0","","0","3","0","0","0","0","","ohio","2021"
"5","Tariq Drake","S","12","25","23","48","3","0.0","3","23","7.7","0","2","0","0","0","0","","ohio","2021"
"6","John Gregory","CB","12","22","21","43","2","0.0","0","0","","0","2","0","0","0","0","","ohio","2021"
"7","Alex Wolff","S","12","22","15","37","0","0.0","0","0","","0","1","0","0","0","0","","ohio","2021"
"8","Jett Elad","S","9","21","14","35","1","0.0","0","0","","0","3","0","0","0","0","","ohio","2021"
"9","Bryce Dugan","DL","12","13","21","34","3","2.0","0","0","","0","1","0","0","0","0","","ohio","2021"
"10","Will Evans","DE","12","19","14","33","6","4.5","0","0","","0","2","0","0","0","1","","ohio","2021"
"11","Jack McCrory","LB","12","11","17","28","4","0.5","0","0","","0","1","0","0","0","0","","ohio","2021"
"12","Jamison Collier","S","8","16","10","26","0","0.0","0","0","","0","0","0","0","0","0","","ohio","2021"
"13","Kaieem Caesar","DT","12","7","18","25","2","1.5","0","0","","0","2","0","0","0","0","","ohio","2021"
"14","Michael Taylor","DE","12","9","15","24","2","1.0","0","0","","0","0","0","0","0","0","","ohio","2021"
"15","Ben Johnson","LB","11","11","13","24","0","0.0","0","0","","0","0","0","0","0","0","","ohio","2021"
"16","Rodney Mathews","DT","12","12","11","23","3","1.0","0","0","","0","0","0","0","0","0","","ohio","2021"
"17","Roman Parodie","CB","11","12","11","23","2","1.0","2","-4","-2.0","0","5","0","0","0","0","","ohio","2021"
"18","Michael Ballentine","S","5","19","3","22","1","0.0","0","0","","0","0","0","0","0","1","","ohio","2021"
"19","Justin Birchette","CB","11","19","2","21","1","0.0","0","0","","0","0","1","0","0","0","","ohio","2021"
"20","Jeremiah Burton","DT","12","9","10","19","0","0.0","0","0","","0","0","0","0","0","0","","ohio","2021"
"21","Jamal Hudson","CB","7","12","5","17","0","0.0","0","0","","0","1","0","0","0","0","","ohio","2021"
"22","Kaylen McCracken","DT","8","5","10","15","0","0.0","0","0","","0","0","0","0","0","0","","ohio","2021"
"23","Pierre Kemeni","CB","9","10","3","13","0","0.0","0","0","","0","1","0","0","0","0","","ohio","2021"
"24","Dylan Stevens","LB","11","8","3","11","0","0.0","0","0","","0","0","0","0","0","0","","ohio","2021"
"25","Kyle Kelly","LB","12","5","6","11","0","0.0","0","0","","0","0","0","0","0","0","","ohio","2021"
"26","Bradley Weaver","DE","4","4","6","10","1","0.0","0","0","","0","0","0","0","0","0","","ohio","2021"
"27","Jeremiah Wood","LB","5","5","5","10","0","0.0","0","0","","0","0","0","0","0","0","","ohio","2021"
"28","Zach Burks","DT","9","2","7","9","1","0.0","0","0","","0","0","0","0","0","0","","ohio","2021"
"29","Denzel Daxon","DL","12","3","5","8","1","1.0","0","0","","0","0","0","0","0","0","","ohio","2021"
"30","Bryce Stai","DE","7","2","5","7","1","0.5","0","0","","0","2","0","0","0","0","","ohio","2021"
"31","Aiden Malenchek","DT","7","1","4","5","0","0.0","0","0","","0","0","0","0","0","0","","ohio","2021"
"32","Jake Neatherton","RB","12","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","ohio","2021"
"33","Torrie Cox Jr.","CB","5","3","0","3","0","0.0","0","0","","0","1","0","0","0","0","","ohio","2021"
"34","Kurtis Rourke","QB","10","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","ohio","2021"
"35","Nife Oseni","S","5","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","ohio","2021"
"36","Keegan Wilburn","WR","4","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","ohio","2021"
"37","Nigel Drummond II","WR","7","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","ohio","2021"
"38","Caden Campolieti","LB","7","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","ohio","2021"
"39","Alec Burton","TE","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","ohio","2021"
"40","Tristian Vandenberg","PK","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","ohio","2021"
"41","Adam Luehrman","TE","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","ohio","2021"
