"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Malcolm Rodriguez","LB","14","76","54","130","16","3.0","1","11","11.0","0","5","2","0","1","4","","oklahoma-state","2021"
"2","Devin Harper","LB","14","61","35","96","11","6.0","0","0","","0","2","2","0","0","1","","oklahoma-state","2021"
"3","Kolby Harvell-Peel","S","14","42","28","70","5","2.0","3","21","7.0","0","3","1","3","0","1","","oklahoma-state","2021"
"4","Jarrick Bernard","CB","14","39","12","51","2","1.5","0","0","","0","11","0","0","0","0","","oklahoma-state","2021"
"5","Jason Taylor II","S","14","37","11","48","7","2.5","2","85","42.5","1","4","0","0","0","1","","oklahoma-state","2021"
"6","Jarrick Bernard-Converse","","13","38","10","48","2","1.5","0","0","","0","10","0","0","0","0","","oklahoma-state","2021"
"7","Tanner McCalister","S","14","29","13","42","1","0.0","1","13","13.0","0","6","0","0","0","0","","oklahoma-state","2021"
"8","Brock Martin","DE","13","21","20","41","14","9.0","0","0","","0","0","1","0","0","0","","oklahoma-state","2021"
"9","Christian Holmes","CB","14","33","6","39","0","0.0","1","2","2.0","0","7","0","0","0","0","","oklahoma-state","2021"
"10","Tyler Lacy","DE","14","21","13","34","11","3.5","0","0","","0","1","1","0","0","2","","oklahoma-state","2021"
"11","Collin Oliver","DE","14","20","9","29","16","11.5","0","0","","0","0","0","0","0","1","","oklahoma-state","2021"
"12","Jabbar Muhammad","CB","14","18","5","23","1","0.5","0","0","","0","3","0","0","0","0","","oklahoma-state","2021"
"13","Jayden Jernigan","DT","14","15","7","22","2","2.0","0","0","","0","1","0","0","0","1","","oklahoma-state","2021"
"14","Brendon Evers","DT","14","7","14","21","6","3.0","0","0","","0","1","0","0","0","0","","oklahoma-state","2021"
"15","Israel Antwine","DT","13","6","14","20","4","3.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"16","Thomas Harper","S","12","12","8","20","2","0.0","0","0","","0","1","0","0","0","1","","oklahoma-state","2021"
"17","Kody Walterscheid","DE","14","9","11","20","2","1.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"18","Korie Black","CB","13","12","7","19","0","0.0","0","0","","0","2","2","0","0","0","","oklahoma-state","2021"
"19","Trey Sterling","S","5","6","9","15","3","1.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"20","Kamryn Farrar","LB","14","9","4","13","3","2.5","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"21","Demarco Jones","CB","13","6","5","11","0","0.0","0","0","","0","0","1","0","0","0","","oklahoma-state","2021"
"22","Mason Cobb","LB","14","7","4","11","2","1.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"23","Trey Rucker","S","14","10","0","10","1","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"24","Sean Michael Flanagan","S","13","6","3","9","0","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"25","Sione Asi","DT","12","6","1","7","1","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"26","Kanion Williams","S","13","4","3","7","0","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"27","Tyren Irby","DE","9","3","2","5","3","1.5","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"28","Lamont Bishop","LB","12","4","0","4","2","1.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"29","Jeff Roberson","LB","11","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"30","Nick Session","S","4","4","0","4","0","0.0","1","27","27.0","0","0","0","0","0","0","","oklahoma-state","2021"
"31","Parker Robertson","S","1","2","1","3","1","0.5","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"32","Samuela Tuihalamaka","DT","3","3","0","3","2","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"33","Ben Kopenski","DE","13","3","0","3","2","1.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"34","Jordan Reagan","CB","11","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"35","Jake Schultz","DE","13","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"36","Carter Barnard","S","2","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"37","Brennan Presley","WR","14","2","0","2","0","0.0","0","0","","0","0","1","0","0","0","","oklahoma-state","2021"
"38","Ty Wiilliams","S","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"39","Aden Kelley","DT","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"40","Rashod Owens","WR","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"41","Preston Wilson","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"42","Xavier Ross","DT","4","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"43","Nickolas Martin","LB","3","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"44","Nathan Latu","DE","7","1","0","1","1","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"45","Matt Hembrough","LS","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"46","Joe Michalski","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"47","Jaylen Warren","RB","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"48","Jaden Bray","WR","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"49","Dominic Richardson","RB","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"50","DeSean Buckner","CB","3","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"51","De'Kelvion Beamon","CB","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"52","Constantino Borrelli","","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"53","Constantino Borelli","LB","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"54","Cam Smith","CB","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
"55","Bryson Green","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","oklahoma-state","2021"
