"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Danny Stutsman","LB","12","51","53","104","16","3.0","1","30","30.0","1","3","1","0","0","2","","oklahoma","2023"
"2","Kip Lews","LB","13","38","28","66","4","1.0","0","0","","0","0","1","0","0","0","","oklahoma","2023"
"3","Billy Bowman","DB","13","37","26","63","3","0.0","6","238","39.7","3","4","0","0","0","0","","oklahoma","2023"
"4","Jaren Kanak","LB","13","27","35","62","6","2.0","0","0","","0","2","0","0","0","1","","oklahoma","2023"
"5","Kendel Dolby","DB","13","33","16","49","5","2.0","2","7","3.5","0","4","0","0","0","0","","oklahoma","2023"
"6","Woodi Washington","DB","13","30","18","48","3","0.0","0","0","","0","7","0","0","0","0","","oklahoma","2023"
"7","Key Lawrence","DB","12","29","15","44","4","0.0","2","0","0.0","0","3","0","0","0","1","","oklahoma","2023"
"8","Robert Spears-Jennings","DB","12","20","18","38","1","0.0","0","0","","0","1","0","0","0","0","","oklahoma","2023"
"9","Peyton Bowen","DB","13","21","15","36","1","1.0","0","0","","0","5","0","0","0","1","","oklahoma","2023"
"10","Reggie Pearson Jr.","DB","12","19","11","30","4","1.0","1","12","12.0","0","0","0","0","0","1","","oklahoma","2023"
"11","Dasan McCullough","LB","10","15","15","30","4","0.0","0","0","","0","3","0","0","0","0","","oklahoma","2023"
"12","Gentry Williams","DB","10","21","9","30","4","0.0","3","13","4.3","0","1","1","0","0","0","","oklahoma","2023"
"13","Ethan Downs","DL","13","14","15","29","7","4.5","1","13","13.0","0","0","0","0","0","0","","oklahoma","2023"
"14","Isaiah Coe","DL","13","6","20","26","3","0.0","0","0","","0","0","0","0","0","0","","oklahoma","2023"
"15","Rondell Bothroyd","DL","13","10","15","25","4","0.0","0","0","","0","1","1","0","0","0","","oklahoma","2023"
"16","Kani Walker","DB","10","13","11","24","0","0.0","1","0","0.0","0","4","1","0","0","1","","oklahoma","2023"
"17","Kobie McKinzie","LB","13","12","10","22","1","0.0","0","0","","0","3","0","0","0","0","","oklahoma","2023"
"18","Trace Ford","DL","13","7","11","18","4","0.0","1","26","26.0","0","3","0","0","0","0","","oklahoma","2023"
"19","DaJon Terry","DL","13","7","11","18","4","1.0","0","0","","0","0","0","0","0","0","","oklahoma","2023"
"20","Jacob Lacey","DL","13","7","10","17","3","1.0","0","0","","0","0","1","0","0","0","","oklahoma","2023"
